Job Key No,Job Title/ Category,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL
33022,Contract Systems Analyst (Bid Ref 52999-1),1,Others,Contract,10 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Ho Man Tin Government Offices and Grand City Plaza in Tsuen Wa,N/A - N/A,"""(T26) Manage the maintenance and support for Audit Inspection & Management System (AIMS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HyD; ; Perform system upgrade for AIMS. ; Provide technical support for AIMS. ; Supervise and provide system maintenance & support for AIMS. ; Monitor, facilitate and implement the enhancement for AIMS. ; Prepare and update system related documents. ; Perform any other duties as assigned by the supervisor. ;""",8.0,6.0,"""Please refer to technical requirement. ;Besides, the staff will need to work at Ho Man Tin Government Offices and Grand City Plaza in Tsuen Wan as when required. ;Technical Skills: ;. At least 7 years' experience in MS ASP.NET (MSA); ;. At least 7 years' experience in Web Services (WSV); ;. At least 6 years' experience in Microsoft SQL Server (MSS); ;. At least 6 years' experience in Structured Query Language (SQL); ;. 3 years' experience in Visual Studio. Net (VSN) is an advantage; ;. 3 years' experience in PDA (PDA) is an advantage. ;Non-technical Skill: ;. 2 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33022"")"
32004,Contract Systems Analyst (Bid Ref 53408-1),1,Others,Contract,28 Feb 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Tsuen Wan,N/A - N/A,"""(T26) IT application development, implementation, and maintenance in HKP""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Hongkong Post; ;- To conduct requirement analysis and system design for the IT applications; ;- To implement and maintain IT applications in HKP; ;- To coordinate with stakeholders and to monitor outsource vendors' performance on the project activities ;""",5.0,1.0,"""- Working experiences in application implementation & development using JAVA and web programming ;- Solid working experience in design, implementation, and maintenance of IT applications ;- At least 3 years hands-on experience in application design and development in the past 5 years ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Web Programming (WEB); ;. At least 2 years' experience in Oracle RDBMS (ODB); ;. 1 year's experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage. ;Non-technical Skill: ;. At least 3 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,14 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32004"")"
32978,Contract Systems Analyst (Bid Ref 52917-1),1,Others,Contract,06 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Yau Ma Tei / Mong Kok / Kwun Tong / Taikoo,N/A - N/A,"""(T26) System Development and Support""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the BD; ;a. Conduct the duties and act as the Project Administrator for the computer project(s) assigned by the BD;;b. Assist the Internal Project Manager in the following capacities:;- Plan and control all phases of the computer project(s) including, but not limited to, funding application, feasibility study, privacy impact analysis, systems analysis and design, procurement and installation of computer systems, site preparation, programming, implementation, security risk assessment and audit, privacy impact analysis, system nursing and maintenance in relation to all computer systems life cycle activities and service delivery;;- Plan and conduct procurement activities including, but not limited to, the acquisition of necessary implementation services, hardware and software, services for security risk assessment and audit;;- Manage outsourcing contracts for the computer project(s);;- Develop project management plans and quality control parameters and perform quality control and assurance of all project deliverables;;- Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;- Assist supervisors in vendor management;;- Assist supervisors in managing outsourcing services including quality assurance of deliverables, service acceptance;;- Perform data analysis and generate ad-hoc statistical and management reports by extracting useful database information from the IT system(s) under purview;;- Research on updated technology, support supervisors in providing technical advice to management, user or community as appropriate;;c. Perform Project Administrator role for Radio Frequency Identification (RFID). RFID was implemented to improve the file tracking capability of current file management in BD. It also helps to meet the operational needs of frequent file movement between sections which are located in different offices;;d. Perform Project Administrator role for the Building Condition Information System (BCIS) 3.0 which was implemented primarily to provide up-to-date building information and status including details of complaint, case processing, building inspection, statutory order and notice generation, legal actions, compliance information, license application referrals and so on;;e. Perform other IT-related duties in the capacity as Project Administrator/Systems Analyst or as instructed by BD. ;""",9.0,2.0,"""1. Have solid working experiences in implementation / maintenance of at least three IT projects relating to buildings in Government departments / bureau / agencies in Hong Kong.;2. Have at least 36 months of solid working experiences in using OGCIO's """"Practice Guide to Project Management for IT Projects under an Outsourced Environment"""".;3. Have at least 24 months of solid working experiences in implementation / maintenance of at least two IT projects using e-Payment solution.;4. Have at least 18 months of solid working experiences in implementation / maintenance of at least one IT project using iAM Smart solution.;5. Have sound knowledge in using SQL.;6. Any bids that fail to meet the above requirements and the mandatory requirements or the proposed candidate(s) cannot report duty on or before 1 April 2025 would not be considered. ;Technical Skills: ;. At least 4 years' experience in EGIS (EGI); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 4 years' experience in Structured Query Language (SQL); ;. 2 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 2 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 2 years' experience in Geographic Information System (GIS) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in the management and support of Government systems and services (GSS); ;. 2 years' experience in IT procurement (PRO) is an advantage; ;. 2 years' experience in tender preparation and administration (TPA) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 9 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32978"")"
33030,Contract Systems Analyst (Bid Ref 53592-1),1,Others,Contract,10 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Macau Ferry Terminal, Sheung Wan, Hong Kong",N/A - N/A,"""(T26) - Maintenance and support of in-house applications and outsourced IT applications; ;- Maintenance and support of the network infrastructure of Marine Department Local Area Network (MD LAN) for Vessel Traffic Centre (VTC), Hong Kong Maritime Rescue Coordination Centre (MRCC), Engineering and System Section at Macau Ferry Terminal, and Vessel Traffic Services (VTS) System.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the MD; ;- Provide helpdesk, IT administrative and technical support to end users; ;- Perform daily system administration, operations, maintenance and support to various in-house applications and outsourced IT applications; ;- Perform network architecture and security design, network implementation, and on-going network administration; ;- Perform Office Automation (OA) implementation, hardware and software upgrade and maintain system documentations; ;- Manage and implement system and network enhancement projects; ;- Manage frontline staff to administrate, test and deploy patches to servers and client workstations and network equipment in compliance with Government and Departmental IT Security Policy, Standards and Practices; ;- Liaise with different parties including end users, contractors, other departmental units, etc.; ;- Follow up findings of IT security risk assessment & audit; ;- Research and evaluate the latest products, tools, and practices to recommend cost-effective solutions; ;- Assist in procurement of IT hardware and software, and IT service contracts; ;- Maintain and update hardware and software inventory records; ;- Plan and manage the subscription of communications, telephone and fax lines; ;- Perform any other duties assigned by supervisors; and ;- Emergency on-call support after office hours is required. ;""",4.0,1.0,"""- A degree holder in Information Engineering, Computer Science or related disciplines; ;- Possess a valid Cisco Certified Network Associate (CCNA) Certificate or Huawei Certified Network Associate (HCNA) Certificate, or higher; ;- Hands-on experience in LAN or OA related implementation projects and support activities with backend network and servers, and frontend PC, notebook, mobile devices; ;- Solid hands-on experience in Windows and Linux servers, VMware virtualization, LAN networking, network device management and PC management; ;- Experience in IT security solution design, endpoint IT security solutions, IT security risk assessment & audit and familiar with Government IT security policies and guidelines; ;- Relevant post-qualification experience in system design, development and maintenance related to database analysis and modeling, web application development, MS SQL and/or Oracle database administration; ;- Relevant post-qualification experience on design, implementation and management of network or system infrastructure and security with components such as servers, storage, network switch, firewall, data backup tools etc.; ;- Experience in development, implementation and maintenance of applications using php and .NET framework would be an advantage; ;- Procession of certifications of Cisco Certified Network Professional (CCNP) / Huawei Certified Network Professional (HCNP) / Certified Information Systems Security Professional (CISSP) / Information Technology Infrastructure Library (ITIL) is preferable; ;- Self-motivated and good sense of responsibility; ;- Strong self-learning and research ability; ;- Strong commitment to project deadlines and delivering high-quality work; and ;- Good trouble-shooting, interpersonal and communication skills. ;Technical Skills: ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in Network & System Management (NSM); ;. At least 2 years' experience in Office Automation (OAN); ;. 2 years' experience in IT Application Development and Management (ADM) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in customer service (CLS); ;. At least 3 years' experience in IT Service Management (SMG); ;. At least 2 years' experience in managing Government IT standards (ITG); ;. At least 2 years' experience in vendor management (VMG); ;. 2 years' experience in software testing (STM) is an advantage; ;. 2 years' experience in Government procurement/disposal procedures (GPD) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33030"")"
32846,Contract Systems Analyst (Bid Ref 53481-1),1,Others,Contract,04 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Cheung Sha Wan or other locations inside HKSAR as assigned by the Government,N/A - N/A,"""(T26) Application and system design, system development, system testing, quality assurance, support, documentation and staff supervision""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TRY; ;- Carry out system analysis and design, development, quality assurance, testing, support UAT and prepare documentation of new applications and implementation of enhancements;- Provide application and system support on web applications running on Java application servers;- Perform any other duties related to the system development life cycle ;""",4.0,1.0,"""- Solid experience in web, Java, Java application frameworks (including Spring) and J2EE application development ;- Solid experience in application design, development and maintenance;- Experience on website development with responsive web design and web accessibility feature;- Experience in supporting applications under GCIS PaaS (EGIS);- Experience on system support of Java Application Servers ;- May be required to carry pager and provide system support (on site if necessary) outside office hours ;Technical Skills: ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 2 years' experience in JBoss Application Server (JAS); ;. At least 2 years' experience in J2EE Development (JDE); ;. At least 2 years' experience in Web Programming (WEB); ;. 2 years' experience in Oracle RDBMS (ODB) is an advantage; ;. 2 years' experience in Tomcat Application Server (TOM) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. Good written English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,18 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32846"")"
32966,Contract Senior Systems Analyst (Bid Ref 53051-1),1,Others,Contract,06 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,"North Point Government Office, 333 Java Road, North Point",N/A - N/A,"""(T26) Implementation and support major application systems. ;Implementation and support departmental network, VPN and firewall.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the GLD; ;To provide technical support on the implementation and maintenance of major application systems of GLD. ;To implement and provide technical support to departmental network, VPN and firewall. ;To act as the key role in the vendor management of the contractors for the PCMS v2 System and U-Store. ;To provide technical advice on IT infrastructure of application systems. ;""",6.0,2.0,"""- Must have experience in Java Programming, Java Application Framework (e.g. Spring) and JavaScript Programming ;- Knowledge and experience on the vendor management of the contractor for the mission critical system is preferred ;- Must have experience in MS SQL ;- Experience in MS ASP.NET is desirable ;- Experience in Document Management System is desirable ;- Experience in IT Service/Outsourcing Management is desirable ;- Work experience in the Government is preferred ;- Must have experience in providing technical advice on IT infrastructure of application systems ;Technical Skills: ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 4 years' experience in Internet Firewall Technical Support (IFW); ;. At least 3 years' experience in Infrastructure (INF); ;. 4 years' experience in Intruder Detection/Alert Technology (IDA) is an advantage; ;. 3 years' experience in Public Key Infrastructure (PKI) is an advantage; ;. 3 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in Government tendering procedures (GTP); ;. 3 years' experience in tender preparation and administration (TPA) is an advantage; ;. 2 years' experience in managing Government projects (IEG) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32966"")"
33023,Contract Systems Analyst (Bid Ref 53002-1),1,Others,Contract,10 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Ho Man Tin Government Offices and Grand City Plaza in Tsuen Wan,N/A - N/A,"""(T26) Manage the maintenance and support for Audit Inspection & Management System (AIMS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HyD; ; Supervise and provide system maintenance & support for AIMS. ; Collect and analyze user requirements of AIMS. ; Perform enhancements for AIMS. ; Perform mobile phone (PDA) development and support for AIMS. ; Prepare and update system related documents. ; Perform any other duties as assigned by the supervisor. ;""",6.0,1.0,"""Please refer to technical requirement. ; Besides, the staff will need to work at Ho Man Tin Government Offices and Grand City Plaza in Tsuen Wan as when required. ;Technical Skills: ;. At least 4 years' experience in MS ASP.NET (MSA); ;. At least 4 years' experience in Microsoft SQL Server (MSS); ;. At least 4 years' experience in .Net Development (NDE); ;. At least 4 years' experience in PDA (PDA); ;. At least 1 year's experience in Web Services (WSV); ;. 2 years' experience in JavaScript Programming (JAP) is an advantage; ;. 1 year's experience in JAVA Programming (JAV) is an advantage; ;. 1 year's experience in Visual Studio. Net (VSN) is an advantage. ;Non-technical Skill: ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33023"")"
31102,Contract Systems Analyst (Bid Ref 52404-2),1,Application Development,Contract,03 Mar 2025,17 Mar 2025 to 28 Feb 2026 (11 months),under InfoTech,Government T26 Contract,North Point Government Offices and other Government offices,N/A - N/A,"""(T26) Development of Three-dimensional Digital Map in Lands Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- Provide programming design and support to the enhancement of the Windows System Servers; ;- Evaluate and recommend new technologies, tools, and processes that can improve system performance, scalability, and security; ;- Prepare user manual, program manual and functional specification documents of the above systems; ;- Perform system setup and data migration including Virtual Machine administration; ;- Provide system maintenance and technical documentation support; ;- Prepare tender documents for the procurement of hardware and software; ;- To perform any other duties as assigned by supervisor ;""",4.0,1.0,"""- Holder of a higher diploma/degree awarded by a university in Hong Kong or a degree awarded by an overseas education institution to a Hong Kong resident, or equivalent; ;- The higher diploma/degree shall be related to Computer Science, Computer Engineer, Computer Networking, Information Engineering, Information Technology, Geo-informatics, Geomatics Engineering, Geographic Information Science, or equivalent; ;- Holder of Oracle Certified Associate (OCA) or above is preferable; ;- At least 4 years' post-qualification experience in which at least 1 year' relevant experience in a similar post and in a comparable capacity; ;- At least 4 years of hands-on programming experience in application development / system maintenance; ;- At least 4 years of working experience in Oracle or Microsoft SQL database and SQL script development; ;- Experience in using web-based GIS application development such as OpenLayers / CesiumJS / ArcGIS API is preferable; ;- Have a good sense of Object-oriented design; ;- Possess analytical sense, strong problem-solving skills and a good team player; ;- Good command of both spoken and written Chinese and English. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 4 years' experience in Structured Query Language (SQL); ;. 4 years' experience in Web Programming (WEB) is an advantage; ;. 4 years' experience in Geographic Information System (GIS) is an advantage; ;. 4 years' experience in SSADM (SDM) is an advantage; ;. 2 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 2 years' experience in .NET C# (NEC) is an advantage; ;. 2 years' experience in Experience in C# programming (C#P) is an advantage; ;. 2 years' experience in Web 2.0 Services (W2S) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in IT Service Management (SMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31102"")"
33014,Contract Systems Analyst (Bid Ref 53445-1),1,Others,Contract,07 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) Government Cloud Infrastructure Services (GCIS) is the government cloud services platform in support of agile delivery of e-Government services. This CSA post is responsible for providing client advisory support to B/Ds on GCIS services particularly on Infrastructure-as-a-Service (IaaS) and storage solutions (e.g. Network Attached Storage (NAS) and Object Storage) running on GCIS.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical advisory and client liaison services to the project teams of Government B/Ds in utilizing various GCIS services including IaaS, DBaaS, NAS, object storage to implement the e-Government services. The major job duties include: ; ;- To provide technical advices and support regarding system integration involving various GCIS services (e.g. integration of IaaS with GCIS storages, integration of IaaS with DBaaS, etc) to Government B/Ds; ;- To provide client communications and advisory support for the enquiries and reported issues from Government B/Ds; ;- To provide technical advices and client support to the B/Ds' project team members on adoption of various GCIS services including DBaaS, integration of object storage and NAS with IaaS, etc.; ;- To provide technical and advisory support on guest OS such as Windows and Linux platform running on GCIS; ;- To assist the project manager to oversee the operations of the GCIS services; ;- To collaborate with contractors and GCIS support teams in assessing and approving requests raised by B/Ds' project teams; ;- To collaborate with contractors and GCIS support teams in facilitating B/Ds' project team in conducting necessary testing including load test, security test, etc. in the GCIS environment; ;- To coordinate with B/Ds' project teams on the remedial and preventive maintenance of the GCIS infrastructure; and ;- To assist the B/Ds' project teams to migrate their application/systems to the new Government data centre complex. ; ;Candidate may require to provide support services after office hour. ;""",4.0,1.0,"""(i) Sound knowledge in cloud computing and have at least two-years working experience in server virtualisation environment by using VMware vSphere, Windows Server, RedHat Linux, Web Application Firewall, Storage Area Network (SAN), Software-Defined Network (e.g. VMware NSX-T) and Load Balancer; ;(ii) Knowledge in Open-source SQL database (e.g. MySQL and MariaDB), enterprise grade backup solution (e.g. Netbackup), Network Attached Storage (NAS), and Object Storage are definite advantage; ;(iii) Solid experience in providing client advisory support; ;(iv) Strong analytic mind and problem solving techniques, and good communication skills; and ;(v) Hard-working and self-motivated with positive attitudes. ; ;Holder of the following certifications is a definite advantage: ;- Microsoft Certified IT Professional (or equivalent); and ;- VMware Certified Professional (or equivalent). ;The candidate must be able to communicate in written and verbal English and Chinese to deliver his/her duties. ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Multi-tier System Integration (MSI); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Technical Architectural Support (TAS); ;. At least 2 years' experience in Virtual LAN/LAN Switching (VLS). ;Non-technical Skills: ;. At least 2 years' experience in customer service (CLS); ;. At least 1 year's experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,21 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33014"")"
32979,Contract Systems Analyst (Bid Ref 52921-1),1,Others,Contract,06 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Yau Ma Tei / Mong Kok / Kwun Tong / Taikoo,N/A - N/A,"""(T26) System Development and Support""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the BD; ;a. Conduct the duties and act as the Project Administrator for the computer project(s) assigned by the BD;;b. Assist the Internal Project Manager in the following capacities:;- Plan and control all phases of the computer project(s) including, but not limited to, feasibility study, privacy impact analysis, systems analysis and design, procurement and installation of computer systems, site preparation, programming, implementation, security risk assessment and audit, privacy impact analysis, system nursing and maintenance in relation to all computer systems life cycle activities and service delivery;;- Deliver the computer project(s) within budget and time;;- Estimate the budget and monitor the resources and expenditures of the computer project(s);;- Plan and conduct procurement activities including, but not limited to, the acquisition of necessary implementation services, hardware and software, services for security risk assessment and audit, privacy impact analysis, payment agency services, business process re-engineering;;- Manage outsourcing contracts / vendors for computer project(s);;- Develop project management plans and quality control parameters and perform quality control and assurance of all project deliverables;;- Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;- Assist supervisors in vendor management;;- Assist supervisors in managing outsourcing services including quality assurance of deliverables, service acceptance;;- Participate in procurement processes of IT systems, products and services;;- Research on updated technology, support supervisors in providing technical advice to management, user or community as appropriate;;c. Perform Project Administrator role for Enhancement of Building Records Access and Viewing On-line (BRAVO) system. The BRAVO system was built upon an electronic platform in line with the e-Government target to provide e-options to G2C, G2E and G2G operations. The enhanced system will provide a building records;retrieval platform for the continuation of sharing building data with the public, within BD and other B/Ds.;d. Perform Project Administrator role to plan, control and manage the development of a digital platform to store all digitalised building site supervision and monitoring records in private building developments as required under the Buildings Ordinance.;e. Perform other IT-related duties in the capacity as Project Administrator/Systems Analyst or as instructed by BD. ;""",8.0,4.0,"""1. Have solid working experiences in implementation / maintenance of at least two IT projects relating to buildings in Hong Kong;;2. Have at least 48 months of solid working experiences in using OGCIO's """"Practice Guide to Project Management for IT Projects under an Outsourced Environment"""";;3. Have solid working experiences in implementation / maintenance of at least two IT projects using e-Payment solution;;4. Any bids that fail to meet the above requirements and the mandatory requirements or the proposed candidate(s) cannot report duty on or before 1 April 2025 would not be considered. ;Technical Skills: ;. At least 4 years' experience in ArcIMS (ARI); ;. At least 4 years' experience in EGIS (EGI); ;. At least 4 years' experience in Geographic Information System (GIS); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 4 years' experience in PRINCE (PRE); ;. 3 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 2 years' experience in ArcSDE (SDE) is an advantage; ;. 2 years' experience in JBoss Application Server (JAS) is an advantage; ;. 2 years' experience in Apache Web Server (AWS) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in the management and support of Government systems and services (GSS); ;. 2 years' experience in IT procurement (PRO) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32979"")"
