Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APH,ARC,ARI,ASP,AUS,AVT,AWS,BDM,BIM,BJM,BKO,BPE,BPM,CAS,CCDA,CCDP,CCIE,CCNA,CCNP,CCS,CEH,CFA,CHI,CIP,CISA,CISM,CISP,CISSP,CLS,CMMP,CMS,CND,CON,CRE,CRS,CSF,DAM,DAR,DBA,DCM,DET,DFT,DLS,DMO,DMS,DMT,DOC,DPS,DRP,DWH,EAI,ECR,EFM,EGI,EGIS,ELE,EMG,ERP,ESD,ESS,ETH,FPA,GBC,GCIS,GIS,GMS,GOV,GPD,GSR,GSS,GTP,HAU,HDT,HKCEE,HTM,IAA,IBX,IDA,IEG,IFW,IIS,IMG,INF,INT,IPD,IPS,ISM,ISS,ITA,ITG,ITIL,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSF,JSP,JVD,KMT,KTD,LDA,LIN,LNA,LNM,LON,MCS,MDM,MET,MGP,MIS,MNE,MSA,MSI,MSP,MSQ,MSS,MUL,MWC,NDA,NDE,NDN,NEC,NEG,NET,NSM,OAC,OAN,OAT,OCI,ODB,ODT,OES,OMA,OOA,OPL,OPM,ORA,OSDP,OUT,PDE,PDS,PEX,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SAS,SCM,SDE,SDH,SDM,SDN,SEO,SIEM,SIM,SMG,SMT,SPA,SPE,SPR,SQL,SRA,SRS,SSCP,SST,STM,SVT,SYB,TAS,TCP,TOM,TPA,TSM,TWS,UDB,ULS,UML,UNX,VBA,VBC,VBE,VCP,VCT,VLS,VMG,VPN,VSN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLM,WLT,WME,WPG,WSV,XML
33507,Contract Systems Analyst (Bid Ref 54053-1),1,1,Others,Contract,07 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Tsim Sha Tsui,N/A - N/A,"""(T26) Database Implementation and Administration""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKO; ;Provide implementation support for the Integrated Data Archival System and the High-performance Collaborative Platform for Departmental Artificial Intelligence Development with details below:;;(i) assist the division head for the Head 710 projects related to the database setup;;(ii) assist in the configuration and installation of the database infrastructure, and archival system;;(iii) assist in supervising the operation of database management;;(iv) advise in the performance tuning of the database;;(v) assist in the procurement of hardware, software and implementation services;;(vi) monitor the performance and review the deliverables of the consultants and contractors; and ;(vii) report to the division head and project manager of the project. ;""",20.0,15.0,"""Suitable candidate should be well-versed in database configuration and administration. Candidate with qualification of Oracle Cloud Infrastructure (OCI) Architect Professional would be an advantage. He/she should also possess good interpersonal and communication skills with good command of English. ;Technical Skills: ;. At least 15 years' experience in Oracle Real Application Cluster (OAC); ;. At least 15 years' experience in Oracle RDBMS (ODB); ;. At least 15 years' experience in Structured Query Language (SQL); ;. At least 10 years' experience in Production Database Support (PDS); ;. At least 10 years' experience in Project Management and Issue Tracking System (PIT); ;. 15 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 15 years' experience in IBM AIX Unix (IBX) is an advantage; ;. 15 years' experience in Linux System Administration (LIN) is an advantage; ;. 10 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 5 years' experience in Red Hat Advanced Server (RHS) is an advantage. ;Non-technical Skills: ;. At least 10 years' experience in customer service (CLS); ;. Good coordination skills is a must; ;. At least 5 years' experience in IT service/outsourcing management (OUT); ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in the management and support of Government systems and services (GSS); ;. Excellent written English is an advantage; ;. 1 year's experience in Business Process Re-engineering (BPE) is an advantage; ;. 1 year's experience in conducting IT training/briefing (ITT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 20 years' post-qualification experience in which at least 15 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33507"")",,,,,,,,,,,,,,BPE,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,IBX,,,,,,,,,,,,,,,,,ITT,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,OAC,,,OCI,ODB,,,,,,,,,OUT,,PDS,,,PIT,,,,,,,,,,,,,,,RHS,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,,,,,
33387,Contract Project Manager (Bid Ref 53807-1),1,1,Others,Contract,01 Apr 2025,02 May 2025 to 15 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Support the inventory management, contract management and capacity planning of the Government Cloud Infrastructure Services (GCIS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;This post is responsible for the inventory management, contract management and project management of GCIS contract;- Take part in the project management and contractor management for GCIS ;- Manage and consolidate the hardware and software inventory of GCIS;- Work with client advisory team, technical team and GCIS contractor to support GCIS operation, multiple tenants and to assist in annual capacity planning for GCIS ;""",8.0,2.0,"""- Knowledge and experience in cloud computing technologies including server virtualisation, security, etc.;- Solid experience in inventory management;- Experience in managing IT projects, project management and contractor management;- Competent communication skills, both verbal and written, and interpersonal techniques;- Experience in acceptance of IT infrastructure project deliverables preferred;- Strong analytical mind and problem solving techniques;- Knowledge in government procurement procedures is an advantage ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in PRINCE (PRE); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. 6 months' experience in Storage Area Network (SAN) is an advantage; ;. 6 months' experience in IT Operational Management (OPM) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. At least 2 years' experience in project management (PRM); ;. Good written English is a must; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in customer service (CLS) is an advantage; ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,18 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33387"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,,INF,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,OUT,,,,,,,,,,PRE,PRM,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33662,Contract Systems Analyst (Bid Ref 54098-1),1,1,Others,Contract,08 Apr 2025,02 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"HAHQ, Ho Man Tin, Kowloon",N/A - N/A,"""(T26) Application system support and maintenance of IT application systems in Hong Kong Housing Authority""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;1. To maintain and support various web based application systems, in particular the HRMS and e-Leave System; ;2. Assist the project manager in project management, contract administration and managing outsourced services; and ;3. Perform other administrative activities as when required. ;""",10.0,5.0,"""1. Experienced in liaison and coordination with users and other infrastructure support teams; ;2. Experience in managing and supporting customer relationship management system is preferred; and ;3. Experience in managing Government projects is preferred. ;Technical Skills: ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in J2EE Development (JDE); ;. At least 5 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in Oracle e-business suite (OES); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 5 years' experience in Structured Query Language (SQL). ;Non-technical Skill: ;. At least 5 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,25 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33662"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,OES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33650,Contract Systems Analyst (Bid Ref 54091-1),1,1,Application Development,Contract,31 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Mainly at TWGO. The staff is required to work in other offices in Hong Kong when requested.,N/A - N/A,"""(T26) Development and maintenance of Geographic Information Systems (GIS) and IT services in Lands Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- To supervise subordinates in carrying out application development activities;;- To design, analyze, implement and support Internet/Intranet web and mobile GIS applications;;- To liaise with Government B/Ds to collect and analyze user requirements, and design technical solutions;;- To design and implement scalable application architecture and framework which provide security, agility and flexibility for web/mobile GIS application development and web GIS API development;;- To conduct program testing, system testing and developing systematic test cases to support user acceptance test;;- To conduct quality assurance, verification and rectification of data and applications;;- To prepare and maintain program documents to support system enhancement and bug fixing;;- To prepare project reports and specifications; ;- To collaborate with data team and infrastructure team on enabling changes and system optimization; ;- To assist in preparation of training and presentation materials for application users; and ;- To perform any other duties as assigned by supervisor. ;""",5.0,3.0,"""- Holder of a degree awarded by a university in Hong Kong or a degree awarded by an overseas education institution to a Hong Kong resident, or equivalent;;- The degree shall be related to Geo-informatics, Geomatics Engineering, Geographic Information Science, Computer Science, Information Engineering, Information Technology or equivalent;;- Solid knowledge and experience system design and development of web and mobile GIS systems.;- Have at least 5 years post qualification information technology experience of which 3 years in the similar capacity;;- Possessing strong sense of analytical and problem solving skills; and;- Good command of both spoken and written Chinese and English.;;Preference may be given to candidates who have:;- Good knowledge and project experience in GIS software. ;Technical Skills: ;. At least 3 years' experience in Client/Server Application Development (C/S); ;. At least 3 years' experience in Geographic Information System (GIS); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Multi-tier System Integration (MSI); ;. At least 3 years' experience in Web Services (WSV); ;. 1 year's experience in Huawei VRP & Huawei Products (HAU) is an advantage. ;Non-technical Skill: ;. At least 3 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33650"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,,GOV,,,,,HAU,,,,,,,,,,,,,,,,,,,,,,,,JAP,,,,,,,,,,,,,,,,,,,,,MSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSV,
33485,Contract Senior Systems Analyst (Bid Ref 54013-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support for DOJ systems; and;10. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",8.0,4.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 9 years' experience in JAVA Programming (JAV); ;. At least 9 years' experience in J2EE Development (JDE); ;. At least 9 years' experience in Java Servlet Programming (JSP); ;. At least 9 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in Document Flow/Workflow Management System (DOC). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in the management and support of Government systems and services (GSS); ;. At least 5 years' experience in software testing (STM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33485"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,JDE,,JSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33412,Contract Project Manager (Bid Ref 53965-1),1,1,Others,Contract,02 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Civil Engineering and Development Building, 101 Princess Margaret Road, Ho Man Tin",N/A - N/A,"""(T26) (i) Revamp on existing inventory management systems""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDD; ;The CPM is required to carry out the following: ;- Plan and control all phases of the above projects; ;- Manage IT contractors; ;- Liaise with users; ;- Advise on system analysis, design, development, integration and testing for the system; ;- Prepare and manage system documentations; ;- Evaluate and select appropriate business and technical solutions; ;- Manage IT subordinates; and ;- Perform other IT duties assigned by supervisor. ;""",10.0,6.0,"""The applicant must have: ;- a Hong Kong degree, or equivalent; ;- at least 10 years of post-qualification IT experience in system/application development, Windows server infrastructure system, mailing system and networking. ;- at least 4 years of experience in similar post or in comparable capacity/duty; ;The applicant preferably has: ;- experience in managing upgrade of Windows server infrastructure ;- experience in backup and disaster recovery planning ;Technical Skills: ;. At least 8 years' experience in Disaster Recovery Planning (DRP); ;. At least 8 years' experience in Infrastructure (INF); ;. At least 8 years' experience in Lotus Notes Mail Admin. & Technical Support (LNM); ;. At least 8 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 8 years' experience in Server Virtualisation Technology (SVT); ;. At least 5 years' experience in Windows Server 2008/2012 (W12); ;. 1 year's experience in Microsoft SQL Server (MSS) is an advantage; ;. 1 year's experience in .Net Development (NDE) is an advantage; ;. 1 year's experience in Networking (NET) is an advantage; ;. 1 year's experience in Security Risk Assessment and Audit (SAA) is an advantage. ;Non-technical Skills: ;. At least 8 years' experience in managing Government projects (MGP); ;. Good written English is a must; ;. At least 8 years' experience in IT service/outsourcing management (OUT); ;. At least 8 years' experience in work with the Government (GOV); ;. At least 8 years' experience in Government tendering procedures (GTP); ;. At least 5 years' experience in project management (PRM); ;. At least 5 years' experience in tender preparation and administration (TPA); ;. At least 5 years' experience in vendor management (VMG); ;. 1 year's experience in conducting IT training/briefing (ITT) is an advantage; ;. 1 year's experience in Business Process Re-engineering (BPE) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,19 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33412"")",,,,,,,,,,,,,,BPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,,,,,,,,GOV,,,,GTP,,,,,,,,,,,,INF,,,,,,,,,,,ITT,,,,,,,,,,,,,,LNM,,,,,MGP,,,,,,,MSS,,,,NDE,,,,NET,,,,,,,,,,,,,,,OUT,,,,,,,,,,,PRM,,,,,,,,,,,SAA,,,,,,,,,,SIM,,,,,,,,,,,,SVT,,,,,TPA,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,
33705,Contract Project Manager (Bid Ref 53845-1),1,1,Others,Contract,10 Apr 2025,30 May 2025 to 12 Feb 2026 (8 months),under InfoTech,Government T26 Contract,"Mainly Nam Cheong, Sham Shui Po, and occasional visit to other offices in Hong Kong",N/A - N/A,"""(T26) System Maintenance & Support of Centrally Managed Messaging Platform (CMMP) -""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- Oversee the maintenance, operation and support of an in-house system, in particular for the following:;(a) Network infrastructure;(b) Server infrastructure;(c) Operation, patching, and capacity management;(d) Change and release management;- Prepare and review the maintenance report for the system.;- Coordinate and closely work with service contractors on system maintenance, operation and support.;- Perform IT project management and vendor management.;- Work outside office hours and provide on-call production support.;- Perform any work assigned by supervisor. ;""",8.0,2.0,"""- Minimum of 8 years of post-qualification IT experience, in which includes a minimum of 2 years of working experience in project management.;- Minimum of 4 years of experience in IT planning.;- Minimum of 4 years of experience in system implementation, maintenance and support of IT system, in which includes a minimum of 2 years of experience in system implementation, maintenance and support of Infrastructure.;- Minimum of 4 years of experience in managing government projects.;- Minimum of 4 years of experience in vendor management.;- Valid certificate holder of Project Management Professional (PMP) or Information Technology.;- Infrastructure Library (ITIL) is required.;- Knowledge and experience in working with/in the Government is required.;- Fluent verbal and written communication in both Chinese and English is preferred.;- Criminal record checking is required. ;Technical Skills: ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Project Management Professional (PMP) (PMP). ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. At least 4 years' experience in managing Government projects (MGP); ;. At least 4 years' experience in vendor management (VMG); ;. At least 2 years' experience in project management (PRM); ;. Good coordination skills is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,27 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33705"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,ITIL,ITP,,,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMP,,PRM,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,
33416,Contract Project Manager (Bid Ref 53851-1),1,1,Others,Contract,02 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Central and North Point,N/A - N/A,"""(T26) The CPM has to""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ISD; ;The CPM will lead and manage an application team to: ;- render IT consultancy and technical advisory services; ;- plan and propose solutions for new application systems; ;- conduct business analysis, identify requirements and recommend the architectural design; ;- manage day-to-day maintenance and support activities for existing IT systems running under cloud and on-premises environments; ;- implement system enhancements and change requests; ;- monitor and control the quality of the services provided by the outsourced contractors; and ;- ensure that all prevailing Government standards and methodologies are properly followed for related duties. ;""",8.0,5.0,"""The CPM should ;- possess substantial knowledge and experiences in project implementation and 24/7 round-the-clock support services; ;- be skillful and effective in user liaison, contractor monitoring and incident management; ;- have strong customer services skills and be able to communicate efficiently with Government users at all levels and external parties including IT contractors, services providers and Government&;#8217; departments; ;- be familiar with Government Security Policies, as well as IT-related standards, guidelines and methodologies; ;- have knowledge and experience in making use of various Government bulk/term contracts including but not limited to Standing Offer Agreements; ;- be an advantage if he/she have knowledge and experience on knowledge management, workflow management and data management; and ;- provide on-site support for incidents during non-office hours. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in IT Planning (ITP); ;. At least 3 years' experience in IT Security (ITS); ;. At least 3 years' experience in PRINCE (PRE); ;. At least 2 years' experience in Security Risk Assessment and Audit (SAA); ;. At least 2 years' experience in Information Security Management (ISM); ;. 1 year's experience in Web 2.0 Services (W2S) is an advantage; ;. 1 year's experience in Knowledge Management Technology (KMT) is an advantage; ;. 1 year's experience in Networking (NET) is an advantage; ;. 1 year's experience in Data Management (DMT) is an advantage; ;. 1 year's experience in Document Flow/Workflow Management System (DOC) is an advantage; ;. 1 year's experience in HTML5 (HT5) is an advantage; ;. 6 months' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 6 months' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in project management (PRM); ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in vendor management (VMG); ;. At least 2 years' experience in contract administration (CON); ;. 1 year's experience in IT procurement (PRO) is an advantage; ;. 1 year's experience in tender preparation and administration (TPA) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,19 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33416"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON,,,,,,,,,,,,,DMT,DOC,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,ISM,,,,,ITP,ITS,,JAF,,,JAV,,,,,KMT,,,,,,,,,,,,,,,,,,,,,,,,,NET,,,,,,,,,,,,,,,OUT,,,,,,,,,,PRE,PRM,PRO,,,,,,,,,,SAA,,,,,,,,,,,,,,,,,,,,,,,,,,,TPA,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,
33438,Contract Project Manager (Bid Ref 53982-1),1,1,Others,Contract,02 Apr 2025,01 May 2025 to 31 Oct 2025 (6 months),under InfoTech,Government T26 Contract,Central and Sheung Wan,N/A - N/A,"""(T26) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;(a) Monitor and carry out all phases of IT projects including feasibility study, systems analysis and design, procurement and installation of computer systems, implementation, system nursing and maintenance; ;(b) Conduct research, study and scoping on projects, prepare project plan, identify requirement and funding needs for IT systems; ;(c) Act as Internal Project Manager in managing vendor and outsourcing contract; ;(d) Monitor the expenses and budget usage and to assist in budget management; ;(e) Formulate and recommend tendering strategy and lead in tendering activities; ;(f) Supervise the design, implementation, development and management of IT system; ;(g) Carry out quality control and quality assurance, and project management duties; ;(h) Perform contract and contractor management; and;(i) Perform any other duties (e.g. on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",18.0,10.0,"""Candidates must possess:;(a) At least 15 years' experience in IT system projects feasibility study development, implementation, support and maintenance.;(b) Solid experience in developing Java Enterprise Edition (Java EE) applications and familiar with major technologies associated with the Java EE architecture, e.g. Application Server, JSP, Servlets, Struts, JDBC, etc. ;(c) Experience in project implementation/maintenance in case management / workflow application will be an added advantage.;(d) Experience in project implementation/maintenance in the HKSAR Government will be an added advantage.;(e) Experience in system integration between email with case management / workflow application will be an added advantage.;;Holder of the following qualification is a plus :;&;#8226; PRINCE Practitioner/Professional; or;&;#8226; Project Management Professional; or;&;#8226; Certified Information Systems Security Professional/Certified Information Systems Auditor; or;&;#8226; ITIL Intermediate Level ;Technical Skills: ;. At least 8 years' experience in IT Application Development and Management (ADM); ;. At least 8 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 8 years' experience in Infrastructure (INF); ;. At least 8 years' experience in IT Security (ITS); ;. At least 8 years' experience in Oracle RDBMS (ODB); ;. At least 8 years' experience in Project Management Professional (PMP) (PMP). ;Non-technical Skills: ;. At least 8 years' experience in work with the Government (GOV); ;. Excellent written English is a must; ;. At least 8 years' experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 18 years' post-qualification experience in which at least 10 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33438"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,INF,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,
