Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,ARC,AUS,AVT,AWS,BDM,BIM,BJM,BPE,BPM,CAP,CAS,CCS,CHI,CIP,CLS,CMS,COG,CON,CRE,CRS,CRY,CSF,DAM,DAR,DCM,DET,DFT,DMO,DMS,DMT,DOC,DPS,DRP,DWH,EAI,ECR,EFM,EGI,EGIS,EJB,ELE,EMG,ERP,ESS,ETH,FLN,FPA,GBC,GCIS,GIS,GOA,GOV,GPD,GSR,GSS,GTP,HAU,HDT,HPX,HTM,IDA,IEG,IFW,IIS,IMG,INF,INT,IPD,IPS,ISM,ISS,ITC,ITG,ITIL,ITP,ITS,ITT,IVRS,JAF,JAP,JAS,JAV,JDE,JSF,JSP,JVD,KMT,LDA,LIN,LNA,LNM,LON,MAR,MCS,MET,MGP,MIS,MNE,MSI,MSP,MSQ,MSS,MUL,MWC,NDA,NDE,NDN,NEC,NET,NSM,OAC,OAT,ODB,ODT,OMA,OOA,OPL,OPM,ORA,OSDP,OTP,OUT,PDE,PDS,PEX,PHI,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SCM,SDH,SDLC,SDM,SIM,SMG,SPA,SPE,SQL,SRA,SRS,SST,STM,SVT,TAS,TOM,TPA,ULS,UML,UNA,UNX,VBA,VBC,VCP,VLS,VMG,VPN,VRS,VSN,WAA,WAN,WAS,WEA,WEB,WED,WES,WFS,WLG,WLM,WLT,WME,WMS,WPG,WSV,XML
33844,Contract Senior Systems Analyst (Bid Ref 54299-1),1,1,Application Development,Contract,14 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Revenue Tower, 5 Gloucester Road, Wanchai, Hong Kong",N/A - N/A,"""(T26) Management of an Emission Approval Information System and a Database System to Facilitate Enforcement of Specified Process Licences of Power Plants for existing system and IT support for group""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the EPD; ;1. To lead teams to develop, enhance and maintain application systems;;2. To carry out technical research and study on technology refreshment;;3. To manage and monitor contractors for outsourced IT services; and;4. To conduct any other relevant duties assigned by management. ;""",15.0,10.0,"""1. Bachelor's degree or Higher in Information Technology related disciplines;;2. Be a certified Project Management Professional (PMP) and / or a certified PRINCE2 practitioner;;3. Professional certification in CCNP, HCIP or similar industry certifications is preferred;;4. Good knowledge in system development in Government; and;5. Experience in similar project will be an advantage. ;Technical Skills: ;. At least 10 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in Security Risk Assessment (SRA); ;. At least 3 years' experience in Multi-tier System Integration (MSI); ;. 10 years' experience in MySQL (MSQ) is an advantage; ;. 10 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 10 years' experience in Object-oriented Analysis and Design (OOA) is an advantage; ;. 10 years' experience in Oracle Application Development (ORA) is an advantage; ;. 10 years' experience in J2EE Development (JDE) is an advantage; ;. 10 years' experience in Structured Query Language (SQL) is an advantage; ;. 5 years' experience in SQL Server Reporting Services (SRS) is an advantage; ;. 5 years' experience in Windows Programming (WPG) is an advantage; ;. 5 years' experience in Rapid Application Development Methodology (RAD) is an advantage; ;. 5 years' experience in Apache Web Server (AWS) is an advantage; ;. 5 years' experience in Data Administration (DAM) is an advantage; ;. 3 years' experience in Microsoft Active Directory Administration (ADA) is an advantage; ;. 3 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 2 years' experience in Data/File Backup Technology (DFT) is an advantage; ;. 2 years' experience in SSADM (SDM) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in the management and support of Government systems and services (GSS); ;. At least 5 years' experience in project management (PRM); ;. At least 5 years' experience in work with the Government (GOV); ;. 8 years' experience in IT procurement (PRO) is an advantage; ;. 8 years' experience in Government tendering procedures (GTP) is an advantage; ;. 5 years' experience in managing Government IT standards (ITG) is an advantage; ;. 5 years' experience in managing Government projects (MGP) is an advantage; ;. 5 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 5 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 5 years' experience in tender preparation and administration (TPA) is an advantage; ;. 5 years' experience in vendor management (VMG) is an advantage; ;. 3 years' experience in quality assurance (QAS) is an advantage; ;. 3 years' experience in quality management (QMT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 15 years' post-qualification experience in which at least 10 years' relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33844"")",ADA,ADM,,,,,AWS,,,,,,,,,,,,,,,,,,,DAM,,,,DFT,,,,,,DRP,,,,,,,,,,,,,,,,,,,GOV,GPD,,GSS,GTP,,,,,,,,,,,,,,,,,ITG,,,,,,,,,,JDE,,,,,,,,,,,,,MGP,,,MSI,,MSQ,MSS,,,,,,,,,,,,,,OOA,,,ORA,,,OUT,,,,,,,,,,PMP,,PRM,PRO,,QAS,QMT,RAD,,,,,,,,,,SDM,,,,,SQL,SRA,SRS,,,,,,TPA,,,,,,,,,VMG,,,,,,,,,,,,,,,,,WPG,,
33769,Contract Systems Analyst (Bid Ref 54113-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development and support of in-house applications and LR Departmental Website.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To perform development and support for in-house applications used in the department;;- To provide support and enhancements for LR website;;- To perform impact analysis on new applications, enhancements and software upgrades;;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;;- To maintain and update documentation of the supported systems;;- To supervise other IT support staff for the development of in-house applications and enhancement of LR website; and;- To perform any other duties assigned by the supervisor. ;""",5.0,3.0,"""- At least 4 years&;#8217; experience in web application development and maintenance with RDBMS;;- Knowledge / experience of Web Content Accessibility Guidelines (WCAG 2.1 Level AA);;- Solid experience on SA&D, and application development using Java and PHP;;- Solid experience in supervising other IT support staff;;- Solid experience in managing functional testing and user acceptance testing; and;- Good command of both written and spoken English and Chinese. ;Technical Skills: ;. At least 4 years' experience in J2EE Development (JDE); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in PHP programming (PHP); ;. At least 2 years' experience in Web Programming (WEB); ;. 2 years' experience in Website Administration (WEA) is an advantage; ;. 2 years' experience in Java Servlet Programming (JSP) is an advantage. ;Non-technical Skill: ;. At least 2 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33769"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,JSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEA,WEB,,,,,,,,,,,
33748,Contract Systems Analyst (Bid Ref 54161-1),1,1,Others,Contract,15 Apr 2025,02 Jun 2025 to 28 Feb 2026 (8 months),under InfoTech,Government T26 Contract,Tseung Kwan O and occasionally working at various Immigration offices and control points.,N/A - N/A,"""(T26) To deliver planning and support for system upgrades and enhancements for the Internet Access Gateway System (IAGS), Software Assets Management (SAM), Endpoint Detection and Response (EDR), the next generation of Intranet Portal and the Enterprise File Sharing Infrastructure.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To plan for and carry out various system upgrades and enhancements for the Internet Access Gateway System (IAGS), Software Assets Management (SAM), Endpoint Detection and Response (EDR), the next generation of Intranet Portal and the Enterprise File Sharing Infrastructure, including:;- supporting the SAM for conducting regular software inventory check utilizing Microsoft Configuration Manager on a virtualisation platform;;- ensuring the stability, monitoring the utilisation and performing enhancement for the IAGS;;- providing support for the deployment of EDR to the Government Office Automation (GOA) system and workstations, along with subsequent maintenance and enhancement of the EDR system;;- providing maintenance and consequential enhancements for the Intranet Portal, employing Microsoft SharePoint, and planning for the systems analysis and design of the next generation of the Intranet Portal;;- performing enhancements for the Enterprise File Sharing Infrastructure;;- assisting in departmental IT security risk assessments and audits and reviewing the IT security measures of the above systems according to the latest IT Security Policy and Guidelines; and;- performing other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate shall possess the following mandatory technical skills:;(a) solid system support experience in Government Office Automation (GOA) desktop system, Intranet Portal services and Enterprise File Sharing Infrastructure;;(b) profound knowledge and solid support experience in Microsoft Configuration Manager, Microsoft SharePoint and Microsoft SQL Server;;(c) profound knowledge and solid support experience in server virtualisation platforms;;(d) solid experience in IT security risk assessment and audit; and;(e) solid experience in network and security technologies, particularly Endpoint Detection and Response.;;Criminal record check will be required. ;Technical Skills: ;. At least 3 years' experience in Microsoft Officer SharePoint Server Administration (MSP); ;. At least 3 years' experience in Proxy Server (PRS); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. 2 years' experience in Data/File Backup Technology (DFT) is an advantage; ;. 2 years' experience in Security Risk Assessment and Audit (SAA) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33748"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DFT,,,,,,,,,,,,,,,,,,,,,,,,GOA,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRS,,,,,,,,SAA,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33774,Contract Systems Analyst (Bid Ref 54133-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the Land Registry (LR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post;;- To perform application development of in-house and Internet facing applications;;- To participate in the development and maintenance of IT systems to support the business and operation of the LR;;- To conduct quality review and system tests on technical products;;- To coordinate and assist users in the conduct of user acceptance tests;;- To coordinate and assist in the system deployment and rollout;;- To perform impact analysis for the system enhancements / changes;;- To handle system incidents and assist in online service resumption; and;- To provide IT support to the future operation of title registration including analysis of land records. ;""",6.0,2.0,"""- Good verbal and written communication skills in both English and Chinese;;- Solid hands-on experience in developing bilingual web application systems under UNIX/Oracle/Visual Basic/J2EE environment;;- Solid hands-on experience in EJB3 application development;;- Good analytical skills and able to work independently;;- Good business knowledge on land registration and/or real estate related information systems;;- May require working in other LR offices within HK territory and outside normal office hours (including;Saturday, Sunday and Public Holiday); and;- Provide 7x24 on-call production system support. ;Technical Skills: ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in .Net Development (NDE); ;. At least 1 year's experience in Enterprise Java Beans Development (EJB); ;. At least 1 year's experience in FileNet (FLN); ;. 6 months' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 6 months' experience in C++ (C++) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Visual Basic (VBC) is an advantage; ;. 6 months' experience in WebLogic Server Administration (WLG) is an advantage; ;. 6 months' experience in Web Services (WSV) is an advantage; ;. 6 months' experience in XML (XML) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33774"")",,,,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,,FLN,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,JAF,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,NDE,,,,,,,ODB,,,,OPL,,,,,,,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,UNX,,VBC,,,,,,,,,,,,,,,WLG,,,,,,WSV,XML
33858,Contract Systems Analyst (Bid Ref 54146-1),1,1,Others,Contract,22 Apr 2025,02 Jun 2025 to 13 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) This is a CSA position responsible for acting as the Programme Office for service delivery of Government Electronic Trading Services (GETS) in monitoring the performance of GETS service providers (SPs) and be the central coordination across various GETS projects and liaise with other B/Ds on matters relating to GETS.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;Work in Programme Office for GETS to -;1. coordinate with various government departments and other DPO teams as well as GETS SPs on matters relating to the delivery of GETS;;2. review deliverables produced by GETS SPs in system enhancements by checking if the electronic messages transmission between government and GETS SPs (which are packaged using XML) are conformed with the government requirements and the new/revised schema file structures are tally with the Oracle RDBMS of the government backend systems and the Chinese computing standards;;3. render professional advice to government stakeholders; and;4. administer inventory for GETS equipment and provide support in related procurement/disposal arrangement. ;""",4.0,1.0,"""Please refer to the """"Technical and Non-technical Skill Requirements"""" for details. ;Technical Skills: ;. At least 2 years' experience in Chinese Computing Standards, eg.HKSCS,Big5,Unicode (CCS); ;. At least 2 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in XML (XML); ;. 2 years' experience in Public Key Infrastructure (PKI) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 2 years' experience in Government procurement/disposal procedures (GPD); ;. 2 years' experience in managing Government projects (MGP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,08 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33858"")",,,,,,,,,,,,,,,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XML
33815,Contract Systems Analyst (Bid Ref 53996-1),1,1,Others,Contract,10 Apr 2025,02 Jun 2025 to 31 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based back end systems running container-based applications and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The project team will be responsible for the platform operations, maintenance and development work as well as to provide necessary technical support to Bureau/ Departments (B/Ds) for integrating their online services with the System.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSA will be required to: ;- monitor and perform programming enhancement, prepare test cases and co-ordinate different types of testing with various stakeholders; ;- liaise and collaborate with various parties for supporting system design, implementation, maintenance, troubleshooting for the enhancements of the System; ;- prepare and review system documentation; ;- oversee application development lifecycle and conduct the release management for mobile applications and backend systems; ;- support incident/issue handling for round-the-clock running systems; and ;- perform any other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate should possess: ;- sound knowledge and solid experience in application development for mobile applications in iOS and Android, virtualisation technology, MySQL/MariaDB database support and Java programming; ;- sound knowledge and solid experience related to public key infrastructure, digital certificate related technologies and blockchain related technologies and solutions, especially in identity management; ;- sound knowledge and solid experience in system design, development, implementation and maintenance of IT application systems using web services and RESTful APIs; ;- sound knowledge and solid experience in mini-program infrastructure and application development of uni-app framework for mini-program; ;- solid working experience in providing technical advice and support to different users and clients; ;- good sense of analytical and problem-solving skills; ;- good command of English and Chinese writing skills; ;- good communication and interpersonal skills; and ;- communication using Putonghua will be required. ;The candidate preferably possesses: ;- solid experience in version control system (e.g. Git); and ;- solid experience in working in government IT projects. ;Technical Skills: ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in Web Services (WSV); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 1 year's experience in Mobile / Wireless Communication (MWC); ;. 2 years' experience in Public Key Infrastructure (PKI) is an advantage; ;. 2 years' experience in Cryptography (CRY) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. Good spoken English is a must; ;. Good Putonghua is a must; ;. Good written English is a must; ;. At least 1 year's experience in vendor management (VMG); ;. 3 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in project development in specified business areas (PDE) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33815"")",,ADM,,,,,,,,,,,,,,,,,,,,,,CRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,MWC,,,,,,,,,,,,,,,,,,,PDE,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,WSV,
33756,Contract Senior Systems Analyst (Bid Ref 54208-1),1,1,Application Development,Contract,16 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) 1. Assist IT manager to manage innovation & technology projects, such as BIM, AI and 3D related applications;""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the E&MSD; ;1. Monitor and coordinate all phases of projects including feasibility study, systems analysis and design, installation of computer systems, programming, implementation, system nursing and maintenance; ;2. Perform system integration and implementation activities when required, regarding, but no limited to, system hardware, software, network, programming, application, security, documentation and disaster recovery drill; ;3. Select the appropriate technical strategy and methods for the projects; ;4. Provide IT advisory support to users; ;5. Manage a small team to provide helpdesk services to end-users; and ;6. Ensure service deliverables to be on time and meet quality standard. ;""",6.0,2.0,"""1. Holder of at least higher diploma in Computer Science, Computing Studies, Information Systems, Information Technology, Engineering or equivalent ;2. At least 6 years' post-qualification information technology experience in which 4 years or above in technical support or system maintenance or related fields; ;3. Knowledge and experience in systems design; ;4. Knowledge and experience in contractor management; ;5. Experience in feasibility/technical studies and team supervision. ;6. Experience in working with MS SQL Server and Oracle Database; ;7. Strong commitment to project deadline and delivering high quality work; and ;8. Creative, analytical, self-initiative, responsible and well-organized. ;Technical Skills: ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in Disaster Recovery Planning (DRP); ;. At least 5 years' experience in Enterprise Resource Planning System (ERP); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 5 years' experience in Structured Query Language (SQL); ;. At least 4 years' experience in Microsoft SQL Server (MSS); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in SQL Server Reporting Services (SRS); ;. At least 2 years' experience in IT Planning (ITP). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in Government procurement/disposal procedures (GPD); ;. At least 4 years' experience in quality assurance (QAS); ;. At least 4 years' experience in vendor management (VMG); ;. At least 2 years' experience in software testing (STM); ;. At least 2 years' experience in conducting IT training/briefing (ITT); ;. At least 2 years' experience in presentation (PEX). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33756"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,ERP,,,,,,,,,GOV,GPD,,,,,,,,,,,,,,,,,,,,,,ITP,,ITT,,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,ODB,,,,,,,,,,,,PEX,,,,,,,,,,,,QAS,,,,,,,,,,,,,SIM,,,,SQL,,SRS,,STM,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,
33810,Contract Systems Analyst (Bid Ref 54221-1),1,1,Application Development,Contract,16 Apr 2025,02 May 2025 to 30 Sep 2025 (4 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) Development of management system for Basic Housing Units (BHUs) for Housing Bureau""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To develop management system for Basic Housing Units (BHUs) for Housing Bureau;- To design and setup infrastructure for BHUs in Government Cloud Infrastructure Services (GCIS);;- To perform requirements collection, system analysis & design, development, testing, deployment and enhancement for BHUs;;- To provide on-going maintenance supports for BHUs;;- To review and / or prepare SDLC documentation; and;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""Possess the following skills and hands-on experience:;- At least 2 year of experience as Systems Analyst and 6 years of experience in IT;;- Solid experience in JAVA web application development;;- Solid experience in GCIS;;- Solid experience in SQL;;- Solid experience in Linux System Administration; and;- Strong analytical and problem solving skills in business and technical aspects. ;;Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent;;Capable to work under pressure and tight schedule; and;Self-motivated, independent, diligence, polite, patient, pro-active, fast-learning, good team player. ;Technical Skills: ;. At least 6 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 6 years' experience in JavaScript Programming (JAP); ;. At least 6 years' experience in Linux System Administration (LIN); ;. At least 6 years' experience in Structured Query Language (SQL); ;. At least 3 years' experience in EGIS (EGI). ;Non-technical Skill: ;. At least 3 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33810"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33684,Contract Systems Analyst (Bid Ref 54126-1),1,1,Others,Contract,10 Apr 2025,01 Jun 2025 to 31 Jan 2026 (8 months),under InfoTech,Government T26 Contract,Admiralty,N/A - N/A,"""(T26) The project is to enhance and renew an existing core network infrastructure to support various IT initiatives and projects including new data center network implementation, IP-based Telephone System projects and mobile network solution projects. The tasks also involve project management and infrastructure planning.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;The candidate will need to, ;(a) implement core network infrastructure enhancements, new network system and sub-systems and migration of production systems to the new or enhanced network systems and sub-systems; ;(b) design and implement new data center network system, including network migration between data centers; ;(c) implement new or enhanced site networks; ;(d) manage the network implementation projects including planning, liaison with vendors and internal technical teams and users, contract management, procurement, quality assurance and all other matters related to the successful implementation of the network connections. ;""",5.0,1.0,"""(a) The candidate must have proven working experiences in managing and implementing network infrastructure projects involving large network infrastructure of over 10,000 network ports, 1,000 network routers/switches ;and 200 site locations. S/he must have working experience on managing large network infrastructure PABX migration, LAN and WAN design and planning as well as network integration with ICT systems. S/he should also be familiar with project management and IT procurement. ;(b) On roster as first/second line on-call and/or on-site support ;(Notes: May require to work irregular hours and on weekends/public holidays; and may require to perform outdoor duties). ;(c) Experiences on working in a law enforcement agency environment and sound knowledge on VoIP, firewall, MACSec, MC-LAG, new data center network design and IT network security systems would be advantageous. ;(d) Experiences on mobile/wireless solution knowledge such as 4G, 5G and WiFi would be advantageous. ;(e) Security vetting is required. ;Technical Skills: ;. At least 5 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 5 years' experience in Router Configuration (ROU); ;. At least 5 years' experience in Virtual LAN/LAN Switching (VLS); ;. At least 5 years' experience in Wide Area Network (WAN); ;. At least 4 years' experience in Network Design (NDN). ;Non-technical Skill: ;. At least 3 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,27 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33684"")",,,,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,VLS,,,,,,WAN,,,,,,,,,,,,,,
