Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,AST,AUS,AVT,AWS,BAS,BDM,BGP,BJM,BKO,BNE,BPM,CAD,CAS,CCS,CFA,CHI,CIP,CISA,CISP,CISSP,CLS,CMS,COG,CON,DAR,DBA,DET,DEV,DFT,DLS,DMT,DPS,DRP,DWH,EAI,ECR,EFM,EGI,ELE,ERP,ESD,ESS,ETH,GBC,GIS,GOV,GPD,GSS,GTP,GWIN,HAC,HAU,HDT,HSM,HTM,IAA,IBX,IEG,IFW,IMG,INF,INT,IPS,ISD,ISM,ISS,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LDA,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSA,MSQ,MSS,MUL,MWC,NDN,NEC,NET,NSM,OAC,OAN,OAS,OAT,OCP,ODB,ODT,OKD,OOA,OPF,OPL,OPM,OPV,OUT,PDE,PDS,PHP,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,QAS,RAD,REP,RHEL,RHS,ROU,SAA,SAN,SDH,SDN,SIEM,SIM,SPE,SQL,SRA,SRS,SST,STM,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UNX,VBC,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLG,WLM,WLT,WME,WNT,WSV,WXP,XML
33925,Contract Systems Analyst (Bid Ref 54326-1),1,1,Application Development,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,San Po Kong (Kai Tak) or other Government offices if required,N/A - N/A,"""(T26) Enhancement and on-going support for websites, e-Services and application systems of TID""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To conduct system analysis and design for enhancements of systems ;- To lead subordinates for on-going support and enhancements for systems and websites ;- To prepare and conduct system testing and user acceptance ;- To carry out quality control and quality assurance, and project management duties ;""",6.0,4.0,"""Candidates must have solid experiences in application development and support. They must be experienced in implementation and/or on-going support of website / Internet services. They must be proficient and with experience in object-oriented system analysis and design, Java servlet programming, Java application frameworks (e.g. Struts), web technology and working with Oracle RDBMS. Working experience on web content management system, web programming, JavaScript programming, website administration, Chinese computing and reporting tools (such as Crystal Reports, iText and JasperReports) are desirable. Working experience in the Government of HKSAR is also desirable. ;Technical Skills: ;. At least 6 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 6 years' experience in Java Servlet Programming (JSP); ;. At least 6 years' experience in Object-oriented Analysis and Design (OOA); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 4 years' experience in Web Hosting, Design and Maintenance (WED); ;. 4 years' experience in Chinese Computing Standards, eg.HKSCS,Big5,Unicode (CCS) is an advantage; ;. 4 years' experience in JavaScript Programming (JAP) is an advantage; ;. 4 years' experience in Reporting (Crystal Report, iReport) (REP) is an advantage; ;. 4 years' experience in WebSphere Application Server (WAS) is an advantage; ;. 4 years' experience in Website Administration (WEA) is an advantage. ;Non-technical Skill: ;. 2 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33925"")",,,,,,,,,,,,,,,,,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,JSP,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,OOA,,,,,,,,,,,,,,,,,,,REP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS,WEA,,WED,,,,,,,,,
33917,Contract Systems Analyst (Bid Ref 54325-1),1,1,Others,Contract,02 May 2025,01 Jul 2025 to 30 Apr 2026 (10 months),under InfoTech,Government T26 Contract,Admiralty,N/A - N/A,"""(T26) - Provide server system support to the Force.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;- To support the Force's mission-critical systems and related hardware and software; ;- To apply patches to systems;;- To handle production incident timely;;- To resolve problems;;- To provide technical advice to project team; and;- To provide other services when required. ;""",9.0,7.0,"""- Solid knowledge and experience in Linux;- Solid knowledge and experience in application load balancer technology;;- Solid knowledge and experience in virtualization platform;;- Solid knowledge and experience in data storage switch;;- Knowledge in data center structural cabling;;- Knowledge in MySQL-compatible database technology;;- Experience in network infrastructure is an advantage; and;- Experience in software defined network is an advantage.;(Security vetting is required before candidate reports for duty) ;Technical Skills: ;. At least 5 years' experience in Linux System Administration (LIN); ;. At least 5 years' experience in Network & System Management (NSM); ;. At least 4 years' experience in MySQL (MSQ); ;. At least 1 year's experience in Storage Area Network (SAN). ;Non-technical Skill: ;. At least 9 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 9 years' post-qualification experience in which at least 7 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33917"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,MSQ,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33388,"Contract Systems Analyst (Bid Ref 53835-2) - J2EE, React.js, EGIS",2,1,Application Development,Contract,28 Apr 2025,22 May 2025 to 31 Jan 2026 (8 months),under InfoTech,Government T26 Contract,Yau Ma Tei or Wan Chai,N/A - N/A,"""(T26) Web-based application system for Transport Department""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TD; ;- To support the implementation/on-going maintenance/system enhancement of e-Services and related internal system and monitor the performance of external contractor. ;""",4.0,1.0,"""- To assist in the project management including preparation of Project Management Plan for project implementation; ;- Possess experience and skills in design and support of IT web application systems using Enterprise Java application and modern web framework, i.e React.js etc. ;- To prepare and issue assignment brief for project implementation/enhancement and evaluation of proposal from vendors as well as perform quality review on the deliverables submitted by contractors; ;- To monitor the performance of external contractor for providing on-going support services and system enhancement service and perform quality review on the deliverables submitted by contractors; ;- To liaise with parties concerned, including users, contractors, computer operators, etc. for requirement, implementation and on-going activities support; ;- To support users to conduct UAT and other testing like Load/Stress Test, penetration test, etc. ;- To advise users on all-IT related aspects of the supported systems. ; ;Technical Skills: ;. At least 2 years' experience in J2EE Development (JDE); ;. At least 1 year's experience in Production Database Support (PDS); ;. At least 1 year's experience in IT Security (ITS); ;. At least 1 year's experience in EGIS (EGI); ;. 2 years' experience in Electronic Service Delivery (ESD) is an advantage; ;. 2 years' experience in Server Virtualisation Technology (SVT) is an advantage. ; ;Non-technical Skills: ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. At least 1 year's experience in managing Government projects (MGP); ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage. ; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,11 Apr 2025,itcareer@infotech.com.hk,3978 8022,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33388"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,ESD,,,,,,GPD,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,JDE,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,PDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33889,Contract Project Manager (Bid Ref 54334-1),1,1,Others,Contract,25 Apr 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,Wanchai or Wong Chuk Hang,N/A - N/A,"""(T26) (I) Development of a flexible application processing and workflow management system (APWMS) to digitize the administration of all current and future research funding schemes of the RGC.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the UGC; ;(I) To collaborate with the contractor, stakeholders, and team members in planning and managing all phases of the new system project, including business process reengineering (BPR), system analysis and design (SA&D), procurement and installation of computer systems, programming, implementation, testing, system nursing, and maintenance. Details of the duties include: ;1. Monitoring and managing the performance of the contractor; ;2. Carrying out quality control and assurance, managing project, scrutinizing project reports and specifications; ;3. Monitoring and overseeing user requirements gathering and the related analysis; ;4. Monitoring, overseeing and providing advice on the BPR study; ;5. Monitoring, overseeing and providing advice on SA&D; ;6. Coordinating meetings with users and the contractor; ;7. Procuring system and database services / computer software and hardware; ;8. Preparing contingency plans and drills; ;9. Planning, monitoring and performing system/UAT testing; ;10. Managing and overseeing the operation of the new system; ;11. Planning and overseeing the expansion of the system to cover other funding schemes after rolling out. ; ;(II) To be responsible for the maintenance and enhancement of the existing electronic systems. Details of the duties include: ;1. Installing / maintaining / upgrading computer software and hardware; ;2. Procuring system and database services / computer software and hardware; ;3. Conducting impact analysis and determining necessary changes on applications due to software or environmental changes; ;4. Performing SDLC activities in application or upgrade projects including requirement analysis, prototyping, functional design, technical analysis, implementation, documentation, SIT and UAT and rollout; ;5. Working closely with subject teams in the Department and business users to ensure technical compatibility and user satisfaction; ;6. Responsible for system implementation, development, maintenance, testing, training and enhancement of business application in SDLC. ;""",12.0,6.0,"""1. Have a master degree in Information Technology or related disciplines; ;2. Have qualification related to Project Management; ;3. Have good written skills in Chinese and English and fluent in these spoken languages; ;4. Strong understanding of IT security principles and best practices in system development and maintenance stage; ;5. Have solid experience in development and maintenance of web application systems, programming experiences in J2EE, MySQL, MSSQL, VMware, Linux system, JBoss application server, web development, HTTP protocol; ;6. Have proven experience in vendor management, contract management and IT outsourcing; ;7. Possess good interpersonal skills, capable of working independently and under pressure; ;8. Have project development experience in funding scheme system; ;9. Preference will be given to those who have working experience in the HKSAR Government projects. ;Technical Skills: ;. At least 10 years' experience in IT Application Development and Management (ADM); ;. At least 10 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 7 years' experience in Project Management Professional (PMP) (PMP); ;. At least 7 years' experience in JavaScript Programming (JAP); ;. At least 7 years' experience in JBoss Application Server (JAS); ;. 7 years' experience in JAVA Programming (JAV) is an advantage; ;. 7 years' experience in Structured Query Language (SQL) is an advantage; ;. 6 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 6 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 6 years' experience in Web Programming (WEB) is an advantage; ;. 6 years' experience in J2EE Development (JDE) is an advantage; ;. 6 years' experience in Java Servlet Programming (JSP) is an advantage; ;. 6 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 6 years' experience in HTML version before HTML5 (HTM) is an advantage; ;. 6 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 5 years' experience in MySQL (MSQ) is an advantage; ;. 3 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 3 years' experience in Storage Area Network (SAN) is an advantage; ;. 3 years' experience in Windows Server 2008/2012 (W12) is an advantage. ;Non-technical Skills: ;. At least 6 years' experience in Business Process Modeling (BPM); ;. At least 6 years' experience in project development in specified business areas (PDE); ;. 6 years' experience in project management (PRM) is an advantage; ;. 6 years' experience in IT procurement (PRO) is an advantage; ;. Good coordination skills is an advantage; ;. 6 years' experience in work with the Government (GOV) is an advantage; ;. 6 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 6 years' experience in Government tendering procedures (GTP) is an advantage; ;. 6 years' experience in managing Government projects (MGP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,11 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33889"")",,ADM,,,,,,,,,,,,BPM,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,,,GOV,GPD,,GTP,,,,,,HTM,,,,,,,,,,,,,,,,,,JAF,JAP,JAS,JAV,JDE,JSP,,,,,,,,,MGP,,,,MSQ,MSS,,,,,,,,,,,,,,,,,OPL,,,,PDE,,,,,,PMP,,PRM,PRO,,,,,,,,,SAN,,,,SIM,,SQL,,,,,SVT,,,,,,,,,,,,,,,,,,WEB,,,,,,,,,,
33894,Contract Project Manager (Bid Ref 54291-1),1,1,Others,Contract,28 Apr 2025,17 Jun 2025 to 16 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wanchai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based back end systems and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The CPM will lead a team to support the operation management of the System, and to direct the contractor teams on bug fixing and system enhancement works.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CPM will be required to: ;1. manage the operation team and coordinate with related government contractors on the operations and maintenance work for the System; ;2. make sure the operations and security controls of the System are in compliance with ISO/IEC 20000-1:2018, ISO/IEC 27001:2013, and ISO/IEC 27701:2019; ;3. monitor the system performance including response time, alert messages, system utilisation, jobs results, interfaces status, etc.; ;4. manage the security alerts and security patching and to review system audit log and server logs for health-checking; ;5. perform disaster recovery drill and incident response drill regularly; and ;6. any other duties (including publicity) assigned by the supervisors. ;""",8.0,2.0,"""The candidate should possess: ;1. solid working experience in operational management of medium to large scale IT systems; ;2. strong knowledge and experience in IT system operations, maintenance and on-going support; ;3. good understanding on system architecture and networking, governance, and information security management framework; ;4. possession of experiences in vendor management and supporting Government systems or services is an advantage; ;5. knowledge and experience in ISO 20000/27001/27701 is an advantage; ;6. good command of English and writing skills; ;7. good coordination and liaison skills; and ;8. ability to communicate in Mandarin. ; ;Criminal record verification by the Hong Kong Police Force is required ;Technical Skills: ;. At least 4 years' experience in IT Operational Management (OPM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Security (ITS); ;. At least 2 years' experience in Network & System Management (NSM); ;. 4 years' experience in IT Application Development and Management (ADM) is an advantage; ;. 3 years' experience in Infrastructure (INF) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. Good written English is a must; ;. At least 2 years' experience in quality assurance (QAS); ;. 3 years' experience in managing G2B and G2C projects (GBC) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,14 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33894"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBC,,,,,,,,,,,,,,,,,INF,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,NSM,,,,,,,,,,,,OPM,,,,,,,,,,,,,,QAS,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33914,Contract Systems Analyst (Bid Ref 54372-1),1,1,Application Development,Contract,25 Apr 2025,01 Jun 2025 to 31 Aug 2025 (3 months),under InfoTech,Government T26 Contract,"Wan Chai, Hong Kong",N/A - N/A,"""(T26) Manage Central Operations Support System (COSS) & Public Enquiry Management System (PEMS) IT project""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. Perform project management of outsourced Information and Communications Technology (ICT) projects ;2. Participate in the funding application, tendering and procurement in various projects ;3. Work with business owners to establish a clear programme of activities ;4. Assist in collecting and consolidating user requirements and turn them into structural system specifications ;5. Prepare technical specifications for application, hardware equipment, software, and services ;6. Assist in design, development and implementation of applications and systems ;7. Design the system infrastructure and network security measures ;""",8.0,4.0,"""- solid experience in system analysis, design and implementation on system development project ;- solid experience in contractor management ;- solid experience in collecting and consolidating user requirements and turn them into structural system specifications ;- solid experience in Government tender preparation and administration ;- knowledge of network security, cloud-computing, mobile application and micro-service technologies and architecture ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in Data Management (DMT); ;. At least 4 years' experience in Information System Study (ISS); ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. At least 2 years' experience in vendor management (VMG); ;. At least 6 months' experience in managing Government IT standards (ITG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,16 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33914"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISS,,,ITG,ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,
33899,Contract Senior Systems Analyst (Bid Ref 54297-1),1,1,Others,Contract,29 Apr 2025,03 Jun 2025 to 02 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) This is a CSSA position responsible for providing client advisory support on shared services platform of Government Cloud Infrastructure Services (GCIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical support and client liaison to the end users from Government B/Ds in using the shared services of GCIS. The major job duties include:;(a) To provide support on GCIS Shared Services (including notification, messaging and PKI CRL checking), reference modules and applications;(b) To conduct testing on the new release or bug fixing of reference modules from the perspective of client support;(c) To provide client advisory support for the GCIS Shared Services to B/D users with applications hosting on GCIS PaaS platform;(d) To maintain the GCIS PaaS theme page in ITG Infostation for dissemination of the technical information to B/Ds;(e) To carry out other project related duties as designated by the supervisors ;""",6.0,2.0,"""(a) Candidate should have experience in web hosting, design and maintenance;(b) Candidate should have strong sense of analytical and problem solving skills;(c) Candidate should be a team-player with good communication and interpersonal skills;(d) Candidate should have experience in JavaScript and Java programming;(e) Candidate should have experience in GCIS PaaS (EGIS formerly);(f) Candidate should have experience in providing client support and advisory service ;Technical Skills: ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in JavaScript Programming (JAP); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Web Hosting, Design and Maintenance (WED). ;Non-technical Skill: ;. At least 2 years' experience in customer service (CLS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33899"")",,,,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,EGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WED,,,,,,,,,
33900,Contract Systems Analyst (Bid Ref 54338-1),1,1,Others,Contract,29 Apr 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"Kai Tak, Kowloon",N/A - N/A,"""(T26) To provide implementation and system nursing services of Workflow Management Extension (WME), Digital Corporate Identity (eCorp ID) and Uncertificated Securities Market (USM) project, and provide on-going infrastructure support to IRD application systems""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the IRD; ;1. To support the implementation of the WME, including the system nursing and integration with existing Workflow Management System (WMS); ;2. To support the system setup for the eCorp ID and USM projects; ;3. To support the system testing for the national security software product, including the verification of various technical options; ;4. To manage the system integration among various application systems; ;5. To perform and lead subordinates to hands-on install, setup, configure, test and support various system software and applications; ;6. To perform and lead subordinates to manage vendors on system installation, setup, support, performance tuning, capacity planning, testing and problem solving; ;7. To perform and lead subordinates to provide on-going system administration, enhancement, maintenance, capacity planning, performance tuning, testing, technical support and problem solving for the application systems; ;8. To perform and lead subordinates to provide on-going technical support to application teams on application version control, application deployment, problem solving and performance tuning; ;9. To maintain the system specifications, documentation and inventory records; ;10. To assist supervisors in preparing the requirement specifications for the procurement of system equipment and services and managing the contractors; and ;11. To perform any other duties assigned by supervisors. ;""",12.0,4.0,"""1. The candidate should have solid hands-on experience in Linux, Windows, JBoss EAP and cloud technologies including architecture design, installation and setup, administration, configuration, maintenance, testing and technical support; ;2. It is preferable that the candidate has hands-on experience on at least one of the following products/technologies: ;(i) DB2 Server; ;(ii) MySQL; ;(iii) SAN Storage System; ;(iv) Tivoli Workload Scheduler; and ;(v) Local Area Networking; ;3. The candidate is required to provide on-call support service and occasionally required to perform system support tasks on-site in IRD office during non-office hours including public holidays and after mid-night; ;4. The candidate is required to work independently; and ;5. The candidate is required to lead subordinates and work with other project teams to complete the required tasks. ;Technical Skills: ;. At least 10 years' experience in Linux System Administration (LIN); ;. At least 10 years' experience in Networking (NET); ;. At least 10 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 10 years' experience in Windows Server 2008/2012 (W12); ;. At least 3 years' experience in MySQL (MSQ); ;. At least 3 years' experience in JBoss Application Server (JAS); ;. At least 3 years' experience in Tivoli Workload Scheduler (TWS); ;. 2 years' experience in DB2 Administration (DBA) is an advantage; ;. 2 years' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. At least 4 years' experience in managing Government projects (MGP); ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33900"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBA,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAS,,,,,,LIN,,,,,,MGP,,,,MSQ,,,,,,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,TWS,ULS,,,,VMG,,,,,,,,,,,,,,,,,
33961,Contract Systems Analyst (Bid Ref 54395-1),1,1,Others,Contract,08 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"HAHQ, Ho Man Tin, Kowloon",N/A - N/A,"""(T26) Technical Support of Container Management Platform for IT application systems in HKHA""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;1. Provide technical support of container management platform for IT application systems of the on-premise cloud computing platform of HA ;2. Provide technical advice for enquiries from application teams and perform troubleshooting on technical issues ;3. Conduct regular software patch review and implementation ;4. Facilitate regular security risk assessment and audit exercises ;5. Perform capacity planning and DR drill testing ;""",7.0,3.0,"""1. Efficient communication skills in liaison and coordination with application project teams and infrastructure support teams; ;2. Knowledge of cloud computing and containerised applications, is preferred; ;3. Experience in administration of container management platform, such as K8s and Red Hat Openshift Container Platform, and Docker containers, is preferred; ;4. Fundamental understanding of Java application servers, such as Red Hat JBoss Enterprise Application Platform, is preferred; ;5. Experience in certification audits such as ISO27001, ISO20000 and ISO27017, is preferred; ;6. Experience in managing government project is preferred; and ;7. Knowledge of open-source development tools for version control, continuous integration and continuous development (CI/CD), or package management, such as Git, Jenkins and Sonatype Nexus, is preferred. ;Technical Skills: ;. At least 3 years' experience in Disaster Recovery Planning (DRP); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. 3 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 3 years' experience in IT Security (ITS) is an advantage; ;. 3 years' experience in IT Security Scanning Tools (SST) is an advantage; ;. 2 years' experience in Information Security Management (ISM) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in managing international security standards (ISD); ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. Good coordination skills is a must; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33961"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,ISD,ISM,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,SST,,SVT,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,
