Job Key No,Job Title/ Category,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL
Added : ,,,,,,,,,,,,,,,,,,,,
31102,Contract Systems Analyst (Bid Ref 52404-2),1,Application Development,Contract,03 Mar 2025,17 Mar 2025 to 28 Feb 2026 (11 months),under InfoTech,Government T26 Contract,North Point Government Offices and other Government offices,N/A - N/A,"""(T26) Development of Three-dimensional Digital Map in Lands Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- Provide programming design and support to the enhancement of the Windows System Servers; ;- Evaluate and recommend new technologies, tools, and processes that can improve system performance, scalability, and security; ;- Prepare user manual, program manual and functional specification documents of the above systems; ;- Perform system setup and data migration including Virtual Machine administration; ;- Provide system maintenance and technical documentation support; ;- Prepare tender documents for the procurement of hardware and software; ;- To perform any other duties as assigned by supervisor ;""",4.0,1.0,"""- Holder of a higher diploma/degree awarded by a university in Hong Kong or a degree awarded by an overseas education institution to a Hong Kong resident, or equivalent; ;- The higher diploma/degree shall be related to Computer Science, Computer Engineer, Computer Networking, Information Engineering, Information Technology, Geo-informatics, Geomatics Engineering, Geographic Information Science, or equivalent; ;- Holder of Oracle Certified Associate (OCA) or above is preferable; ;- At least 4 years' post-qualification experience in which at least 1 year' relevant experience in a similar post and in a comparable capacity; ;- At least 4 years of hands-on programming experience in application development / system maintenance; ;- At least 4 years of working experience in Oracle or Microsoft SQL database and SQL script development; ;- Experience in using web-based GIS application development such as OpenLayers / CesiumJS / ArcGIS API is preferable; ;- Have a good sense of Object-oriented design; ;- Possess analytical sense, strong problem-solving skills and a good team player; ;- Good command of both spoken and written Chinese and English. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 4 years' experience in Structured Query Language (SQL); ;. 4 years' experience in Web Programming (WEB) is an advantage; ;. 4 years' experience in Geographic Information System (GIS) is an advantage; ;. 4 years' experience in SSADM (SDM) is an advantage; ;. 2 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 2 years' experience in .NET C# (NEC) is an advantage; ;. 2 years' experience in Experience in C# programming (C#P) is an advantage; ;. 2 years' experience in Web 2.0 Services (W2S) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in IT Service Management (SMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31102"")"
33014,Contract Systems Analyst (Bid Ref 53445-1),1,Others,Contract,07 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) Government Cloud Infrastructure Services (GCIS) is the government cloud services platform in support of agile delivery of e-Government services. This CSA post is responsible for providing client advisory support to B/Ds on GCIS services particularly on Infrastructure-as-a-Service (IaaS) and storage solutions (e.g. Network Attached Storage (NAS) and Object Storage) running on GCIS.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical advisory and client liaison services to the project teams of Government B/Ds in utilizing various GCIS services including IaaS, DBaaS, NAS, object storage to implement the e-Government services. The major job duties include: ; ;- To provide technical advices and support regarding system integration involving various GCIS services (e.g. integration of IaaS with GCIS storages, integration of IaaS with DBaaS, etc) to Government B/Ds; ;- To provide client communications and advisory support for the enquiries and reported issues from Government B/Ds; ;- To provide technical advices and client support to the B/Ds' project team members on adoption of various GCIS services including DBaaS, integration of object storage and NAS with IaaS, etc.; ;- To provide technical and advisory support on guest OS such as Windows and Linux platform running on GCIS; ;- To assist the project manager to oversee the operations of the GCIS services; ;- To collaborate with contractors and GCIS support teams in assessing and approving requests raised by B/Ds' project teams; ;- To collaborate with contractors and GCIS support teams in facilitating B/Ds' project team in conducting necessary testing including load test, security test, etc. in the GCIS environment; ;- To coordinate with B/Ds' project teams on the remedial and preventive maintenance of the GCIS infrastructure; and ;- To assist the B/Ds' project teams to migrate their application/systems to the new Government data centre complex. ; ;Candidate may require to provide support services after office hour. ;""",4.0,1.0,"""(i) Sound knowledge in cloud computing and have at least two-years working experience in server virtualisation environment by using VMware vSphere, Windows Server, RedHat Linux, Web Application Firewall, Storage Area Network (SAN), Software-Defined Network (e.g. VMware NSX-T) and Load Balancer; ;(ii) Knowledge in Open-source SQL database (e.g. MySQL and MariaDB), enterprise grade backup solution (e.g. Netbackup), Network Attached Storage (NAS), and Object Storage are definite advantage; ;(iii) Solid experience in providing client advisory support; ;(iv) Strong analytic mind and problem solving techniques, and good communication skills; and ;(v) Hard-working and self-motivated with positive attitudes. ; ;Holder of the following certifications is a definite advantage: ;- Microsoft Certified IT Professional (or equivalent); and ;- VMware Certified Professional (or equivalent). ;The candidate must be able to communicate in written and verbal English and Chinese to deliver his/her duties. ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Multi-tier System Integration (MSI); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Technical Architectural Support (TAS); ;. At least 2 years' experience in Virtual LAN/LAN Switching (VLS). ;Non-technical Skills: ;. At least 2 years' experience in customer service (CLS); ;. At least 1 year's experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,21 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33014"")"
33035,Contract Systems Analyst (Bid Ref 53595-1),1,Others,Contract,10 Mar 2025,01 Apr 2025 to 30 Sep 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) System enhancement, administration and on-going support of Active Directory (AD) service of HD""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;(a) On-going support of physical and virtual AD servers of HD ;(b) Upgrade operating system of AD servers from Microsoft Windows Server 2012 and Microsoft Windows Server 2016 ;(c) Enhancement of log management solution for AD servers of HD ;(d) Setup new AD servers in HD's production AD domain ;(e) Configurate AD servers to support Centrally Managed Messaging Platform (CMMP) ;(f) Enhancement of security control for AD servers of HD ;""",5.0,2.0,"""(a) Experience in administration and support of Windows Server OS and Active Directory ;(b) Hands-on experience in AD group policy and login scripts ;(c) Strong communication and troubleshooting skill ;Technical Skills: ;. At least 5 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 5 years' experience in Infrastructure (INF); ;. At least 5 years' experience in PC LAN Support (PLS); ;. At least 5 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in Windows 7/8/10 (W10); ;. At least 3 years' experience in Windows Server 2008/2012 (W12); ;. 6 months' experience in Storage Area Network (SAN) is an advantage; ;. 6 months' experience in Security Risk Assessment (SRA) is an advantage; ;. 6 months' experience in Information Security Management (ISM) is an advantage; ;. 6 months' experience in Microsoft SQL Server (MSS) is an advantage; ;. 6 months' experience in Anti-Virus Technology (AVT) is an advantage; ;. 6 months' experience in Endpoint Security Solutions (ESS) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33035"")"
31661,Contract Systems Analyst (Bid Ref 53253-2),1,Application Development,Contract,12 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To provide IT services including project management, outsourcing management of contractors, technical support and advisory, quality assurance and system administration for the implementation of new IT systems and application maintenance for existing IT systems in DSD.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DSD; ;Systems Analyst is mainly deployed to perform the following duties:;(a) To design, collect user requirements, implement, provide technical support and administer various IT systems including electronic record keeping system, e-form applications, workflow systems, rostering systems, etc.;(b) To manage contractor to provide maintenance support for IT system using Microsoft Dynamics 365.;(c) To manage contractor to revamp and provide maintenance support for IT system using Opentext Documentum Record Management software.;(d) To monitor progress of project activities to ensure that meeting planned project schedule.;(e) Collect and analyse user requirements and render technical advice to users.;(f) Perform quality assurance on contractors' deliverables to ensure meeting user requirements and the Government standards.;(g) Support user acceptance tests and activities on system roll out.;(h) Support on-going system maintenance activities.;(i) Provide user training on the implemented IT system. ;""",8.0,6.0,"""(a) Must be a holder of degree in Information Technology, Computer Science or related disciplines, or equivalent.;(b) Must have at least eight years' post -qualification IT experience of which six years must be in a similar post and in a comparable capacity.;(c) Must possess at least 1-year experience in supporting rostering systems.;(d) Must possess at least 1-year experience in administration and application development of Microsoft Dynamics 365.;(e) Must possess at least 2-year experience in supporting Opentext Documentum Record Management software.;(f) Holder of Oracle / Microsoft SQL Server certificates is preferred. ;Technical Skills: ;. At least 5 years' experience in Client/Server Application Development (C/S); ;. At least 5 years' experience in JavaScript Programming (JAP); ;. At least 5 years' experience in Microsoft SQL Server (MSS); ;. At least 3 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 3 years' experience in Windows Server 2008/2012 (W12); ;. At least 2 years' experience in Web Services (WSV); ;. At least 2 years' experience in Documentum (DUM); ;. At least 2 years' experience in Document Management System (DMS); ;. At least 2 years' experience in Oracle RDBMS (ODB); ;. 4 years' experience in PRINCE (PRE) is an advantage; ;. 2 years' experience in Imaging (IMG) is an advantage; ;. 1 year's experience in Electronic Form (EFM) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,26 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31661"")"
33059,Contract Systems Analyst (Bid Ref 53561-1),1,Others,Contract,12 Mar 2025,07 Apr 2025 to 15 Mar 2026 (11 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Support the inventory management, contract management and capacity planning of the Government Cloud Infrastructure Services (GCIS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;This post is responsible for the inventory management, contract management and project management and of GCIS contract;- Take part in the project administration and contractor management for GCIS ;- Provide operation support for the inventory management of hardware and software of GCIS;- Work with client advisory team, technical team and GCIS contractors to support GCIS operation, multiple tenants and to assist in annual capacity planning for GCIS ;""",4.0,1.0,"""- Knowledge and experience in cloud computing technologies including server virtualisation, security, etc.;- Experience in inventory management;- Experience in contract administration is preferred;- ITIL certification is preferred;- Competent communication skills, both verbal and written, and interpersonal skills;- Experience in acceptance of IT infrastructure project deliverables preferred;- Strong analytical mind and problem solving techniques;- Knowledge in government procurement procedures is an advantage ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 1 year's experience in IT Security (ITS); ;. At least 1 year's experience in IT Operational Management (OPM); ;. 6 months' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. 1 year's experience in contract administration (CON) is an advantage; ;. 6 months' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 6 months' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,26 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33059"")"
32977,"Contract Senior Systems Analyst - Infrastructure, IT Security (Bid Ref 52491-1)",1,Others,Contract,06 Mar 2025,01 Apr 2025 to 30 Sep 2025 (5 months),under InfoTech,Government T26 Contract,DPO Cyberport Office,N/A - N/A,"""(T26) This is a CSSA position responsible for current ongoing the Government Cloud Infrastructure Services (GCIS), which provides a reliable application hosting platform as well as various e-services for shared use among government bureaux and departments. The successful candidate is required to provide infrastructure and security support on the GCIS infrastructure.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the department; ;- Assist in the infrastructure support of the GCIS platform; ;- Assist in the security control and management for GCIS; ;- Assist in quality assurance of the support services of GCIS; ;- Provide system support on GCIS PaaS service; ;- Assist in preparing technical specification for equipment such as server and related system software; ;- Assist in monitoring and managing the implementation progress of new procured equipment; ;- Assist in the inventory management of GCIS items; ;- Carry out other project related duties as designated by the supervisors.""",6.0,2.0,"""- Candidate should possess experience in infrastructure support; at least 2 years' experience in Infrastructure; ;- Candidate should possess experience in IT security management; at least 2 years' experience in IT security; ;- Candidate should possess good English written skill; Good written English is a must; ;- Candidate should possess experience in quality assurance of IT support services; at least 2 years' experience in quality assurance; ;- Candidate should be a team player with good communication and interpersonal skills; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=32977"")"
33060,Contract Systems Analyst (Bid Ref 53621-1),1,Others,Contract,12 Mar 2025,27 Mar 2025 to 26 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Wanchai or Wong Chuk Hang,N/A - N/A,"""(T26) 1. Management and maintenance of websites;2. Development of system on checking duplicate funding application""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the UGC; ;1. Management and maintenance of websites;(a) Manage and maintain the operation of websites;;(b) Liaise with contractors and keep monitoring on the maintenance and system migration, if necessary;;(c) Prepare and review technical documents, including security handling guidelines, system manuals and user manuals;;(d) Review the websites regularly to ensure their compliance with requirements of Digital Policy Office;;(e) Provide professional advice on IT-related matters; and;(f) Provide on-going support and maintenance of the websites;;2. Development of system on checking duplicate funding application;(a) Assist in preparation of procurement, including identifying suitable vendors, preparing technical specification, etc.;(b) Assist in the development, including managing vendor, monitoring development progress, liaising with vendor to solve issues, etc.;(c) Provide professional advice on the development;;(d) Perform user acceptance test and review the security risk assessment audit report; and;(e) Maintain and prepare report for checking duplication regularly and when necessary. ;""",4.0,1.0,"""1. A bachelor degree in Computer Science or related disciplines from a Hong Kong university, or equivalent;2. A good command of oral and written Chinese and English (Level 3 or above in Chinese Language and English;3. Language in the HKDSEE, or the HKCEE, or equivalent);4. At least four years post-qualification full-time work experience in information technology, preferably in government departments, universities, or research organisations;;5. Solid and proven experience in project management, development and maintenance of web-based application, website design, web accessibility and monitoring outsourcing projects;;6. Good interpersonal skills and be able to handle work independently; and;7. Preference may be given to candidates who possess experience in HKSAR Government projects. ;Technical Skills: ;. At least 3 years' experience in Information Security Management (ISM); ;. At least 3 years' experience in IT Security (ITS); ;. At least 3 years' experience in Web Programming (WEB); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Structured Query Language (SQL); ;. 4 years' experience in Website Administration (WEA) is an advantage; ;. 4 years' experience in SQL*PLUS/PL/SQL/PRO*C (OPL) is an advantage; ;. 4 years' experience in Web Hosting, Design and Maintenance (WED) is an advantage; ;. 4 years' experience in IT Application Development and Management (ADM) is an advantage; ;. 4 years' experience in JavaScript Programming (JAP) is an advantage; ;. 4 years' experience in JBoss Application Server (JAS) is an advantage; ;. 4 years' experience in JAVA Programming (JAV) is an advantage; ;. 3 years' experience in MySQL (MSQ) is an advantage; ;. 3 years' experience in HTML version before HTML5 (HTM) is an advantage; ;. 2 years' experience in Security Incident Detection and Handling (SDH) is an advantage; ;. 2 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 2 years' experience in HTML5 (HT5) is an advantage; ;. 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. At least 3 years' experience in project management (PRM); ;. At least 3 years' experience in vendor management (VMG); ;. 3 years' experience in software testing (STM) is an advantage; ;. Good coordination skills is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 1 year's experience in IT procurement (PRO) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,26 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33060"")"
33058,Contract Senior Systems Analyst (Bid Ref 53530-1),1,Application Development,Contract,05 Mar 2025,01 Apr 2025 to 31 Mar 2026 (12 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based back end systems and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users.;The project team will be responsible for supporting application deployment, quality assurance of application programs and monitoring the contractor teams on bug fixing and system enhancement works.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSSA will be required to:;1. provide technical and operational support for the enhancements related to Optical Character Recognition/ Facial Recognition (OCR/FR) modules, liveness detection and checking modules, and anti-deepfake modules of the System;;2. perform issue/incident handling and troubleshooting in particular for the mobile app and system infrastructure of the System;;3. review deliverables provided by outsourcing contractors and conduct acceptance tests of the enhancements;;4. assist supervisor in preparing technical specifications and operational manual for the enhancements; and;5. any other duties assigned by the supervisors. ;""",6.0,2.0,"""The candidate should possess:;1. sound knowledge and solid experience in supporting digital identity system / IT application development involving mobile apps on Android and iOS platforms;;2. sound knowledge and working experience related to OCR, FR and anti-deepfake technologies;;3. sound knowledge and solid experience in performing system integration test and user acceptance test.;4. good command of English and writing skills;;5. good coordination and communication skills; and;6. communication using Putonghua will be required. ;Technical Skills: ;. At least 5 years' experience in JavaScript Programming (JAP); ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in MySQL (MSQ); ;. At least 2 years' experience in Public Key Infrastructure (PKI); ;. 2 years' experience in IT Security (ITS) is an advantage; ;. 1.5 years' experience in IT Application Development and Management (ADM) is an advantage. ;Non-technical Skills: ;. Good spoken English is a must; ;. Good written English is a must; ;. Good coordination skills is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 1.5 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,26 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33058"")"
33054,Contract Systems Analyst (Bid Ref 53620-1),1,Application Development,Contract,12 Mar 2025,02 Apr 2025 to 01 Oct 2026 (18 months),under InfoTech,Government T26 Contract,North Point,N/A - N/A,"""(T26) Mixed implementation approach with outsourced and in-house application development.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ICAC; ;(a) To take part in all phases of computer projects including feasibility study, systems analysis and design, procurement and installation of computer systems, management and liaison with outsourced contractors, programming, implementation, system nursing and maintenance; ;(b) To analyze, design and specify program components of computer systems; ;(c) To participate in the installation, testing and evaluation of new hardware, software and technologies; ;(d) To perform programming, data analysis and modeling, database definition and design, monitoring and provide advice to the development team; ;(e) To prepare and conduct program testing and user acceptance test; ;(f) To prepare project reports and specifications; ;(g) To devise system and installation standards; ;(h) To prepare test and verification procedures for trial runs and production runs; ;(i) To assist in the implementation and support of appropriate security controls in IT systems ;(j) To lead and give guidance to his/her subordinates and monitor their performance; and ;(k) To undertake any other duties as assigned by his/her supervisors. ;""",4.0,1.0,"""(a) Academic Qualitification ;Hold an undergraduate degree awarded by a post-secondary institution, or equivalent, in computer and information technology related discipline; ; ;(b) Language Proficiency ;Level 2 / Grade E or above in Chinese Language and Level 2 / Grade E or above in English Language (Syllabus B before 2007) in the Hong Kong Diploma of Secondary Education Examination (HKDSEE) or the Hong Kong Certificate of Education Examination (HKCEE), or equivalent; and fluency in spoken English, Cantonese and Putonghua and in written English and Chinese. ; ;(c) Relevant field of work experience ;Have experience in the development and implementation of web application systems applying HTML5, CSS3, Javascript, C#, Microsoft .NET., preferably with experience in feasibility/technical studies, team leading/supervision, systems analysis and design. ; ;(d) Number of years of relevant work experience ;- at least four (4) years&;#8217; post-qualification information technology experience of which at least one (1) year must be in a similar post and in a comparable capacity ; ;(e) Other essential requirements ;- at least 3 months' experience in DPO's Chatbot-as-a-Services platform ; ;Preference will be given to those candidates with professional qualifications or experience in DPO's eProof platform, government cloud infrastructure, chatbot solutions, blockchain solutions, learning management system, eForm or workflow automation system and government IT projects. ;Technical Skills: ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Microsoft Internet Information Services (MIS); ;. At least 3 years' experience in Microsoft SQL Server (MSS); ;. At least 3 years' experience in .Net Development (NDE); ;. At least 3 years' experience in .NET C# (NEC); ;. At least 3 years' experience in EGIS (EGI); ;. At least 3 years' experience in HTML5 (HT5); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 3 years' experience in Web Programming (WEB); ;. 1 year's experience in Web Services (WSV) is an advantage; ;. 1 year's experience in IT Security (ITS) is an advantage; ;. 1 year's experience in Public Key Infrastructure (PKI) is an advantage; ;. 1 year's experience in IT Application Development and Management (ADM) is an advantage; ;. 1 year's experience in Client/Server Application Development (C/S) is an advantage; ;. 1 year's experience in Cryptography (CRY) is an advantage; ;. 1 year's experience in Data Encryption Technology (DET) is an advantage; ;. 1 year's experience in Document Flow/Workflow Management System (DOC) is an advantage; ;. 1 year's experience in Electronic Form (EFM) is an advantage; ;. 6 months' experience in Security Risk Assessment and Audit (SAA) is an advantage; ;. 6 months' experience in Security Risk Assessment (SRA) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 1 year's experience in Government tendering procedures (GTP) is an advantage; ;. 1 year's experience in conducting IT training/briefing (ITT) is an advantage; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in IT service/outsourcing management (OUT) is an advantage; ;. 1 year's experience in IT procurement (PRO) is an advantage; ;. 1 year's experience in software testing (STM) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,26 Feb 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33054"")"
