Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,AUS,GOV,GSS,NDA,OUT,SAN,AIX,ALV,APH,API,APN,APR,ARC,ARI,ASP,AVT,AWS,BAS,BDM,BGP,BJM,BKO,BPE,BPM,CAD,CCS,CFA,CHI,CIP,CLS,CMS,COG,CON,CPM,CRE,CRS,CSA,CSF,CSS,DAM,DAR,DBA,DCM,DET,DFT,DLS,DMO,DMS,DMT,DNS,DOC,DPO,DPS,DRP,DUM,DVD,DWH,EAI,EAM,ECR,EDR,EFM,EGI,EJB,ELE,EMG,ERP,ESD,ESS,ETH,FPA,GBC,GCE,GIS,GOA,GPD,GPU,GSR,GTP,HCI,HCM,HDT,HRM,HTM,IAA,IBM,IBX,ICT,IDA,IDS,IEC,IEG,IFW,IIS,IMG,IMS,INF,INT,IOS,IPD,IPS,ISM,ISO,ISS,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JPA,JSF,JSP,JVD,KMT,LAN,LCI,LDA,LIN,LNA,LNM,LON,MAR,MCS,MDM,MET,MGP,MIS,MNE,MSA,MSI,MSP,MSQ,MSS,MUL,MVC,MVS,MWC,NDE,NDN,NEC,NEG,NET,NSM,NSX,OAN,OAS,OAT,ODB,ODT,OMA,OOA,OPL,OPM,ORA,PDE,PDS,PEX,PHP,PID,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAR,QAS,QAT,QMT,QPS,RAD,RAM,RAS,REP,RFC,ROU,RSA,RWD,SAA,SAM,SAP,SCM,SDH,SDK,SDM,SDN,SEO,SIM,SMG,SMT,SOA,SPA,SPE,SQL,SRA,SSO,SST,STM,SVN,SVT,SYB,TCP,TOM,TPA,UAT,ULS,UNA,UNX,UPS,USA,VBA,VBC,VBE,VCP,VCT,VLS,VMG,VPN,VSN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WIS,WLM,WLT,WME,WPG,WSD,WSV,XML,COB,EPS,FPS,NAS,OCP,OKD,OPF,SAR,SRS,TAS,TWS
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33480,Contract Systems Analyst (Bid Ref 53999-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support; and;10. To maintenance and on-going support DOJ systems;11. Perform any other duties (e.g. on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",9.0,4.0,"""- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 9 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 9 years' experience in J2EE Development (JDE); ;. At least 9 years' experience in Java Beans Development (JVD); ;. At least 9 years' experience in Object-oriented Analysis and Design (OOA); ;. At least 6 years' experience in Oracle Application Server Admin. and Tuning (OAT). ;Non-technical Skills: ;. At least 8 years' experience in work with the Government (GOV); ;. At least 8 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 9 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33480"")",,,,GOV,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,JVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAT,,,,OOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33448,Contract Systems Analyst (Bid Ref 53799-1),1,1,Others,Contract,27 Mar 2025,01 May 2025 to 28 Feb 2026 (9 months),under InfoTech,Government T26 Contract,"Room 613, 6/F., West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) Project initiation, implementation and on-going support of IT projects proposed in the Departmental IT Plan of CSB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;A Systems Analyst is mainly deployed to perform the following duties:;1. Responsible for feasibility study, implementation, development, system maintenance and support of IT systems and services;;2. Provide support and advice to various system upgrades, prepare and conduct system testing and user acceptance test;;3. Provide delivery works including feasibility study, design, application and/or system programming, testing, system acceptance, data conversion, training, capacity planning, technical support and quality assurance;;4. Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;5. Assist supervisors in vendor management;;6. Assist supervisors in managing outsourcing services including quality assurance of deliverables and service acceptance;;7. Assist supervisors in reviewing the technical architecture proposed by vendors and conducting technical study on new technologies;;8. Participate in procurement processes of IT systems, products and services;;9. Support supervisor in providing technical advice to management, user or community as appropriate;;10. Perform evaluation and research of new hardware, software and technologies; ;11. Provide problem resolution for system failure that may happen outside normal office hours;;12. Assist supervisors in initiation, implementation and maintenance support of other IT projects proposed in the Departmental IT Plan of CSB; and;13. To provide emergency telephone support during non-prime hour as and when required. ;""",5.0,4.0,"""1. Degree in Computer Science/Computer Studies, or equivalent;;2. At least five (5) years' post-qualification full-time IT experience of which at least four (4) years must be in a similar post and in a comparable capacity;;3. Good knowledge of Microsoft Windows Server; ;4. Strong analytical and problem solving skills;;5. Good interpersonal and communication skills; and;6. Good oral and written communication skills in both Chinese (essentially Cantonese) and English. ;Technical Skills: ;. At least 5 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 5 years' experience in Departmental Portal (DPS); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 5 years' experience in Windows 7/8/10 (W10); ;. At least 5 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skills: ;. At least 5 years' experience in the management and support of Government systems and services (GSS); ;. 5 years' experience in work with the Government (GOV) is an advantage; ;. 1 year's experience in project management (PRM) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33448"")",ADA,,,GOV,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33444,Contract Systems Analyst (Bid Ref 53372-1),1,1,Others,Contract,27 Mar 2025,01 May 2025 to 28 Feb 2026 (9 months),under InfoTech,Government T26 Contract,"Room 613, 6/F., West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) Project initiation, implementation and support of IT projects proposed in the Departmental IT Plan of CSB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;A Systems Analyst is mainly deployed to perform the following duties:;1. Responsible for feasibility study, implementation, development, system maintenance and support of IT systems and services;;2. Provide delivery works including application and/or system programming, feasibility study, design, testing, system acceptance, data conversion, training, capacity planning, technical support and quality assurance;;3. Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;4. Assist supervisors in vendor management;;5. Assist supervisors in managing outsourcing services including quality assurance of deliverables and service acceptance;;6. Assist supervisors in reviewing the technical architecture proposed by vendors and conducting technical study on new technologies;;7. Participate in procurement processes of IT systems, products and services;;8. Support supervisor in providing technical advice to management, user or community as appropriate;;9. Perform evaluation and research of new hardware, software and technologies; ;10. Provide problem resolution for system failure that may happen outside normal office hours; and;11. Assist supervisors in initiation, implementation and maintenance support of other IT projects proposed in the Departmental IT Plan of CSB. ;""",4.0,1.0,"""1. Bachelor degree or equivalent;;2. At least four (4) years' post-qualification full-time IT experience of which at least one (1) year must be in a similar post and in a comparable capacity;;3. Experience in software development methodology e.g. Agile, SSADM, etc.;;4. Experience in Object-oriented programming and Java technology;;5. Strong analytical and problem solving skills;;6. Good interpersonal and communication skills; and;7. Good oral and written communication skills in both Chinese (essentially Cantonese) and English. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 4 years' experience in Structured Query Language (SQL); ;. At least 4 years' experience in Web Programming (WEB); ;. 3 years' experience in Web Services (WSV) is an advantage; ;. 3 years' experience in XML (XML) is an advantage; ;. 3 years' experience in Windows Server 2008/2012 (W12) is an advantage; ;. 3 years' experience in J2EE Development (JDE) is an advantage; ;. 3 years' experience in EGIS (EGI) is an advantage; ;. 3 years' experience in HTML5 (HT5) is an advantage. ;Non-technical Skills: ;. 4 years' experience in customer service (CLS) is an advantage; ;. 4 years' experience in work with the Government (GOV) is an advantage; ;. 4 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 3 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 3 years' experience in software testing (STM) is an advantage; ;. 3 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33444"")",,ADM,,GOV,GSS,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,SQL,,,,STM,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,WEB,,,,,,,,WSV,XML,,,,,,,,,,,
33489,Contract Systems Analyst (Bid Ref 54022-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Central, Queensway and Wanchai",N/A - N/A,"""(T26) IT helpdesk and support services""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;(a) To provide telephone and on-site helpdesk services to end-users, and trouble-shoot problems on PCs and computer equipment ;(b) To set up PC and multi-media equipment for DoJ users at various offices;(c) To provide user support for general office automation systems (e.g. Lotus Notes, Outlook, Confidential Mail, iNotes, Windows 10, MS Office, Internet Explorer, Chrome) and dedicated system (OpenText eDocs Document Management System);(e) To assist project teams in the implementation and support of new technology products;(f) To specialize in some special systems / programs with a view to providing guidance to junior officers and to recommending measures for improvements;(g) To assist in system administration work of the computer network, monitoring performance of major systems, and backing up of servers and computer systems;(h) To provide training and demonstration to end-users on various systems being supported;(i) To perform any other computer-related and administrative duties assigned by senior officers ;""",7.0,6.0,"""Experience in providing user support to OpenText eDocs Document Management is a definite advantage.;;The successful candidate may need to work in different offices of the Department at various locations including Queensway, Wanchai, Central and magistracy courts in Hong Kong, Kowloon and New Territories. ;Technical Skills: ;. At least 7 years' experience in Confidential Mail System (CMS); ;. At least 7 years' experience in Document Management System (DMS); ;. At least 7 years' experience in Lotus Notes Mail Admin. & Technical Support (LNM); ;. At least 7 years' experience in Remote Access Server (RAS); ;. At least 7 years' experience in Virtual Private Network (VPN). ;Non-technical Skills: ;. At least 7 years' experience in customer relations (ECR); ;. At least 7 years' experience in work with the Government (GOV); ;. At least 7 years' experience in helpdesk call handling (HDT); ;. At least 7 years' experience in conducting IT training/briefing (ITT); ;. Good spoken English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33489"")",,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMS,,,,,,,,,,,,,,,,,DMS,,,,,,,,,,,,ECR,,,,,,,,,,,,,,,,,,,,,,HDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITT,,,,,,,,,,,,,,,,LNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPN,,,,,,,,,,,,,,,,,,,,,,,,,,,
33483,Contract Systems Analyst (Bid Ref 54003-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support for DOJ systems; and;10. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",4.0,2.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in user training, implementation and support of iPads/ Mobile device;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 7 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 7 years' experience in JAVA Programming (JAV); ;. At least 7 years' experience in Microsoft SQL Server (MSS); ;. At least 7 years' experience in Oracle RDBMS (ODB); ;. At least 7 years' experience in Web Programming (WEB). ;Non-technical Skills: ;. At least 7 years' experience in Business Process Modeling (BPM); ;. At least 7 years' experience in the management and support of Government systems and services (GSS); ;. At least 4 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33483"")",,,,GOV,GSS,,,,,,,,,,,,,,,,,,,,,BPM,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEB,,,,,,,,,,,,,,,,,,,,
33485,Contract Senior Systems Analyst (Bid Ref 54013-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support for DOJ systems; and;10. Perform any other duties (e.g. helpdesk, on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",8.0,4.0,"""- Experiences and/or knowledge in Government Legal Workflow System would be an advantage.;- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 9 years' experience in JAVA Programming (JAV); ;. At least 9 years' experience in J2EE Development (JDE); ;. At least 9 years' experience in Java Servlet Programming (JSP); ;. At least 9 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in Document Flow/Workflow Management System (DOC). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in the management and support of Government systems and services (GSS); ;. At least 5 years' experience in software testing (STM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33485"")",,,,GOV,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,JDE,,,JSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33463,Contract Senior Systems Analyst (Bid Ref 54010-1),1,1,Application Development,Contract,31 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Mainly at North Point Government Offices and require to visit sub-offices on HK Island, Kln & NT",N/A - N/A,"""(T26) Monitoring, support, feasibility & technical study, implementation and maintenance of computer systems and related services.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- Provide management and support to Nutanix HCI server farm and GPU server farm;- Provide advice and support for the development and maintenance of computer systems;- Monitor, maintain and support in computer systems;- Provide advice and support in IT security;- Evaluate and select appropriate computer products for the development and maintenance of computer systems and related facilities;- Provide advice in adoption and application of specific information technologies in the department;- Prepare user requirement specifications, work assignment briefs for procurement of hardware, software and services;- Prepare and maintain system documentation;- Manage outsourcing services;- Take part in and monitor all phases of computer projects;- Work with different vendors and the teams on computer projects;- Perform any other duties assigned by supervisor ;""",11.0,2.0,"""- at least one year experience in providing support to Nutanix HCI Server Farm and GPU Server Farm;- at least six year experience in project management using Project Management Plan.;- at least six year experience in supporting e-Leave, Departmental Portal and Confidential Mail system. ;Technical Skills: ;. At least 5 years' experience in Microsoft SQL Server (MSS); ;. At least 5 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in SSADM (SDM); ;. At least 5 years' experience in Server Virtualisation Technology (SVT). ;Non-technical Skills: ;. At least 6 years' experience in work with the Government (GOV); ;. At least 6 years' experience in Government procurement/disposal procedures (GPD); ;. At least 6 years' experience in the management and support of Government systems and services (GSS); ;. At least 6 years' experience in IT service/outsourcing management (OUT). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 11 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33463"")",,,,GOV,GSS,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,GPU,,,HCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SDM,,,,,,,,,SQL,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33443,Contract Systems Analyst (Bid Ref 53370-1),1,1,Others,Contract,27 Mar 2025,01 May 2025 to 28 Feb 2026 (9 months),under InfoTech,Government T26 Contract,"Room 613, 6/F., West Wing, Central Government Offices, 2 Tim Mei Avenue, Tamar, Hong Kong",N/A - N/A,"""(T26) Project initiation, implementation and support of IT projects proposed in the Departmental IT Plan of CSB.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CSBU; ;A Systems Analyst is mainly deployed to perform the following duties:;1. Responsible for feasibility study, implementation, development, system maintenance and support of IT systems and services;;2. Provide delivery works including feasibility study, design, application and/or system programming, testing, system acceptance, data conversion, training, capacity planning, technical support and quality assurance;;3. Liaise with parties concerned (including users, vendors, computer operators) for requirement study, implementation and on-going activities support;;4. Assist supervisors in vendor management;;5. Assist supervisors in managing outsourcing services including quality assurance of deliverables and service acceptance;;6. Assist supervisors in reviewing the technical architecture proposed by vendors and conducting technical study on new technologies;;7. Participate in procurement processes of IT systems, products and services;;8. Support supervisor in providing technical advice to management, user or community as appropriate;;9. Perform evaluation and research of new hardware, software and technologies; ;10. Provide problem resolution for system failure that may happen outside normal office hours; and;11. Assist supervisors in initiation, implementation and maintenance support of other IT projects proposed in the Departmental IT Plan of CSB. ;""",6.0,4.0,"""1. Bachelor degree or equivalent;;2. At least six (6) years' post-qualification full-time IT experience of which at least four (4) years must be in a similar post and in a comparable capacity;;3. Experience in software development life cycle;;4. Experience in Java and PHP technology;;5. Good knowledge of Microsoft Windows Server; ;6. Strong analytical and problem solving skills;;7. Good interpersonal and communication skills; and;8. Good oral and written communication skills in both Chinese (essentially Cantonese) and English. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 4 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in PHP programming (PHP); ;. 4 years' experience in PRINCE (PRE) is an advantage; ;. 4 years' experience in SSADM (SDM) is an advantage; ;. 3 years' experience in Data Modeling (DMO) is an advantage; ;. 3 years' experience in Enterprise Application Integration (EAI) is an advantage; ;. 3 years' experience in Object-oriented Analysis and Design (OOA) is an advantage; ;. 2 years' experience in JavaScript Programming (JAP) is an advantage; ;. 2 years' experience in J2EE Development (JDE) is an advantage; ;. 1 year's experience in Server Virtualisation Technology (SVT) is an advantage; ;. 1 year's experience in Windows Server 2008/2012 (W12) is an advantage. ;Non-technical Skills: ;. 4 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,20 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33443"")",,ADM,,GOV,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMO,,,,,,,,,,,EAI,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOA,,,,,,,PHP,,,,,,,PRE,,,,,,,,,,,,,,,,,,,,,,,,SDM,,,SIM,,,,,,SQL,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
