Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADM,CON,CPM,DMT,DOC,GOV,ISM,ITP,ITS,JAF,JAV,JAVA,KMT,NET,OUT,PRE,PRM,PRO,SAA,TPA,VMG,ABAP,ADA,ADFS,AIX,AJAX,ALV,APH,API,APN,APR,ARC,ARI,ASP,AUS,AVT,AWS,BAPI,BAS,BDM,BGP,BIM,BJM,BKO,BPE,BPM,CAD,CAVE,CCDA,CCDP,CCIE,CCNA,CCNP,CCS,CCTV,CDR,CEH,CFA,CHI,CIP,CISA,CISCO,CISM,CISP,CISSP,CLS,CMMP,CMS,CND,COBIT,COG,CRE,CRS,CSA,CSF,CSS,DAM,DAR,DBA,DCM,DELL,DET,DFS,DFT,DLS,DMO,DMS,DPO,DPS,DRP,DUM,DVD,DWH,EAI,EAM,ECR,EDR,EFM,EGI,EGIS,EJB,ELE,EMC,EMG,EMSD,ERKS,ERP,ESD,ESET,ESRI,ESS,ESX,ETH,FIVE,FOUR,FPA,GBC,GCE,GCIS,GCSE,GIS,GITP,GNET,GOA,GPD,GPU,GSS,GTP,HACMP,HAU,HCI,HCM,HCS,HDT,HKALE,HKCEC,HKCEE,HKPF,HKSAR,HKSCS,HRM,HTM,HTML,HYPER,IAA,IBM,IBX,ICT,IDA,IDEA,IDS,IEC,IEG,IFW,IGCSE,IIS,IMG,IMS,INF,INFO,INT,IOS,IPD,IPS,ISO,ISS,ITA,ITC,ITG,ITIL,ITMU,ITT,JAP,JAS,JDBC,JDE,JPA,JSF,JSON,JSP,JVD,KTD,LAN,LCI,LDA,LDAP,LIN,LNA,LNM,LON,MAR,MCS,MDM,MET,MGP,MIS,MNE,MSA,MSI,MSP,MSQ,MSS,MSSQL,MUL,MVC,MVS,MWC,NAS,NDA,NDE,NDN,NEC,NEG,NOT,NSM,NSX,OAC,OAN,OAS,OAT,OCI,ODB,ODT,OES,OMA,OOA,OPL,OPM,ORA,OSDP,OSPF,PABX,PDE,PDF,PDS,PEX,PHP,PIAA,PID,PIDR,PIT,PKI,PLS,PLSQL,PLUS,PMG,PMP,PRS,PRT,QAR,QAS,QMT,QPS,RAD,RAM,RAS,RDBMS,REP,RFC,RFID,RHEL,RHS,ROU,RSA,RWD,SAM,SAML,SAN,SAP,SAS,SCADA,SCM,SDH,SDK,SDM,SDN,SEO,SIEM,SIM,SMG,SMT,SOA,SPA,SPE,SPR,SQL,SRA,SRAA,SRS,SSADM,SSCP,SSO,SSRS,SST,STM,SVN,SVT,SYB,TAS,TCP,THREE,TOM,TSM,TWO,TWS,UAT,UDB,UDP,ULS,UML,UNA,UNIX,UNX,UPS,USA,VBA,VBC,VBE,VCP,VCT,VLAN,VLS,VPN,VRP,VSAN,VSN,WAA,WAN,WAP,WAS,WCAG,WEA,WEB,WED,WIS,WLM,WLT,WME,WPG,WSD,WSV,XML,BNE,DNS,GSR,QAT
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33643,Contract Systems Analyst (Bid Ref 54004-1),1,1,Others,Contract,31 Mar 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,"Mainly at North Point Government Offices and require to visit sub-offices on HK Island, Kln & NT",N/A - N/A,"""(T26) Implementation of IT systems in Lands Department;;Support of the departmental network connecting to the Government Backbone Network (GNET);;Migration of various Active Directory in Lands Department;;Implementation of WiFi System;;Implementation of Network Access Control (NAC) System;;Replacement of de-supported network equipment;;Support of departmental network load balancer; and;Implementation of Virtual Private Network (VPN) System""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- To analyze, trouble shoot and provide solution for all network connectivity, cloud service, virtualization platform and system errors;- To implement, design, configure, install, test and trouble shoot of IT systems;- To work with other groups to help establishing the standards of system architecture, data communications, and system security for seamless integration of multiple system modules;- To monitor and maintain healthiness of application system by monitoring tools;- Conduct Technical study of upgrade of data center;- To prepare documentation if necessary;- To perform any duties assigned by supervisor ;""",4.0,1.0,"""In addition to above technical requirements, the applicant must have:;- 60 months of working experience in supporting Cisco and H3C network products;;- 60 months of working experience in design, installation and configuration of firewall, IDS, IPS, edge router, wifi network and core switch;- 48 months of working experience in supporting GOA related network infrastructure connecting to GNET (The Government Backbone Network) (Preferable);;- At least 36 months of hand-on working experiences on installation, configuration, administration, design, implement, support and maintenance;of IT network system includes VPN, Load Balancer, Firewall, IDS, IPS, Network Access Control System and WiFi;;- Experience in supporting networking products such as Cisco, Fortinet, Aruba, Paloalto, Ivanti and Checkpoint network products;;- Experience in tender preparation in QPS, SOA and GITP (Preferable).; ;- Experience in supporting monitoring tool including Opmanager or Solarwinds (Preferable); and;- Able to work independently and with good communication skills ;Technical Skills: ;. At least 5 years' experience in Internet Firewall Technical Support (IFW); ;. At least 5 years' experience in Network & System Management (NSM); ;. At least 4 years' experience in Virtual Private Network (VPN); ;. At least 4 years' experience in Wireless Technology (WLT); ;. At least 4 years' experience in Intrusion Prevention System (IPS); ;. At least 4 years' experience in Metro-Ethernet Network (MNE). ;Non-technical Skill: ;. At least 5 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33643"")",,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GITP,GNET,GOA,,,,,,,,,,,,,,,,,,,,,,,,,,,IDS,,,IFW,,,,,,,,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MNE,,,,,,,,,,,,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPN,,,,,,,,,,,,,,WLT,,,,,,,,,
33644,Contract Senior Systems Analyst (Bid Ref 54077-1),1,1,Others,Contract,07 Apr 2025,02 Jun 2025 to 27 Feb 2026 (8 months),under InfoTech,Government T26 Contract,Tseung Kwan O and occasionally provide support at Immigration offices including control points,N/A - N/A,"""(T26) Enhancement support of Corporate Data Repository (CDR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To be responsible for various enhancements for CDR and the database migration for system integration with ImmD's application systems, and subsequent 7x24 on-call support on CDR which include:;- work with contractors to perform hardware and software upgrade on the infrastructure components of CDR;;- oversee and ensure the data migration of CDR is executed in a proper and concise order when performing the required hardware and software upgrade;;- coordinate with related stakeholders from both business and technical aspects and provide technical support for system enhancements;;- plan and implement security enhancements on the database of CDR;;- provide operational support on various application components including HACMP, TSM and job scheduler;;- plan and coordinate Disaster Recovery (DR) drill for CDR and ImmD's application systems;;- perform study and proof-of concept for database products for CDR;;- execute and assure the proper change management; and;- perform other duties assigned by supervisor. ;""",6.0,2.0,"""The candidate shall possess the following essential technical skills:;(a) well-versed in DB2 database administration including SQL commands and database tuning;;(b) proficient in IBM AIX UNIX system administration;;(c) solid experience in supporting the system components of the CDR including HACMP, TSM and job scheduler;;(d) experience in security access control on database; and;(e) experience in coordinating and supporting the DR drill activities.;;Criminal record check will be required. ;Technical Skills: ;. At least 3 years' experience in DB2 Administration (DBA); ;. At least 3 years' experience in Tivoli Storage Management (TSM); ;. At least 2 years' experience in Tivoli Workload Scheduler (TWS); ;. At least 2 years' experience in Disaster Recovery Planning (DRP). ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33644"")",,,,,,GOV,,,,,,,,,,,,,,,,,,,AIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDR,,,,,,,,,,,,,,,,,,,,,,,DBA,,,,,,,,,,,DRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HACMP,,,,,,,,,,,,,,,,,IBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,TSM,,TWS,,,,,,,UNIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33661,Contract Project Manager (Bid Ref 54094-1),1,1,Others,Contract,08 Apr 2025,14 Apr 2025 to 30 Sep 2025 (5 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To assist the Judiciary in taking forward the design and development work for the implementation of projects under the IT Strategy Plan, and providing ongoing support of the production systems.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Judiciary; ;The candidate will be responsible for the following tasks.;- Lead the framework development team in designing and implementing a microservices architecture using React (frontend) and Spring Boot (backend).;- Provide ongoing support and maintenance for existing frameworks (JSF and EJB) and the new frameworks in microservices architecture, including scheduled/unscheduled maintenance outside normal office hours.;- Oversee the setup and management of CI/CD pipelines to ensure efficient deployment processes.;- Manage the deployment of applications in a Kubernetes environment.;- Implement single sign-on with identity and access management for authentication and authorization using OAuth2.;- Collaborate with stakeholders to gather requirements and ensure meeting the project objectives.;- Ensure adherence to best practices and standards in software development, security, and project management for the Judiciary.;- Perform other tasks as assigned by the supervisor. ;""",8.0,4.0,"""Other than the requirements specified in the 'Technical' and 'non-Technical' Requirement Sections below.;- Bachelor's degree in Computer Science, Information Systems, or a related field.;- Minimum of 4 years of management experience in software development or related area.;- Proven track record in leading software development teams, particularly in architecture roles.;- Strong proficiency in both frontend and backend technologies.;- Knowledge on various application libraries/frameworks such as React, Spring Boot, JSF, and EJB with practical experience in using any of these technologies in system design and development.;- Knowledge on the following technologies and experience in at least one of them; * setting up and managing CI/CD pipelines.; * container orchestration using Kubernetes.; * Keycloak and OAuth2 for authentication and authorization.;- Excellent problem-solving skills with the ability to work effectively under pressure.;- Strong communication and leadership skills. ;Technical Skills: ;. At least 4 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in J2EE Development (JDE); ;. At least 4 years' experience in Web Services (WSV); ;. 4 years' experience in IT Application Development and Management (ADM) is an advantage; ;. 4 years' experience in HTML5 (HT5) is an advantage; ;. 4 years' experience in IT Planning (ITP) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 4 years' experience in work with the Government (GOV) is an advantage; ;. 4 years' experience in managing Government projects (MGP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,25 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33661"")",ADM,,,,,GOV,,ITP,,JAF,JAV,JAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,JSF,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSV,,,,,
33261,Contract Systems Analyst (Bid Ref 53810-2),2,1,Others,Contract,08 Apr 2025,09 Apr 2025 to 31 Mar 2026 (11 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To assist Senior Telecommunications Engineer to perform network, fiber and telecommunications projects of;the HKPF""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKPF; ;1. Conduct feasibility studies, market research, solicit system requirements and features with all;users and relevant working parties, consolidate until agreements are reached and project;commenced, conduct project review with user as required.;2. Provide cost estimation, prepare project estimations until funds are approved; conduct fund;control and periodic reporting.;3. Write tender specifications and conduct tender assessment and contract procurement process.;4. Manage of contractor on site works, installation standards and project progress. ;""",5.0,1.0,"""The CSA Under the supervision of Senior Telecom Engineer or his delegated appraising officers, the;T-Contract staff shall perform his assignment and duties and report to the supervisor under;structured project management environment. Familiar with PRINCE II process or equivalent, project handling;experiences in fibre, fixed and wireless communications systems, CCTV and related site implementation works, supervision of sub-contractor on site works.;;Security Vetting is required. ;Technical Skills: ;. At least 2 years' experience in Internet/ Intranet (INT); ;. At least 2 years' experience in Information Security Management (ISM); ;. At least 2 years' experience in Metro-Ethernet Network (MNE); ;. At least 2 years' experience in Network Design (NDN); ;. At least 2 years' experience in Network & System Management (NSM); ;. 1 year's experience in Source Control Management System (SCM) is an advantage; ;. 1 year's experience in Video Conference Technology (VCT) is an advantage; ;. 1 year's experience in Wireless Technology (WLT) is an advantage; ;. 1 year's experience in Mobile / Wireless Communication (MWC) is an advantage; ;. 1 year's experience in Multi-vendor Mission Critical System (MCS) is an advantage. ;Non-technical Skills: ;. Excellent written English is a must; ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in contract administration (CON) is an advantage; ;. 1 year's experience in Government tendering procedures (GTP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,25 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33261"")",,CON,,,,,ISM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCTV,,,,,,,,,,,,,,,,,,,CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS,,,MGP,,MNE,,,,,,,,,,MWC,,,,NDN,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCT,,,,,,,,,,,,,,,,,WLT,,,,,,,,,
33662,Contract Systems Analyst (Bid Ref 54098-1),1,1,Others,Contract,08 Apr 2025,02 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"HAHQ, Ho Man Tin, Kowloon",N/A - N/A,"""(T26) Application system support and maintenance of IT application systems in Hong Kong Housing Authority""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;1. To maintain and support various web based application systems, in particular the HRMS and e-Leave System; ;2. Assist the project manager in project management, contract administration and managing outsourced services; and ;3. Perform other administrative activities as when required. ;""",10.0,5.0,"""1. Experienced in liaison and coordination with users and other infrastructure support teams; ;2. Experience in managing and supporting customer relationship management system is preferred; and ;3. Experience in managing Government projects is preferred. ;Technical Skills: ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in J2EE Development (JDE); ;. At least 5 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in Oracle e-business suite (OES); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 5 years' experience in Structured Query Language (SQL). ;Non-technical Skill: ;. At least 5 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,25 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33662"")",,,,,,GOV,,,,,JAV,JAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,OES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDBMS,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33665,Contract Systems Analyst (Bid Ref 53659-1),1,1,Application Development,Contract,08 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Wanchai,N/A - N/A,"""(T26) Outsourcing, development, implementation and support of application systems for promoting Construction, Digital, administrating multiple Building Information Modelling (BIM) related hardware and software, developing departmental BIM Common Data Collaboration Platform (CDCP), pilot SCADA Replicator System for E&MB and reprovision of CAVE system at DS Tower for BIM Support Team.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DSD; ;Systems Analyst is mainly deployed to perform the following duties:;;1. To assist in the implementation of Supervisory Control and Data Acquisition system (SCADA) replicator system in E&MB for collecting readings to the centralized database for visualization in Departmental BIM Visualization Platform;;2. To collect and consolidate the user and functional requirements and administrate the implementation and further enhancement of the departmental CDCP platform, check and upkeep the server structures for housing design/as-built BIM models and liaise with other teams to provide network and computer support services;;3. To render advices and conduct business process engineering, if necessary, to optimize effectiveness of business processes related to the CDCP;;4. To design and develop the requirements for procuring vendor services for Application Programming Interface (API) of BIM software to improve the workflow and efficiency of BIM authoring and checking with the integration with CDCP;;5. To oversee the application of and manage the BIM software inventory and related hardware;;6. Prepare tender documents for implementing enhancements for the existing applications and new IT systems;;7. To coordinate with and support colleagues on the Cave Automatic Virtual Environment (CAVE), CDCP, BIM authoring software, point cloud viewer and Virtual Reality (VR) applications;;8. To oversee the reprovision fo CAVE system at the new DS tower and relevant contract administration.;9. Support user acceptance test and provide user training on IT systems; and;10. To perform any other duties assigned by senior officers. ;""",10.0,5.0,"""Systems Analyst must have;1. Holder of a Bachelor degree in Information Technology, Computer Science or related disciplines;;2. Have attained Level 2 or above in Chinese Language and English Language in the Hong Kong Certificate of Education Examination (HKCEE) or equivalent; ;(N.B.: Grade E in Chinese Language and English Language (Syllabus B) in previous HKCEE is accepted administratively as comparable to Level 2 in Chinese Language and English Language in the 2007 HKCEE and henceforth.);3. Proficient in managing IT development projects and managing/overseeing day-to-day operations of web-based systems;;4. Have at least two years&;#8217; experience on IT service procurement, contract monitoring, user management, quality assurance and IT security audit, and management of multiple IT projects,;5. He/she should be proficient in documenting user and functional requirements in English; and;6. Knowledge on immersive CAVE, SCADA, BIM and GIS is preferred. ;Technical Skills: ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 2 years' experience in Information System Study (ISS); ;. At least 1 year's experience in Web Services (WSV); ;. At least 1 year's experience in Structured Query Language (SQL); ;. 1 year's experience in Web Programming (WEB) is an advantage; ;. 1 year's experience in Geographic Information System (GIS) is an advantage; ;. 1 year's experience in Data Architecture (DAR) is an advantage; ;. 1 year's experience in Data Modeling (DMO) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in the management and support of Government systems and services (GSS); ;. At least 3 years' experience in managing Government projects (MGP); ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 3 years' experience in quality assurance (QAS); ;. At least 3 years' experience in vendor management (VMG); ;. At least 3 years' experience in Business Process Re-engineering (BPE); ;. At least 3 years' experience in Business Process Modeling (BPM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,25 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33665"")",ADM,,,,DOC,GOV,,,,,,,,,OUT,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,BIM,,,BPE,BPM,,CAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAR,,,,,,,,DMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,,,,,,GSS,,,,,,,,,,HKCEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QAS,,,,,,,,,,,,,,,,,,,,SCADA,,,,,,,,SIM,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEB,,,,,,,,WSV,,,,,
33654,Contract Systems Analyst (Bid Ref 53985-1),1,1,Others,Contract,07 Apr 2025,02 May 2025 to 31 Jan 2026 (8 months),under InfoTech,Government T26 Contract,Kwun Tong,N/A - N/A,"""(T26) Development and Maintenance of IT application systems and IT support of Delineation of boundaries for District Council Orindary Election""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the REO; ;1. To carry out development and maintenance of IT application systems for voter registration and election activities; ;2. To provide IT support for voter registration and election activities ;3. To provide IT support for delineation of boundaries of Geographical Constituency ;""",5.0,5.0,"""Please refer to the technical and non-technical requirements ;**Note: The Spec'd Business Area mentioned in the requirement of """"IPD - Intensive Proj't Devpt Exp in Spec'd Business Area"""" refers to public election. ;Technical Skills: ;. At least 4 years' experience in Experience in C# programming (C#P); ;. At least 4 years' experience in Geographic Information System (GIS); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in Structured Query Language (SQL); ;. At least 4 years' experience in VBA (VBA). ;Non-technical Skill: ;. At least 3 years' experience in project development in the specified business area (IPD). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33654"")",,,,,,,,,,,JAV,JAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33659,Contract Systems Analyst (Bid Ref 54097-1),1,1,Others,Contract,01 Apr 2025,09 Apr 2025 to 31 Oct 2025 (6 months),under InfoTech,Government T26 Contract,"Wan Chai, Hong Kong",N/A - N/A,"""(T26) Manage the Water Supplies Department (WSD)&;#8217;s IT infrastructure and application monitoring system and provide departmental support to the network infrastructure and network security of WSD""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. Implement the WSD infrastructure and application monitoring system ;2. Coordinate system design, testing and user acceptance ;3. Conduct and co-ordinate Security Risk Assessment and Audit ;4. Participate in the funding application, tendering and procurement ;5. Coordinate the log analysis of WSD infrastructure and applications;6. Support the network and cloud infrastructure;7. Provide support to WSD management for assigned tasks ;""",6.0,3.0,"""- solid experience in contractor management;- solid experience in project management;- solid experience in management of Huawei HCS implementation;- solid experience in project planning;- solid experience in project schedule control and quality assurance;- well-versed in project team collaboration and motivation ;Technical Skills: ;. At least 4 years' experience in Huawei VRP & Huawei Products (HAU); ;. At least 4 years' experience in Infrastructure (INF); ;. At least 4 years' experience in Information System Study (ISS); ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in Technical Architectural Support (TAS). ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in Government tendering procedures (GTP); ;. At least 3 years' experience in managing Government projects (MGP); ;. At least 3 years' experience in project management (PRM). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33659"")",,,,,,GOV,,ITP,,,,,,,,,PRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GTP,,HAU,,,HCS,,,,,,,,,,,,,,,,,,,,,,,,,,INF,,,,,,,ISS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAS,,,,,,,,,,,,,,,,,,,,,,,,,VRP,,,,,,,,,,,,,,,,,,,,,,
