Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APH,ARC,ARI,ASP,AUS,AVT,AWS,BDM,BIM,BJM,BKO,BPE,BPM,CAP,CAS,CCDA,CCDP,CCIE,CCNA,CCNP,CCS,CEH,CFA,CHI,CIP,CISA,CISM,CISSP,CLS,CMS,CND,CON,CRE,CSF,DAM,DAR,DBA,DCM,DET,DFT,DMO,DMS,DMT,DOC,DPS,DRP,DWH,EAI,ECR,EFM,EGI,EGIS,EJB,ELE,ERP,ESS,ETH,FLN,FPA,GBC,GCIS,GIS,GMS,GOA,GOV,GPD,GSR,GSS,GTP,HAU,HDT,HKCEE,HPX,HTM,IAA,IBX,IDA,IEG,IFW,IIS,IMG,INF,INT,IPD,IPS,ISM,ISS,ITA,ITG,ITIL,ITP,ITS,ITT,IVRS,JAF,JAP,JAS,JAV,JDE,JSF,JSP,JVD,KMT,KTD,LDA,LIN,LNM,LON,MCS,MET,MGP,MIS,MNE,MSA,MSI,MSP,MSQ,MSS,MUL,MWC,NDE,NDN,NEC,NEG,NET,NSM,OAC,OAT,OCI,ODB,ODT,OES,OMA,OOA,OPL,OPM,ORA,OSDP,OUT,PDE,PDS,PEX,PHI,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SCM,SDE,SDH,SDM,SDN,SIEM,SIM,SPA,SPE,SPR,SQL,SRA,SRS,SSCP,SST,STM,SVT,SYB,TCP,TOM,TPA,TSM,TWS,ULS,UML,UNA,UNX,VBA,VBC,VCP,VCT,VLS,VMG,VPN,VRS,VSN,WAA,WAN,WAS,WEA,WEB,WED,WES,WFS,WLG,WLM,WLT,WME,WMS,WPG,WSV,XML,CISP,CMMP,CRS,DLS,EMG,ESD,LNA,MDM,NDA,OAN,SAS,SEO,SMG,SMT,TAS,UDB,VBE,WAP
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33784,Contract Project Manager (Bid Ref 54180-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Support of IT Systems for the Land Registry (LR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- This is a project-based post.;- To lead a team of IT staff and work collaboratively with other IT teams or contractors for the development of large scale in-house IT systems for the LR;;- To provide IT support to the IT systems and online services;;- To plan, coordinate and facilitate the conduct of user acceptance tests;;- To plan and coordinate the deployment and release of IT systems to production including publicity arrangement;;- To conduct quality review (and testing) on the technical products; and;- To handle system incidents and assist in service resumption. ;""",10.0,2.0,"""- Excellence in verbal and written communication in both English and Chinese;;- Solid hands-on experience in the development, maintenance and support of IT systems especially for land registration or land conveyancing business;;- Solid hands-on experience in developing bilingual online applications, document management and imaging systems under Unix/Oracle platform;;- Strong knowledge and experience in RAD or OO Analysis and Design;;- May have to work in other LR offices within HK territory and outside normal office hours (including Saturday, Sunday and Public Holiday). ;Technical Skills: ;. At least 4 years' experience in PRINCE (PRE); ;. At least 3 years' experience in Electronic Form (EFM); ;. At least 3 years' experience in Imaging (IMG); ;. At least 3 years' experience in J2EE Development (JDE); ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in Structured Query Language (SQL) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage; ;. 6 months' experience in Web Programming (WEB) is an advantage; ;. 6 months' experience in Document Flow/Workflow Management System (DOC) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33784"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,EFM,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,,,,,,,IMG,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,PRE,,,,,QAS,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,UNX,,,,,,,,,,,,,,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33747,Contract Senior Systems Analyst (Bid Ref 54227-1),1,1,Application Development,Contract,08 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Mainly at TWGO. The staff is required to work in other offices in HK when requested.,N/A - N/A,"""(T26) Development and maintenance of Geographic Information Systems (GIS) and IT services in Lands Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LandsD; ;- To act as technical lead for application development team;;- To liaise with Government B/Ds and internal parties to collect, analyze user requirements and design technical solutions;;- To provide technical support and input in the daily operation of 3D GIS / 3D modelling and related systems and projects;;- To design and develop web GIS applications built with open-source GIS software/technology, ESRI ArcGIS Server, Oracle database, PostgreSQL and Java platform;;- To supervise subordinates to evaluate system implementation options and prepare technical details to support system implementation;;- To be in charge of user acceptance test for conducting program testing, system testing and developing systematic test cases;;- To conduct quality assurance, verification and rectification of data and applications;;- To prepare and maintain system documents to support system development and enhancement;;- To translate, simplify and prioritize user requirements into a manageable scope to facilitate development of technical solutions;;- To collaborate with data team and infrastructure team on enabling changes and system optimization;;- To manage and communicate with users, monitor user expectations and plan for potential requirement changes and to fulfill their business needs; ;- To assist in preparation of training and presentation materials for application users; and ;- To perform any other duties as assigned by supervisor. ;""",10.0,5.0,"""- Holder of a degree awarded by a university in Hong Kong or a degree awarded by an overseas education institution to a Hong Kong resident, or equivalent;;- The degree shall be related to Geo-informatics, Geomatics Engineering, Geographic Information Science, Computer Science, Information Engineering, Information Technology or equivalent;;- Have at least 10 years post-qualification information technology experience of which 5 years in comparable capacity;;- Past working experience as Systems Analyst may be counted as comparable capacity;;- Possess strong practical working experiences and solid knowledge on IT system design and analysis, development, configuration, administration, support and maintenance of web applications and large-scale IT systems;;- Knowledge of open-source GIS software/technology, ESRI GIS Suite of products, data modelling of geospatial data, Oracle and PostgreSQL database;;- Understand the geospatial data standards, data interoperability, accessibility assessment, cartographic representation, web/graphic design, image processing technology, or inertial positioning will be an advantage;;- Able to work independently, supervise staff, and possess strong sense of analytical and problem solving skills;;- Good command of both spoken and written Chinese and English.;;Preference may be given to candidates who have:;- Knowledge in AI/ML and data analytic; and;- Experience in using Unreal Engine, or other game engine. ;Technical Skills: ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in Geographic Information System (GIS); ;. At least 5 years' experience in JavaScript Programming (JAP); ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 5 years' experience in Multi-tier System Integration (MSI); ;. At least 5 years' experience in Oracle RDBMS (ODB); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33747"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIS,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,MSI,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33749,Contract Systems Analyst (Bid Ref 54211-1),1,1,Application Development,Contract,15 Apr 2025,02 Jun 2025 to 30 Sep 2025 (3 months),under InfoTech,Government T26 Contract,New Immigration Headquarters at Tseung Kwan O and occasionally provide support at various immigratio,N/A - N/A,"""(T26) To provide IT support for enhancement of visas application handling systems for the Next Generation Application and Investigation Easy Systems (APPLIES-2) of the Immigration Department (ImmD).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;The CSA will be responsible for providing IT support and advice for application design and implementation for the APPLIES-2 of ImmD.;;The key duties are listed as follows:;;(a) To oversee system analysis and design, application development, application testing, production rollout, system nursing and maintenance for system implementation and enhancements for visas application handling systems;;(b) To monitor contractor&;#8217;s work and provide technical advice on contractor&;#8217;s deliverables;;(c) To coordinate with related stakeholders and provide technical support for the system enhancement, system support and on-site IT activities;;(d) To review deliverables, provide comments and technical advices on project progress and monitor performance of contractors&;#8217; work;;(e) To execute and ensure the proper production change on systems; and ;(g) To perform any other duties as designated by the project manager. ;""",4.0,1.0,"""(i) Strong system analytical and programming skill;;(ii) Good knowledge on server administration, web application, relational database and x86 operating system;;(iii) Good experience in providing technical support and advisory on system implementation of mission critical systems;;(iv) Good experience in project coordination and management;;(v) Able to work independently;;(vi) Work in ImmD Headquarters at Tseung Kwan O, and occasionally provide support at various immigration offices and data centres; and;(vii) Criminal record check is required. ;Technical Skills: ;. At least 2 years' experience in FileNet (FLN); ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 2 years' experience in JAVA Programming (JAV). ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. At least 2 years' experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33749"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLN,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33778,Contract Project Manager (Bid Ref 54170-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) To manage the application development, maintenance and enhancement for IT systems / projects of LR.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;To manage the implementation of IT projects and to ensure projects to be completed on time and with quality;;- To develop business case and perform feasibility studies / impact analyses for new IT initiatives;;- To lead an application team to provide the necessary IT maintenance support;;- To carry out IT procurement in compliance with Government procedure and standard;;- To manage contractors and their deliverables; ;- To enforce IT security policy; and;- To perform any other duties assigned by supervisor. ;""",10.0,5.0,"""The required candidate must have solid project management experience; good understanding on IT security risks to information systems and data; and good track record working in the IT community of the public sector in Hong Kong.;;The candidate will be required to provide 7 x 24 on-call service to support the operations of the systems. ;Technical Skills: ;. At least 8 years' experience in IT Application Development and Management (ADM); ;. At least 6 years' experience in Oracle Application Development (ORA); ;. At least 6 years' experience in Enterprise Java Beans Development (EJB); ;. At least 6 years' experience in FileNet (FLN); ;. 6 months' experience in IT Security (ITS) is an advantage; ;. 6 months' experience in J2EE Development (JDE) is an advantage; ;. 6 months' experience in Security Risk Assessment and Audit (SAA) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage. ;Non-technical Skills: ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in IT procurement (PRO) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33778"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJB,,,,,FLN,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORA,,,,,,,,,,,,,,,PRO,,,,,,,,,,SAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33770,Contract Senior Systems Analyst (Bid Ref 54114-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Implementation of IT Systems and providing application support for LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To supervise other IT support staff for the development of in-house applications ;- To perform application development and maintenance and provide 7 x 24 on-call support for e-Form Implementation, Knowledge Management and other IT systems.;- To perform impact analysis and implement enhancements and software upgrades.;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;- To perform any other duties assigned by supervisor. ;""",10.0,3.0,"""- Solid hands-on experience in large-scale application development projects, especially for land registration, land conveyancing business and electronic form systems. ;- Good command of written English and Chinese. ;Technical Skills: ;. At least 5 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 5 years' experience in Electronic Form (EFM); ;. At least 5 years' experience in Imaging (IMG); ;. At least 5 years' experience in J2EE Development (JDE); ;. 2 years' experience in Knowledge Management Technology (KMT) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage; ;. 2 years' experience in JavaScript Programming (JAP) is an advantage; ;. 2 years' experience in FileNet (FLN) is an advantage. ;Non-technical Skill: ;. At least 5 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 10 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33770"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,EFM,,,,,,,,FLN,,,,,,,GOV,,,,,,,,,,,,,,,,IMG,,,,,,,,,,,,,,,JAP,,,JDE,,,,KMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33741,Contract Systems Analyst (Bid Ref 54184-1),1,1,Others,Contract,15 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To provide ongoing support services to the existing IT Infrastructure systems and implement new IT infrastructure systems in Drainage Services Department.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DSD; ;1. Administrate the Security Identity Management System (Idm);;2. Administrate the Mobile Device Management (MDM) Services;;3. Administrate Messaging System (IBM Domino, iNotes, Traveler, e-Fax and SMS services);;4. Administrate the Confidential Messaging Service (CMSG) and Mobile Confidential Mail Service (MCMS);;5. Administrate the Email Firewall and the Advance Persist Threat (APT) Protection System for Email;;6. Review and apply controls and best practices as possible to meet the regulations, policies, standards and guidelines of the Government of HKSAR;;7. Maintain up-to-date of system documentation such as installation and configuration guide, administration and operation procedure, end user guide, system architecture and design specification, etc.;8. Administrate the Centrally Managed Messaging Platform (CMMP). ;""",8.0,2.0,"""1. University Degree in Information Technology, Electronic Engineering or equivalent issued by a Government recognised education institute;;2. Holder of IBM Certified System Administrator - Lotus Notes and Domino;;3. Good understanding of TCP/IP protocols such as SMTP and email routing.;4. At least 8 years of Lotus Domino server/users administration experience;;5. At least 3 years of Confidential Mail System and Mobile Confidential Email System Support experience;;6. At least 3 years of Email Firewall administration experience; ;Technical Skills: ;. At least 7 years' experience in Lotus Notes Mail Admin. & Technical Support (LNM); ;. At least 3 years' experience in Confidential Mail System (CMS); ;. At least 1 year's experience in Router Configuration (ROU); ;. At least 1 year's experience in Wireless/mobile Email solution (WME). ;Non-technical Skill: ;. 5 years' experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,01 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33741"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WME,,,,,,,,,,,,,,,,,,,,,,
33765,Contract Project Manager (Bid Ref 54108-1),1,1,Others,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development, Maintenance and Production Support of IT Systems for the LR""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To lead a team of IT staff and work collaboratively with other IT teams or contractors for the provision of on-going maintenance and support to IT systems for the LR;;- To provide IT support to the future operation of title registration including analysis of land records;;- To plan, coordinate and facilitate the conduct of user acceptance tests;;- To plan and coordinate the deployment and release of enhancements to production including publicity arrangement;;- To conduct quality review (or system tests) on the technical products produced by the contractors; and;- To handle system incidents and assist in service resumption. ;""",12.0,8.0,"""- Excellence in verbal and written communication in both English and Chinese;;- Solid hands-on experience in the development, maintenance and support of IT systems especially for land registration or land conveyancing business;;- Solid hands-on experience in developing bilingual web application, document management and imaging systems under Unix/Oracle platform;;- Strong knowledge and experience in RAD or OO Analysis and Design;;- May have to work in other LR offices within HK territory and outside normal office hours (including Saturday, Sunday and Public Holiday). ;Technical Skills: ;. At least 6 years' experience in PRINCE (PRE); ;. At least 4 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 4 years' experience in Imaging (IMG); ;. At least 4 years' experience in Web Programming (WEB); ;. 6 months' experience in Web Services (WSV) is an advantage; ;. 6 months' experience in XML (XML) is an advantage; ;. 6 months' experience in Chinese Processing (CHI) is an advantage; ;. 6 months' experience in Oracle RDBMS (ODB) is an advantage; ;. 6 months' experience in Object-oriented Analysis and Design (OOA) is an advantage; ;. 6 months' experience in FileNet (FLN) is an advantage; ;. 6 months' experience in Rapid Application Development Methodology (RAD) is an advantage; ;. 6 months' experience in Structured Query Language (SQL) is an advantage; ;. 6 months' experience in UNIX (UNX) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in project development in specified business areas (PDE); ;. 6 months' experience in quality assurance (QAS) is an advantage; ;. 6 months' experience in quality management (QMT) is an advantage; ;. 6 months' experience in work with the Government (GOV) is an advantage; ;. 6 months' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 8 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33765"")",,,,,,,,,,,,,,,,,,,,,,,,,,CHI,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,FLN,,,,,,,GOV,,,GSS,,,,,,,,,,,,,IMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,OOA,,,,,,PDE,,,,,,,,,,PRE,,,,,QAS,QMT,RAD,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,UNX,,,,,,,,,,,,,,WEB,,,,,,,,,,WSV,XML,,,,,,,,,,,,,,,,,,
33390,Contract Systems Analyst (Bid Ref 53942-2),2,1,Application Development,Contract,16 Apr 2025,06 May 2025 to 30 Sep 2025 (4 months),under InfoTech,Government T26 Contract,Sai Wan Ho,N/A - N/A,"""(T26) Implementation of IT projects under the IT Strategy Plan.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Judiciary; ;The candidate would be responsible for the following activities :;(a) analyse user requirements;;(b) develop system analysis & design process deliverables such as flow models and logical data models;;(c) develop programs for the production system;;(d) conduct unit / integrated / loading tests; and;(e) compile system documentation such as user manuals and system manuals. ;""",5.0,5.0,"""Other than the requirements specified in the 'Technical' and 'non-Technical' Requirement Sections below, the candidate should preferably possess experience in :;(a) at least 2 years hands-on development experience using React, Spring Boot and RESTful web services;;(b) at least 2 years hands-on development experience using Hibernate and/or EclipseLink implementation of JPA;;(c) at least 1 year hands-on development experience using iReport or other report development tools;;(d) at least 1 year hands-on development experience using Python;;(e) completion of a full system development life cycle; and;(f) implementation of court systems or court related systems. ;Technical Skills: ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in Web Services (WSV); ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 1 year's experience in Reporting (Crystal Report, iReport) (REP); ;. 1 year's experience in Java Servlet Programming (JSP) is an advantage; ;. 1 year's experience in Object-oriented Analysis and Design (OOA) is an advantage. ;Non-technical Skills: ;. Good written English is a must; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33390"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,JAV,,,JSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOA,,,,,,,,,,,,,,,,,,,,,,,,,REP,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSV,,,,,,,,,,,,,,,,,,,
