Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,ARC,ARI,ASP,AUS,AVT,AWS,BDM,BIM,BJM,BPE,BPM,CAP,CAS,CCIE,CCNA,CCNP,CCS,CEH,CFA,CHI,CIP,CISA,CISM,CISSP,CLS,CMS,CND,CON,CRE,CRY,CSF,DAM,DAR,DBA,DCM,DET,DFT,DMO,DMT,DOC,DPS,DRP,DWH,EAI,ECR,EFM,EGI,EGIS,EJB,ELE,ERP,ESS,ETH,FLN,FPA,GBC,GCIS,GIS,GMS,GOA,GOV,GPD,GSR,GSS,GTP,HAU,HDT,HKCEE,HPX,HTM,IAA,IBX,IDA,IEG,IFW,IIS,IMG,INF,INT,IPD,IPS,ISM,ISS,ITA,ITG,ITIL,ITP,ITS,ITT,IVRS,JAF,JAP,JAS,JAV,JDE,JSF,JSP,JVD,KMT,KTD,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSA,MSI,MSP,MSQ,MSS,MUL,MWC,NDE,NDN,NEC,NET,NSM,OAC,OAT,OCI,ODB,ODT,OES,OMA,OOA,OPL,OPM,ORA,OSDP,OTP,OUT,PDE,PDS,PEX,PHI,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SCM,SDE,SDH,SDM,SDN,SIEM,SIM,SMG,SPA,SPE,SPR,SQL,SRS,SSCP,SST,STM,SVT,SYB,TCP,TOM,TPA,TSM,TWS,ULS,UML,UNA,UNX,VBA,VBC,VCP,VCT,VLS,VMG,VPN,VRS,VSN,WAA,WAN,WAS,WEA,WEB,WED,WES,WFS,WLG,WLM,WLT,WME,WMS,WPG,WSV,XML,APH,BKO,CCDA,CCDP,DMS,LDA,NEG,SRA
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33815,Contract Systems Analyst (Bid Ref 53996-1),1,1,Others,Contract,10 Apr 2025,02 Jun 2025 to 31 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based back end systems running container-based applications and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The project team will be responsible for the platform operations, maintenance and development work as well as to provide necessary technical support to Bureau/ Departments (B/Ds) for integrating their online services with the System.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSA will be required to:;- monitor and perform programming enhancement, prepare test cases and co-ordinate different types of testing with various stakeholders;;- liaise and collaborate with various parties for supporting system design, implementation, maintenance, troubleshooting for the enhancements of the System;;- prepare and review system documentation; ;- oversee application development lifecycle and conduct the release management for mobile applications and backend systems;;- support incident/issue handling for round-the-clock running systems; and;- perform any other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate should possess:;- sound knowledge and solid experience in application development for mobile applications in iOS and Android, virtualisation technology, MySQL/MariaDB database support and Java programming; ;- sound knowledge and solid experience related to public key infrastructure, digital certificate related technologies and blockchain related technologies and solutions, especially in identity management;;- sound knowledge and solid experience in system design, development, implementation and maintenance of IT application systems using web services and RESTful APIs;;- sound knowledge and solid experience in mini-program infrastructure and application development of uni-app framework for mini-program;;- solid working experience in providing technical advice and support to different users and clients;;- good sense of analytical and problem-solving skills;;- good command of English and Chinese writing skills;;- good communication and interpersonal skills; and;- communication using Putonghua will be required.;The candidate preferably possesses:;- solid experience in version control system (e.g. Git); and;- solid experience in working in government IT projects. ;Technical Skills: ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in Web Services (WSV); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 1 year's experience in Mobile / Wireless Communication (MWC); ;. 2 years' experience in Public Key Infrastructure (PKI) is an advantage; ;. 2 years' experience in Cryptography (CRY) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. Good spoken English is a must; ;. Good Putonghua is a must; ;. Good written English is a must; ;. At least 1 year's experience in vendor management (VMG); ;. 3 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in project development in specified business areas (PDE) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33815"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,MWC,,,,,,,,,,,,,,,,,,,,PDE,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,WSV,,,,,,,,,
33819,Contract Systems Analyst (Bid Ref 54261-1),1,1,Others,Contract,16 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) 1. Taking part in all phases of the project of Implementation of Building Information Modelling &;#8211; Asset Management (BIM-AM) related systems including feasibility study, tendering, system design, system implementation, testing, etc.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the E&MSD; ;A. Assist in the feasibility study, user requirement elicitation, system analysis and design, integration of data retrieved from the Common Data Environment (CDE), Building, Management System (BMS), Building Information Modelling (BIM) and associated IoT sensors.;B. Take part in the software development life cycle with both the internal development team and external contractors. ;C. Collaboration and liaison with internal development teams, and external contractors, to facilitate the system integration process.;D. Provide advice & assistance to the contractor management process.;E. To undertake any other duties as required by supervisors.&;#8195; ;""",4.0,1.0,"""i) Degree in computer subjects or related disciplines;ii) 7 years or above solid IT application/system integration experience;iii) Knowledge and solid experience in cloud services deployment and RESTful API;iv) Knowledge and solid experience in public cloud platforms, AWS experience will be preferable;v) Experience in Blockchain-based projects or IoT infrastructure implementation would be a benefit;vi) Knowledge of iAM Smart integration would be a benefit.;vii) Knowledge in AI/ Data analytics, such as OCR & NLP technology would be a benefit.;viii) Experience in programming languages: HTML, JavaScript, ASP.Net, Java, NodeJS, Python, SQL, Linux Shell Scripting;ix) Experience in complying with Government standards and security policy would be a benefit.;x) Strong commitment to project deadlines and delivering high-quality work;xi) Creative, analytical, self-initiative, responsible and well-organized ;Technical Skills: ;. At least 6 years' experience in Data Management (DMT); ;. At least 6 years' experience in Web Services (WSV); ;. At least 5 years' experience in Multi-tier System Integration (MSI); ;. At least 4 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 2 years' experience in Project Management Professional (PMP) (PMP); ;. 6 years' experience in IT Application Development and Management (ADM) is an advantage; ;. 5 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 5 years' experience in JavaScript Programming (JAP) is an advantage; ;. 5 years' experience in Linux System Administration (LIN) is an advantage; ;. 4 years' experience in Information Security Management (ISM) is an advantage; ;. 3 years' experience in Enterprise Application Integration (EAI) is an advantage; ;. 3 years' experience in Public Key Infrastructure (PKI) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in IT Service Management (SMG); ;. At least 4 years' experience in work with the Government (GOV); ;. At least 3 years' experience in managing Government IT standards (ITG); ;. At least 3 years' experience in managing Government projects (MGP); ;. 3 years' experience in project management (PRM) is an advantage; ;. 3 years' experience in quality management (QMT) is an advantage; ;. 2 years' experience in Government tendering procedures (GTP) is an advantage; ;. 2 years' experience in tender preparation and administration (TPA) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33819"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,EAI,,,,,,,,,,,,,,,,,GOV,,,,GTP,,,,,,,,,,,,,,,,,ISM,,,ITG,,,,,,,JAP,,,,,,,,,LIN,,,,,,MGP,,,,MSI,,,MSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKI,,,PMP,,PRM,,,,,QMT,,,,,,,,,,,,,,,SMG,,,,,,,,,,,,,TPA,,,ULS,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,WSV,,,,,,,,,
33816,Contract Systems Analyst (Bid Ref 54031-1),1,1,Others,Contract,16 Apr 2025,02 Jun 2025 to 30 Jul 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Confidential Mail System (CMS) in DPO""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. Provide support on administration, application development and system maintenance of CMS mobile client and backend applications.;2. Provide support on administration and advice to departments on the use of CMS mobile applications.;3. Set up and maintain the testing environment, coordinate and conduct regular mobile application testing.;4. Facilitate the interoperability of CMS mobile application with other Government IT systems and services.;5. May need to work outside office hours for production support.;6. Conduct any project related tasks. ;""",4.0,1.0,"""- Solid hands-on experience in SA&D, iOS/iPadOS mobile application development with Objective-C, application testing, setup/implementation and administration of Tomcat application server.;- Experience in the setup, implementation and administration of Microsoft SQL Server, web application development with Java and IT security especially Public Key Infrastructure and decryption/encryption technologies.;- Preferably possess experience in Java servlet programming with Spring MVC, Hibernate, source code version control system (e.g. Git) and iOS/iPadOS mobile application development with Swift.;- Experience in CMS setup and administration would be an advantage.;- Experience in HCL Domino/Notes Application development and administration would be an advantage.;- Experience in server virtualisation would be an advantage.;- Able to communicate effectively. ;Technical Skills: ;. At least 3 years' experience in IT Security (ITS); ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in Public Key Infrastructure (PKI); ;. At least 3 years' experience in Tomcat Application Server (TOM); ;. At least 2 years' experience in Web Services (WSV); ;. At least 2 years' experience in Cryptography (CRY); ;. At least 2 years' experience in Microsoft SQL Server (MSS); ;. At least 2 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 2 years' experience in JAVA Programming (JAV); ;. 3 years' experience in Confidential Mail System (CMS) is an advantage; ;. 1 year's experience in Java Servlet Programming (JSP) is an advantage; ;. 1 year's experience in Lotus Notes Application Development (LNA) is an advantage; ;. 1 year's experience in Lotus Notes Administration & Technical Support (LON) is an advantage. ;Non-technical Skills: ;. 1 year's experience in work with the Government (GOV) is an advantage; ;. Good written English is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33816"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,CMS,,,,CRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,JAF,,,JAV,,,JSP,,,,,LNA,,LON,,,,,,,,,,MSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSV,,,,,,,,,
33817,Contract Systems Analyst (Bid Ref 54033-1),1,1,Others,Contract,16 Apr 2025,02 Jun 2025 to 30 Jul 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Confidential Mail System (CMS) in DPO""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. Manage server capabilities in the IT infrastructure of Mobile Confidential Mail Service (MCMS) and Central Audit Trail of Confidential Mail System (CATCMS) to support the project requirements.;2. Provide on-going administration, performance monitoring and maintenance of MCMS and CATCMS servers.;3. Provide support and advice to B/Ds on the use of CMS.;4. Set up and maintain the testing environments and conduct testing for CMS.;5. May need to work outside office hours for production support.;6. Conduct any project related tasks. ;""",4.0,1.0,"""- Solid hands-on experience in setup, implementation and administration of Microsoft Windows Server, Microsoft SQL Server, Microsoft Hyper-V and server certificate management, preferably with experience in CMS in Government, and physical/virtual server backup and restore solutions.;- Experience in setup, implementation and administration of HCL Domino and Notes.;- Experience in setup, implementation and administration of one-time password (OTP) solution and endpoint security solution.;- Experience in setup, implementation and administration of Microsoft Active Directory and other directory services (e.g., LDAP) is an advantage.;- Experience in IT Security, e.g., IDS/IPS, security hardening for Windows server and SQL server, Public Key Infrastructure, decryption/encryption technologies and security risk assessment and audit is an advantage.;- Able to communicate effectively. ;Technical Skills: ;. At least 3 years' experience in Lotus Notes Administration & Technical Support (LON); ;. At least 3 years' experience in Microsoft SQL Server (MSS); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. At least 3 years' experience in Windows Server 2008/2012 (W12); ;. At least 1 year's experience in Endpoint Security Solutions (ESS); ;. 3 years' experience in Confidential Mail System (CMS) is an advantage; ;. 2 years' experience in Microsoft Active Directory Administration (ADA) is an advantage; ;. 1 year's experience in IT Security (ITS) is an advantage; ;. 1 year's experience in Security Risk Assessment and Audit (SAA) is an advantage; ;. 1 year's experience in IT Security Scanning Tools (SST) is an advantage. ;Non-technical Skills: ;. 1 year's experience in work with the Government (GOV) is an advantage; ;. Good written English is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33817"")",ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,CMS,,,,,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,LON,,,,,,,,,,MSS,,,,,,,,,,,,,,,,,,,,OTP,,,,,,,,,,,,,,,,,,,,,,,,SAA,,,,,,,,,,,,,,,,SST,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33814,Contract Systems Analyst (Bid Ref 53970-1),1,1,Application Development,Contract,16 Apr 2025,02 Jun 2025 to 13 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wanchai,N/A - N/A,"""(T26) Provide services of system analysis and design, maintenance and enhancement for Trade Declaration (TDEC) System of the Government Electronic Services (GETS) relating to C&ED online system used by Customs and Excise Department users and Trade Classification (TC) online system used by Census and Statistics Department users.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;TDEC System of GETS is a Government System that processes trade declarations submitted by traders. The major duties of the CSA will include but not limited to the following:;1. To provide production support, system analysis & design, maintenance and enhancement services to C&ED online system and Trade Classification (TC) online system written in Oracle Forms and Reports with Oracle Database.;2. To provide technical support in Chinese characters validation in TDEC System. ;""",4.0,1.0,"""Please refer to the """"Technical and Non-technical Skill Requirements"""" for details. ;Technical Skills: ;. At least 2 years' experience in Chinese Computing Standards, eg.HKSCS,Big5,Unicode (CCS); ;. At least 2 years' experience in Multi-vendor Mission Critical System (MCS); ;. At least 2 years' experience in Oracle Application Development (ORA); ;. At least 2 years' experience in Unix/Linux Shell Scripting (ULS). ;Non-technical Skill: ;. At least 2 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33814"")",,,,,,,,,,,,,,,,,,,CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,ORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33488,Contract Systems Analyst (Bid Ref 54021-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Sheung Wan, Wan Chai, Central",N/A - N/A,"""(T26) IT helpdesk and system support services""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;(a) To provide telephone and on-site helpdesk services to end-users, and trouble-shoot problems on PCs and computer equipment ;(b) To assist in setting up Video Conference System for remote court hearing ;(c) To assist in diagnosing PC hardware and software problems, providing solutions and arranging for follow-up action with vendors as appropriate ;(d) To provide user support for general office automation systems (e.g. Lotus Notes, Outlook, Confidential Mail, iNotes, Windows 10, MS Office, Internet Explorer, Chrome) and dedicated system (OpenText eDocs Document Management System) ;(e) To assist in testing new hardware and software products ;(f) To assist in system administration work of the computer network, monitoring performance of major systems, and backing up of servers and computer systems ;(g) To perform any other computer-related and administrative duties assigned by senior officers ;""",5.0,3.0,"""- Experience in providing user support to OpenText eDocs Document Management is a definite advantage. ;(h) To install PC hardware (e.g. PC, printer, RAM, hard disk, DVD drive, Chinese inputting device, sound card, etc.) and software, and set up multi-media equipment at various offices of the Department ;- There may be occasions that the successful candidate will be asked to perform duties during weekends. ;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 7 years' experience in Document Management System (DMS); ;. At least 7 years' experience in Endpoint Security Solutions (ESS); ;. At least 5 years' experience in System Backup Operation (BKO); ;. At least 3 years' experience in Video Conference Technology (VCT). ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 7 years' experience in helpdesk call handling (HDT); ;. Good spoken English is a must; ;. At least 7 years' experience in negotiation (NEG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33488"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,GOV,,,,,,HDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VCT,,,,,,,,,,,,,,,,,,,,,,,BKO,,,DMS,,NEG,
33480,Contract Systems Analyst (Bid Ref 53999-1),1,1,Others,Contract,03 Apr 2025,01 May 2025 to 31 Jul 2025 (3 months),under InfoTech,Government T26 Contract,"Queensway, Wan Chai, Central",N/A - N/A,"""(T26) a) IT system projects feasibility study, development, implementation, maintenance and support.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DOJ; ;1. Project planning and monitoring;;2. Perform system analysis and design;;3. Supervise sub-ordinate programmers;;4. Develop program;;5. Conduct program unit test, system test and load test;;6. Produce documentation;;7. Assist user to conduct user acceptance test;;8. Conduct user training; ;9. Provide maintenance and on-going support; and;10. To maintenance and on-going support DOJ systems;11. Perform any other duties (e.g. on-call support duty during non-office hours, weekends and public holidays) as may be required from time to time relevant to the implementation and maintenance support of the above and any other systems of the department. ;""",9.0,4.0,"""- Knowledge and experience in development, implementation and support of web-based application system;- Any other duties which may be assigned for implementation of the project;- It is required to render on site support services at user offices scattered in various locations of Kowloon and Hong Kong Island. ;Technical Skills: ;. At least 9 years' experience in Document Flow/Workflow Management System (DOC); ;. At least 9 years' experience in J2EE Development (JDE); ;. At least 9 years' experience in Java Beans Development (JVD); ;. At least 9 years' experience in Object-oriented Analysis and Design (OOA); ;. At least 6 years' experience in Oracle Application Server Admin. and Tuning (OAT). ;Non-technical Skills: ;. At least 8 years' experience in work with the Government (GOV); ;. At least 8 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 9 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33480"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,JVD,,,,,,,,,,,,,,,,,,,,,,,,,OAT,,,,,,OOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
