Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,ARC,AUS,AVT,AWS,BDM,BIM,BJM,BPE,BPM,CAP,CAS,CCS,CHI,CIP,CLS,CMS,CON,CRE,CRY,CSF,DAM,DAR,DCM,DET,DFT,DMO,DMT,DOC,DPS,DRP,DWH,EAI,EFM,EGI,EGIS,EJB,ELE,ERP,ESS,ETH,FLN,FPA,GBC,GCIS,GIS,GMS,GOA,GOV,GPD,GSR,GSS,GTP,HAU,HDT,HKCEE,HPX,HTM,IDA,IEG,IFW,IIS,IMG,INF,INT,IPD,IPS,ISM,ISS,ITA,ITG,ITIL,ITP,ITS,ITT,IVRS,JAF,JAP,JAS,JAV,JDE,JSF,JSP,JVD,KMT,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSI,MSP,MSQ,MSS,MUL,MWC,NDE,NDN,NEC,NET,NSM,OAC,OAT,ODB,ODT,OES,OMA,OOA,OPL,OPM,ORA,OSDP,OTP,OUT,PDE,PEX,PHI,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SCM,SDLC,SDM,SIM,SMG,SPA,SPE,SPR,SQL,SRS,SST,STM,SVT,TOM,TPA,ULS,UML,UNA,UNX,VBA,VBC,VCP,VCT,VLS,VMG,VPN,VRS,VSN,WAA,WAN,WEA,WEB,WED,WES,WFS,WLG,WLM,WLT,WME,WMS,WPG,WSV,XML,ARI,ASP,CCIE,CCNA,CCNP,CEH,CFA,CISA,CISM,CISSP,CND,DBA,ECR,IAA,IBX,KTD,MSA,OCI,PDS,PRT,SDE,SDH,SDN,SIEM,SSCP,SYB,TCP,TSM,TWS,WAS
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33828,Contract Systems Analyst (Bid Ref 54277-1),1,1,Application Development,Contract,14 Apr 2025,02 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) System Implementation for web and mobile applications under Estate Management Division (EMD)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;To carry out requirement collection, system design & analysis, development (including programming), testing, application deployment and documentation for enhancements on web and mobile applications;To carry out the user support and maintenance tasks for web and mobile applications;To carry out configuration, security patching and maintenance of Red Hat Enterprise Linux (RHEL) servers ;""",6.0,4.0,"""1. Possess the following skills and hands-on experience:;- Solid experience in web application development with Java EE;- Solid experience in Java application frameworks such as Spring, Hibernate and MyBatis;- Solid experience in SQL and PL/SQL programming using Oracle 12c or above;- Familiar with CI/CD tools such as Git, Jenkins;- Experience in Java application servers such as JBoss;- Experience in Reporting tool (e.g. JasperReports);- RHEL maintenance;2. Capable to work independently under pressure with tight schedule;3. Strong analytical and problem solving skills in business and technical aspects;4. Experience and knowledge in any of the following is an advantage:;- Frontend development with Design Pattern (e.g. MVC);- Experience in mobile app development ;Technical Skills: ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in J2EE Development (JDE); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 6 months' experience in UNIX System Administration (UNA); ;. 1 year's experience in JBoss Application Server (JAS) is an advantage; ;. 6 months' experience in Linux System Administration (LIN) is an advantage; ;. 6 months' experience in Red Hat Advanced Server (RHS) is an advantage. ;Non-technical Skill: ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33828"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,JAS,,JDE,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RHS,,,,,,,,,,,,SQL,,,,,,,,,UNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33841,Contract Systems Analyst (Bid Ref 54290-1),1,1,Application Development,Contract,23 Apr 2025,02 Jun 2025 to 30 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To provide support for the implementation of Trade Single Window;;2. To conduct and provide support for system testing and user acceptance tests;;3. To conduct quality assurance on contractor's deliverables;;4. To provide support for Privacy Impact Assessment and Security Risk Assessment and Audit;;5. To monitor the performance of outsourced contractor(s);;6. To carry out other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate should possess:;- solid experience in system implementation;;- sound technical knowledge on data conversion and migration and system testing including system integration test, load test, resilience test and disaster recovery test;;- sound knowledge on IT security.;Experience in the following areas is an advantage:;- solid experience in monitoring outsourced contractor(s);;- hands-on experience in cloud environment.;The candidate should also:;- be a team-player with good communication and interpersonal skills;;- have strong sense of analytical and problem solving skills;;- be hard-working and self-motivated with positive attitude.;Service period will be extended if the performance of the staff is satisfactory. ;Technical Skills: ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in IT Security (ITS); ;. At least 1 year's experience in Server Virtualisation Technology (SVT). ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in IT service/outsourcing management (OUT). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33841"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33838,Contract Systems Analyst (Bid Ref 54286-1),1,1,Application Development,Contract,23 Apr 2025,02 Jun 2025 to 30 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To provide support for the implementation of Trade Single Window;;2. To conduct and provide support for application testing, system testing, user acceptance tests and system nursing;;3. To conduct quality assurance on contractor's deliverables;;4. To provide support for Privacy Impact Assessment and Security Risk Assessment and Audit;;5. To monitor the performance of outsourced contractor(s);;6. To carry out other duties as assigned by the supervisor. ;""",4.0,1.0,"""The candidate should possess:;- solid experience in system implementation and application development;;- sound technical knowledge on application testing in various operating systems and mobile platforms as well as system testing including system integration test, load test, resilience test and disaster recovery test;;- sound technical knowledge on Ajax, REACT, JavaScript, CSS and HTML; and;- sound knowledge on IT security.;Experience in the following areas is an advantage:;- solid experience in monitoring outsourced contractor(s);;- hands-on experience in JAVA, REACT and RESTful API.;The candidate should also:;- be a team-player with good communication and interpersonal skills;;- have strong sense of analytical and problem solving skills; and;- be hard-working and self-motivated with positive attitude. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in JavaScript Programming (JAP); ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. At least 1 year's experience in IT service/outsourcing management (OUT). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33838"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33839,Contract Systems Analyst (Bid Ref 54288-1),1,1,Application Development,Contract,23 Apr 2025,02 Jun 2025 to 30 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To monitor the outsourced contractor(s) to perform system design and implementation of web based application on cloud platform;2. To conduct quality assurance of project deliverables prepared by outsourced contractor(s);3. To carry out other duties as assigned by the supervisor ;""",4.0,1.0,"""The candidate should possess:;- solid implementation experience in Java web-based application development using Java Application Frameworks such as Spring Framework and Hibernate;- sound technical knowledge on Ajax, JavaScript, CSS and HTML; and Knowledge on React is desirable;- sound technical knowledge on RDBMS technology;- working experience with/in HKSARG;Experience in the following areas is an advantage:;- solid experience in development on cloud platform is highly desirable;- experience in monitoring outsourced contractor in system development is desirable;- hands-on experience in Microservice architecture is desirable;- hands-on experience in Agile methodology is desirable;The candidate should also:;- be a team-player with good communication and interpersonal skills;- have strong sense of analytical and problem solving skills;- be hard-working and self-motivated with positive attitude ;Technical Skills: ;. At least 4 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 4 years' experience in JavaScript Programming (JAP); ;. At least 4 years' experience in Structured Query Language (SQL). ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. 1 year's experience in IT service/outsourcing management (OUT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,07 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33839"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33508,Contract Systems Analyst (Bid Ref 54056-1),1,1,Others,Contract,07 Apr 2025,01 May 2025 to 31 Oct 2025 (6 months),under InfoTech,Government T26 Contract,Tsim Sha Tsui,N/A - N/A,"""(T26) To provide network infrastructure implementation and software integration support for HKO""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HKO; ;Oversee software integration, provide network infrastructure design and management services for the Establishment of High-performance Collaborative Platform for Departmental Artificial Intelligence Development project with details below: ; ;(i) assist in integrating software and AI applications to the platform; ;(ii) ensure the high-speed performance of the AI collaborative platform; ;(iii) assist in supervising the operation of network management; ;(iv) advise in the performance tuning of the network; ;(v) monitor the performance and review the deliverables of the consultants and contractors; and ;(vi) report to the division head and project manager of the project. ;""",15.0,10.0,"""Suitable candidate should be well-versed in networking technology and should possess certification of Cisco Certified Internetwork Expert (CCIE). ;He/she should also possesses good interpersonal and communication skills with good command of English. ;Technical Skills: ;. At least 15 years' experience in TCP/IP (TCP); ;. At least 15 years' experience in Virtual LAN/LAN Switching (VLS); ;. At least 10 years' experience in Wide Area Network (WAN); ;. At least 10 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 10 years' experience in Internet Firewall Technical Support (IFW); ;. 15 years' experience in Ethernet (ETH) is an advantage; ;. 10 years' experience in Intruder Detection/Alert Technology (IDA) is an advantage; ;. 10 years' experience in Internet/ Intranet (INT) is an advantage; ;. 10 years' experience in Networking (NET) is an advantage; ;. 10 years' experience in Virtual Private Network (VPN) is an advantage. ;Non-technical Skills: ;. At least 15 years' experience in customer service (CLS); ;. At least 10 years' experience in work with the Government (GOV); ;. At least 10 years' experience in the management and support of Government systems and services (GSS); ;. At least 8 years' experience in conducting IT training/briefing (ITT); ;. At least 8 years' experience in site preparation (SPE); ;. 15 years' experience in customer relations (ECR) is an advantage; ;. Good written English is an advantage; ;. 5 years' experience in presentation (PRT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 15 years' post-qualification experience in which at least 10 years' relevant experience in a similar post and in a comparable capacity.""",N/A,21 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33508"")",,,,,,,,,,,,,,,,CIP,CLS,,,,,,,,,,,,,,,,,,,,,,,,,ETH,,,,,,,,GOV,,,GSS,,,,,,,IDA,,IFW,,,,INT,,,,,,,,,,ITT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPE,,,,,,,,,,,,,,,,,VLS,,VPN,,,,WAN,,,,,,,,,,,,,,,,CCIE,,,,,,,,,,ECR,,,,,,,PRT,,,,,,,TCP,,,
33542,Contract Systems Analyst (Bid Ref 54083-1),1,1,Others,Contract,07 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,GFS Headquarters (Lantau),N/A - N/A,"""(T26) An ongoing post to administer network infrastructure and information systems, and to take part in new projects related to network infrastructure and information systems.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the SBU; ;The appointed staff is required to work in the following areas:;;a) to take part in all phases of computer projects including but not limited to feasibility study, systems analysis and design, procurement and installation, implementation, system nursing, and maintenance;;b) to analyze and interpret user requirements on networking and information systems to provide viable solutions and produce the respective proposals and specifications;;c) to liaise with other hardware and software vendors on product selection, development, evaluation and conformance leading to recommendations on cost effective network and system solutions;;d) to perform quality control and quality assurance in network and system implementation and to perform studies on the optimization of network and system availability;;e) to implement and provide support for resolving network and system troubles, tracking network and system performance and managing growth;;f) to prepare and conduct system test and user acceptance test for the information systems;;g) to provide pre-installation and post-installation support to computer networks and information systems;;h) to supervise and lead the work of junior team members; and;i) to perform IT related tasks assigned by the IT Manager and IT Officers. ;""",5.0,2.0,"""Must have passed at least one certification exams related to;1. Microsoft Active Directory;2. Cisco Products;3. Server Virtualisation Technology;;The appointed staff will work mainly in HQ and other work locations when necessary.;;Work Location details:;Headquarters (HQ), Hong Kong International Airport;Kai Tak Division (KTD), former Kai Tak Airport runway;HKCEC Heliport, Wanchai;;On-site or remote support outside normal office hours is required when necessary, which will be recompensed by time-off in lieu. ;Technical Skills: ;. At least 3 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 3 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Internet Firewall Technical Support (IFW). ;Non-technical Skills: ;. At least 2 years' experience in the management and support of Government systems and services (GSS); ;. Good written English is a must; ;. At least 2 years' experience in vendor management (VMG); ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33542"")",ADA,,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,,GSS,,,,,,,,,IFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KTD,,,,,,,,,,,,,,
33644,Contract Senior Systems Analyst (Bid Ref 54077-1),1,1,Others,Contract,07 Apr 2025,02 Jun 2025 to 27 Feb 2026 (8 months),under InfoTech,Government T26 Contract,Tseung Kwan O and occasionally provide support at Immigration offices including control points,N/A - N/A,"""(T26) Enhancement support of Corporate Data Repository (CDR)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To be responsible for various enhancements for CDR and the database migration for system integration with ImmD's application systems, and subsequent 7x24 on-call support on CDR which include: ;- work with contractors to perform hardware and software upgrade on the infrastructure components of CDR; ;- oversee and ensure the data migration of CDR is executed in a proper and concise order when performing the required hardware and software upgrade; ;- coordinate with related stakeholders from both business and technical aspects and provide technical support for system enhancements; ;- plan and implement security enhancements on the database of CDR; ;- provide operational support on various application components including HACMP, TSM and job scheduler; ;- plan and coordinate Disaster Recovery (DR) drill for CDR and ImmD's application systems; ;- perform study and proof-of concept for database products for CDR; ;- execute and assure the proper change management; and ;- perform other duties assigned by supervisor. ;""",6.0,2.0,"""The candidate shall possess the following essential technical skills: ;(a) well-versed in DB2 database administration including SQL commands and database tuning; ;(b) proficient in IBM AIX UNIX system administration; ;(c) solid experience in supporting the system components of the CDR including HACMP, TSM and job scheduler; ;(d) experience in security access control on database; and ;(e) experience in coordinating and supporting the DR drill activities. ; ;Criminal record check will be required. ;Technical Skills: ;. At least 3 years' experience in DB2 Administration (DBA); ;. At least 3 years' experience in Tivoli Storage Management (TSM); ;. At least 2 years' experience in Tivoli Workload Scheduler (TWS); ;. At least 2 years' experience in Disaster Recovery Planning (DRP). ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33644"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBA,,,,,,,,,,,,,,,,TSM,TWS,
