Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,ARC,AUS,AVT,AWS,BDM,BIM,BJM,BPM,CAP,CCS,CHI,CIP,CLS,CMS,COG,CON,CRE,CRS,CRY,CSF,DAM,DAR,DCM,DFT,DMO,DMS,DMT,DPS,DRP,DWH,EAI,ECR,EFM,EGI,ELE,EMG,ERP,ESS,ETH,FLN,FPA,GBC,GCIS,GIS,GOA,GOV,GPD,GSR,GSS,GTP,GWIN,HAU,HTM,IDA,IFW,INF,INT,IPD,IPS,ISM,ISS,ITC,ITG,ITIL,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSF,JSP,KMT,LDA,LIN,LNA,LNM,LON,MAR,MCS,MET,MGP,MNE,MSI,MSP,MSQ,MSS,MUL,MWC,NDA,NDE,NDN,NEC,NET,NSM,ODB,ODT,OOA,OPL,OPM,ORA,OSDP,OTP,OUT,PDE,PDS,PEX,PHI,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SCM,SDH,SDLC,SDM,SIM,SMG,SPA,SPE,SQL,SRA,SRS,SST,STM,SVT,TAS,TOM,TPA,ULS,UML,UNA,UNX,VBA,VCP,VLS,VMG,VPN,VSN,WAA,WAN,WAS,WEA,WEB,WED,WES,WFS,WLM,WLT,WME,WMS,WPG,WSV,XML,BPE,CAS,DET,DOC,EGIS,EJB,HDT,HPX,IEG,IIS,IMG,IVRS,JVD,MIS,OAC,OAT,OMA,VBC,VRS,WLG
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33062,Contract Systems Analyst (Bid Ref 53533-2),2,1,Others,Contract,23 Apr 2025,19 May 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based backend systems and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The project team will be responsible for the platform operations and maintenance, quality assurance of application programs, system/infrastructure security, and monitor the contractor teams on resolutions and system enhancement works.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CSA will be required to:;1. support application build, deploy, release and quality assurance of application programs developed by the contractor teams;;2. support handling of mobile app reviews and optimisation of mobile app ratings; ;3. support preparation of reports related to mobile app usage and download statistics;;4. support issue/incident handling and troubleshooting in particular for the mobile app and system infrastructure of the System;;5. work with the contractor teams to maintain the System's applications including both backend and mobile applications for bug fixing and enhancement;;6. assist supervisor in preparing technical specifications and operational manual for the System; and;7. any other duties assigned by the supervisors. ;""",4.0,1.0,"""The candidate should possess: ;1. sound knowledge and solid experience in mobile apps shielding and release;;2. good understanding on mobile app rating optimisation; ;3. sound knowledge and solid experience in SDLC and DevOps; and ;4. sound knowledge and solid experience in application security, in particular facial recognition, OCR and deepfake attack detection.;;The candidate preferably possess:;1. strong sense of analytical and problem-solving skills;;2. good command of English and writing skills;;3. good coordination and communication skills; and;4. Putonghua communication skills. ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in IT Security (ITS); ;. At least 3 years' experience in JAVA Programming (JAV); ;. At least 3 years' experience in MySQL (MSQ); ;. At least 3 years' experience in Public Key Infrastructure (PKI); ;. 2 years' experience in Linux System Administration (LIN) is an advantage; ;. 2 years' experience in Cryptography (CRY) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. Good spoken English is an advantage; ;. Good Putonghua is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33062"")",,ADM,,,,,,,,,,,,,,,,,,,,CRY,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,,,,,,,,,,,,,,,ITS,,,,,JAV,,,,,,LIN,,,,,,,,,,,MSQ,,,,,,,,,,,,,,,,,,,,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33865,Contract Systems Analyst (Bid Ref 54311-1),1,1,Others,Contract,23 Apr 2025,02 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"Admiralty, Hong Kong",N/A - N/A,"""(T26) The post mainly participates in managing a redevelopment project for a contractor management system and supporting application systems of Development Bureau (Works Branch).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DEVB; ;- To manage a redevelopment project for a contractor management system;;- To take part in all phases of the IT project including procurement of services, systems analysis and design, procurement and installation of computer systems, programming implementation, system nursing and maintenance;;- To provide system maintenance support, manage enhancement works for a contractor management system, a tree management system;;- To provide technical advices on problems, assist the understanding of impacts, and propose remedial actions to ensure minimal impact on the user and application system;;- To involve in requirements collection and clarification, and bridge the communications among end users and contractors;;- To assist users in preparing test plans and conducting user acceptance test;;- To perform quality assurance on contractor's deliverables;;- To manage and coordinate contractor activities and monitor their performance;;- To perform any other system maintenance and support tasks as assigned;;- To carry out project management duties as designated by the project manager;;- To conduct any other IT related tasks as assigned; and;- To perform over-time work outside office hours or on Saturdays, Sundays and public holidays occasionally. ;""",8.0,8.0,"""- Solid experience in project management, contract administration and user liaison;;- Well-versed in user requirement collection, system analysis and design;;- Hands-on experience in .Net C# and JavaScript programming;- Good communication skill; and;- Work independently. ;Technical Skills: ;. At least 7 years' experience in JavaScript Programming (JAP); ;. At least 7 years' experience in .NET C# (NEC); ;. At least 7 years' experience in System Implementation and Maintenance/Support (SIM); ;. 7 years' experience in Structured Query Language (SQL) is an advantage; ;. 2 years' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. At least 7 years' experience in work with the Government (GOV); ;. At least 5 years' experience in Government procurement/disposal procedures (GPD); ;. At least 5 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 8 years' relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33865"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,,GSS,,,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33868,Contract Systems Analyst (Bid Ref 54263-1),1,1,Others,Contract,23 Apr 2025,30 May 2025 to 28 May 2026 (11 months),under InfoTech,Government T26 Contract,"Mainly Nam Cheong, Sham Shui Po, and occasional visit to other offices in Hong Kong",N/A - N/A,"""(T26) System Maintenance & Support of Centrally Managed Messaging Platform (CMMP) -""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- Take part in analysis and design, implementation, and testing on system changes/enhancements of CMMP Wider Rollout, particularly on network infrastructure including load balancer, firewall, router, switch, SDN, VPN, DNS, system and networking monitoring tool.;- Review the network design for CMMP Wider Rollout and maintain the network diagrams for the systems.;- Identify and resolve potential issues for the network infrastructure.;- Review and maintain other infrastructure components, including audit log system, privileged account management system.;- Follow up on the assigned reported issues for the network infrastructure and the other infrastructure components.;- Review the system reports and follow up the system alerts with the contractors/vendors.;- Prepare and maintain scripts to automate tasks and integration with other sub-systems.;- Assist in assuring and controlling of the quality of the project deliverables produced by the contractors/vendors.;- Provide daily administrative support and produce reports and deliverables meeting the internal standards and requirements of the project.;- Monitor and report system usage and healthiness.;- Provide liaison and support to different stakeholders, and other B/Ds on the production setup and client rollout for CMMP Wider Rollout.;- Self-motivated, able to work independently under pressure, multi-tasking and energetic.;- Work outside office hours and provide on-call production support.;- Perform any work assigned by supervisor. ;""",4.0,1.0,"""- Minimum of 4 years of post-qualification IT experience, in which includes a minimum of 1 years of working experience in system analysis and design.;- Minimum of 4 years of working experience in Networking (viz. having comprehensive knowledge and experience in load balancers, software-defined networks, routers, switches, firewalls, intrusion detection/prevention systems, proxy servers, DNS, DHCP, metro-ethernet, copper and optical fiber cabling).;- Minimum of 4 years of working experience in Network and System Management (viz. having comprehensive knowledge and experience in server administration for supporting tools including SNMP managers, network and system management and reporting).;- Holder of Cisco Certified Internetwork Expert (""""CCIE""""), Huawei Certified ICT Expert (""""HCIE""""), Cisco Certified Network Professional (""""CCNP""""), Huawei Certified ICT Professional (""""HCIP""""), Cisco Certified Network Associate (""""CCNA"""") or Huawei Certified ICT Associate (""""HCIA"""") certification is preferred;- Experience in other infrastructure components and configuration of Huawei routers and switches are preferred.;- Experience in at least one virtualisation platform is preferred.;- Knowledge and experience in working with/in the Government is preferred.;- Good command in spoken and written English is required.;- Criminal record checking is required. ;Technical Skills: ;. At least 4 years' experience in Network Design (NDN); ;. At least 4 years' experience in Networking (NET); ;. At least 4 years' experience in Network & System Management (NSM); ;. At least 3 years' experience in Infrastructure (INF); ;. 3 years' experience in Intrusion Prevention System (IPS) is an advantage; ;. 3 years' experience in Metro-Ethernet Network (MNE) is an advantage; ;. 3 years' experience in Router Configuration (ROU) is an advantage; ;. 3 years' experience in Virtual LAN/LAN Switching (VLS) is an advantage; ;. 3 years' experience in CISCO IOS Software & CISCO Products (CIP) is an advantage; ;. 3 years' experience in Huawei VRP & Huawei Products (HAU) is an advantage; ;. 3 years' experience in Intruder Detection/Alert Technology (IDA) is an advantage; ;. 3 years' experience in Internet Firewall Technical Support (IFW) is an advantage. ;Non-technical Skills: ;. Good spoken English is a must; ;. Good written English is a must; ;. Good Putonghua is an advantage; ;. Good coordination skills is an advantage; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33868"")",,,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,HAU,,IDA,IFW,INF,,,IPS,,,,,,,,,,,,,,,,,,,,,,,,,,MNE,,,,,,,,,NDN,,NET,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,VLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33873,Contract Systems Analyst (Bid Ref 54273-1),1,1,Others,Contract,23 Apr 2025,30 May 2025 to 29 Jun 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Application administration and support for a web-based application, Registration and Access Control System (RACS) for data centres""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. To perform on-going system administration and support on the system of RACS, including but not limited to Linux server, Windows server, SAN storage system and server virtualisation;;2. To plan, coordinate and implement a project to migrate the virtualisation software from VMWare to alternative hypervisor;;3. To support authentication server, networking monitoring server and mail server;;4. To support the endpoint security for RACS device, e.g. workstation, tablet;;5. To support patching management for RACS infrastructure, e.g. Linux server, Windows server, network appliance;;6. To provide 7x24 on-call support and is required to perform support in data centres, and user offices; and;7. To perform the tasks assigned by line manager. ;""",4.0,1.0,"""The candidate must possess solid hand-on experience in system administration and support on server, virtualisation technologies and storage system, as well as endpoint security and patch management.;;Criminal record verification by the Hong Kong Police Force is required. ;Technical Skills: ;. At least 2 years' experience in Endpoint Security Solutions (ESS); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Storage Area Network (SAN); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skills: ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33873"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,SVT,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33869,Contract Systems Analyst (Bid Ref 54271-1),1,1,Others,Contract,23 Apr 2025,30 May 2025 to 29 Jun 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Operation network infrastructure support and maintenance for a web-based application, Registration and Access Control System (RACS) for data centres.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. To perform on-going system administration and support on the Windows and Linux server systems, networking infrastructure for RACS, such as, authentication server, monitoring server, load balancers, network routers, network switches, and firewalls etc;;2. To plan, coordinate and implement a project to migrate the virtualisation software from VMWare to alternative hypervisor;;3. To provide 7 x 24 on-call support and is required to perform support in data centres, and user offices;;4. To perform the tasks assigned by line manager. ;""",4.0,1.0,"""The candidate must possess solid experience in administration and support on Windows server, server virtualization on VMWare and other virtualisation platforms and networking equipment. Furthermore, the candidate should have experience in network and system management.;;Criminal record verification by the Hong Kong Police Force is required. ;Technical Skills: ;. At least 2 years' experience in Authentication Server (AUS); ;. At least 2 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Network & System Management (NSM); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skills: ;. 1 year's experience in managing Government projects (MGP) is an advantage; ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33869"")",,,,,AUS,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INF,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,MGP,,,,,,,,,,,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33867,Contract Systems Analyst (Bid Ref 54152-1),1,1,Others,Contract,23 Apr 2025,02 Jun 2025 to 31 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wong Chuk Hang and work outdoors at smart lamppost sites when necessary,N/A - N/A,"""(T26) This is a position to provide services for operation and maintenance multi-functional smart lampposts programme and implement relevant projects.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;i) To provide support on installation of smart lampposts as well as smart devices and applications;;ii) To provide system, cloud and infrastructure support including configure, system enhancement and calibrate setting in the IT support system, smart devices and edge computers, etc.;;iii) To facilitate testing and commissioning of IT support system, smart devices and edge computers, etc.;;iv) To perform problem diagnosis and fixing, on-site investigation and configuration, user requirements analysis and system implementation;;v) To coordinate and liaise with both supporting and user departments, suppliers, contractors and stakeholders in project implementation and maintenance;;vi) To work outdoors at smart lampposts sites, work in non-office hours, including public holiday and perform any other assignments as and when necessary to support the work of DPO; and;vii) To perform any other duties assigned by supervisors. ;""",4.0,1.0,"""i) The candidate must have in-depth solid experience in system and infrastructure implementation, including system and application development with new technologies, Linux administration and JavaScript programming.;ii) Experience in programming in C++ and Unix/Linux shell scripting, application development for system with LoRaWAN and/or Bluetooth devices, maintenance and support of network and system are much preferable; and;iii) Experiences in implementation or maintenance of computer systems with cloud infrastructure/services are much preferable;;iv) Experiences in implementation or maintenance of support and maintenance of wireless multi-hop network system and Government-Wide IoT Network (GWIN) on lampposts are much preferable;;v) Experiences in support and maintenance of Ubuntu Linux platform are much preferable;;vi) Experiences in system development with MongoDB, Node.JS, MQTT, restful API are much preferable;;vii) Experiences in installation of smart devices on lampposts are much preferable; and;viii) Having understanding and knowledge on supporting Government internal administrative works (e.g. organisation of meeting and event with internal and external parties, preparation of line-to-take, etc.) are much preferable. ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Linux System Administration (LIN); ;. 2 years' experience in Multi-tier System Integration (MSI) is an advantage; ;. 2 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 2 years' experience in Web 2.0 Services (W2S) is an advantage; ;. 2 years' experience in Client/Server Application Development (C/S) is an advantage; ;. 2 years' experience in C++ (C++) is an advantage; ;. 2 years' experience in Data Management (DMT) is an advantage; ;. 2 years' experience in HTML version before HTML5 (HTM) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in managing Government IT standards (ITG) is an advantage; ;. Good spoken English is an advantage; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. Good written English is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 2 years' experience in project management (PRM) is an advantage; ;. 2 years' experience in IT procurement (PRO) is an advantage; ;. 2 years' experience in site preparation (SPE) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,09 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33867"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,,,,,,,GOV,GPD,,GSS,,GWIN,,HTM,,,,,,,,,,ITG,,,ITS,,,JAP,,,,,,,,LIN,,,,,,,MGP,,MSI,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,PRM,PRO,,,,,,,,,,,,,,,,,,SPE,,,,,,,,,,ULS,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33769,Contract Systems Analyst (Bid Ref 54113-1),1,1,Application Development,Contract,09 Apr 2025,01 May 2025 to 30 Jun 2026 (14 months),under InfoTech,Government T26 Contract,"Queensway Government Offices, Admiralty, Hong Kong",N/A - N/A,"""(T26) Development and support of in-house applications and LR Departmental Website.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LR; ;- To perform development and support for in-house applications used in the department;;- To provide support and enhancements for LR website;;- To perform impact analysis on new applications, enhancements and software upgrades;;- To conduct quality review, conduct system testing, support user acceptance test and production release, etc.;;- To maintain and update documentation of the supported systems;;- To supervise other IT support staff for the development of in-house applications and enhancement of LR website; and;- To perform any other duties assigned by the supervisor. ;""",5.0,3.0,"""- At least 4 years&;#8217; experience in web application development and maintenance with RDBMS;;- Knowledge / experience of Web Content Accessibility Guidelines (WCAG 2.1 Level AA);;- Solid experience on SA&D, and application development using Java and PHP;;- Solid experience in supervising other IT support staff;;- Solid experience in managing functional testing and user acceptance testing; and;- Good command of both written and spoken English and Chinese. ;Technical Skills: ;. At least 4 years' experience in J2EE Development (JDE); ;. At least 4 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in PHP programming (PHP); ;. At least 2 years' experience in Web Programming (WEB); ;. 2 years' experience in Website Administration (WEA) is an advantage; ;. 2 years' experience in Java Servlet Programming (JSP) is an advantage. ;Non-technical Skill: ;. At least 2 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,02 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33769"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,JDE,,JSP,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,PHP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WEA,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
