Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,ARC,AUS,AWS,BDM,BIM,BJM,BPE,BPM,CAP,CCS,CIP,CLS,CMS,COG,CON,CRS,CRY,CSF,DAM,DAR,DCM,DFT,DMO,DMS,DMT,DOC,DRP,DWH,EAI,ECR,EGI,EMG,ERP,ESS,FLN,FPA,GBC,GCIS,GIS,GOA,GOV,GPD,GSR,GSS,GTP,GWIN,HAU,HTM,IDA,IFW,INF,INT,IPS,ISM,ISS,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,LDA,LIN,LNA,LNM,LON,MAR,MCS,MGP,MNE,MSI,MSP,MSQ,MSS,MWC,NDA,NDN,NEC,NET,NSM,ODB,OOA,OPL,OPM,ORA,OTP,OUT,PDE,PEX,PHI,PHP,PIT,PKI,PLS,PMP,PRE,PRM,PRO,PRS,PRT,QAS,QMT,RAD,RAS,REP,RHS,ROU,SAA,SAN,SCM,SDH,SDLC,SDM,SIM,SMG,SPE,SQL,SRA,SRS,SST,STM,SVT,TAS,TOM,TPA,ULS,UML,UNA,UNX,VBA,VBC,VCP,VLS,VMG,VPN,VSN,WAA,WAN,WAS,WEA,WEB,WED,WFS,WLT,WME,WMS,WPG,WSV,XML,AVT,CHI,CRE,DPS,EFM,ELE,ETH,IPD,ITIL,JSF,KMT,MET,MUL,NDE,ODT,OSDP,PDS,PMG,SPA,WES,WLM
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33064,"Contract Systems Analyst (Bid Ref 53611-2) - Java, JavaScript, CSS, HTML5, SQL",2,1,Application Development,Contract,22 Apr 2025,02 May 2025 to 30 Sep 2025 (4 months),under InfoTech,Government T26 Contract,Kwun Tong,N/A - N/A,"""(T26) Development, enhancement and on-going maintenance of the Registration and Electoral Office's IT applications/systems""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the REO; ;1. To participate in system development of various IT projects; ;2. To lead a team of contract staffs and provide supervision; ;3. To assist project manager in provision of technical support for various IT systems and projects; ;4. To assist in the procurements for IT facilities and services, product market research and assessment; ;5. To update system documentations and maintain proper records of project/system logs; and ;6. To carry out duties assigned by the supervisor. ;""",4.0,2.0,"""- Strong knowledge and experience in implementing and maintaining web applications; ;- Strong Hands-on experience in JavaScript, Java, SQL, CSS and HTML5; ;- Experience in vendor management, user acceptance test; ;- Experience in cloud services e.g., AWS, AliCloud, GCIS is a plus; ;- Experience in mobile application development framework e.g., React Native, Flutter is a plus; ;- Willing to lead and provide guidance to junior staff; ;- Experience in technical support of mission critical computer system(s) and load test is a definite plus; ;- Excellent sense of analytical and problem solving skills; ;- Willing to work overtime in some occasions; and ;- Excellent command of both spoken and written Chinese and English. ; ;Technical Skills: ;. At least 3 years' experience in JAVA Programming; ;. At least 3 years' experience in HTML5; ;. At least 3 years' experience in JavaScript Programming; ;. At least 3 years' experience in Structured Query Language; ;. At least 3 years' experience in IT Application Development and Management; ;. 1.5 years' experience in Web Hosting, Design and Maintenance is an advantage; ;. 1.5 years' experience in Apache Web Server is an advantage; ;. 1.5 years' experience in EGIS is an advantage; ;. 1 year's experience in XML is an advantage; ;. 1 year's experience in Java Servlet Programming is an advantage; ;. 1 year's experience in Production Database Support is an advantage. ; ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 1 year's experience in people management; ;. At least 1 year's experience in project management; ;. 1 year's experience in quality assurance is an advantage. ; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,08 Apr 2025,itcareer@infotech.com.hk,3978 8022,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33064"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33881,Contract Systems Analyst (Bid Ref 54186-1),1,1,Others,Contract,24 Apr 2025,30 May 2025 to 29 Jun 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) ISO/IEC 20000 Service Management System Certification for a new Data Centre and Provide Supporting Services for Data Centre Operation Management""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. Plan, coordinate and implement the project for scope changing of existing ISO/IEC 20000 Service Management System to include a new data centre;;2. Perform management of ISO/IEC 20000 processes and support ISO/IEC 20000 certification activities of data centre hosting services;;3. Act as a user representative to liaise with the respective project teams of data centre operation supporting systems for a new data centre; ;4. Provide support service for operation management of data centres; and;5. Perform tasks assigned by line manager. ;""",4.0,1.0,"""1. Achieve ITIL Foundation version 3.0 or above;;2. Achieve ISO/IEC 20000 Practitioner or ISO/IEC 20000 Consultant;;3. Possess experience in support for certification activities of ISO/IEC 20000 Service Management System;;4. Experience in data centre operation and ISO/IEC 20000 processes design and management is highly preferred;;5. Experience in application development and support is required; and;6. Knowledge in data centre operation supporting systems (e.g. Data Centre Management System and system for Data Centre Access Registration and Control) is preferred. ;Technical Skills: ;. At least 2 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. At least 2 years' experience in IT Service Management (SMG); ;. 1 year's experience in work with the Government (GOV) is an advantage; ;. 1 year's experience in managing Government IT standards (ITG) is an advantage; ;. 1 year's experience in project management (PRM) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,10 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33881"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,ITG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,,,,,,,SIM,SMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33883,Contract Project Manager (Bid Ref 54276-1),1,1,Others,Contract,24 Apr 2025,19 May 2025 to 30 Apr 2026 (11 months),under InfoTech,Government T26 Contract,Kwun Tong,N/A - N/A,"""(T26) Development and enhancement of system features as well as preparation for the full upgrade of the Innovation and Technology Commission Funding Administrative System (ITCFAS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;Overall project management to the preparation and implementation of new system features as well as preparation for the full upgrade of ITCFAS:;(i) Preparation/review of project and technical documents/information;;(ii) Liaison with various parties such as Government departments, internal users and contractors throughout the development cycle of the programmes in ITCFAS; and;(iii) Preparation of the full upgrade of ITCFAS, including drafting of application form for bidding project funding, drafting of work assignment briefs and tender documents and devising execution plans. ;""",8.0,2.0,"""1. Experience in preparation and administration of project funding application forms, work assignment briefs, tender documents and other project documents;;2. Working experience in user liaison and coordination;;3. Experience in conducting quality assurance on project deliverables; and;4. Experience in overseeing funding administration system in government would be an advantage. ;Technical Skills: ;. At least 5 years' experience in Project Management Professional (PMP) (PMP); ;. 5 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 5 years' experience in Document Flow/Workflow Management System (DOC) is an advantage; ;. 5 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 5 years' experience in project management (PRM); ;. At least 5 years' experience in tender preparation and administration (TPA); ;. At least 4 years' experience in Business Process Re-engineering (BPE); ;. At least 2 years' experience in managing Government projects (MGP). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33883"")",,,,,,,,,,BPE,,,,,,,,,,,,,,,,,,,DOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,MGP,,,,,,,,,,,,,,,,,,,,,,,,,,PMP,,PRM,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,TPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31080,Contract Systems Analyst (Bid Ref 52376-4),4,1,Others,Contract,24 Apr 2025,28 Apr 2025 to 31 Mar 2026 (11 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) IT support for maintenance and enhancement of eHealth+ of Health Bureau""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HHB; ;Main Duties and Responsibilities: ;1. To provide support for electronic health record data sharing developments and enhancements from healthcare providers and/or healthcare professionals; ;2. To prepare and provide assistance to eHealth+ related meetings such as Working Group on Data and Information Standard (WG-IS), Technical Task Force (TTG) meetings, etc; ;3. To provide assistance in technical review on system enhancements and newly added system features/ functions; ;4. To liaise with Hospital Authority (HA), Department of Health (DH), Digital Policy Office (DPO), IT service contractors and other healthcare providers or professionals for the maintenance of management reports, new function and enhancement implementations; ;5. To prepare and review eHeatlh+ related documents and generate reports and/or summary to management; ;6. To provide technical support in service delivery and operations of eHealth+ such as inventory management, connectathon preparation; and ;7. To provide technical support to healthcare professionals and providers for eHealth+ including data compliance test. ;""",4.0,1.0,"""It is required to have professional knowledge and solid experience in IT planning and IT operational management of large-scale application, working experience with Governments projects, Vendor Management and good English & Chinese communication and writing skills. Work experience in vendor management is also preferable. ;Technical Skills: ;. At least 4 years' experience in IT Operational Management (OPM); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Planning (ITP). ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. At least 2 years' experience in vendor management (VMG); ;. 1 year's experience in presentation (PRT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,10 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31080"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,,,,,,,,,,,,,PRT,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29304,Contract Project Manager (Bid Ref 50723-3),3,1,Others,Contract,24 Apr 2025,06 May 2025 to 30 Sep 2025 (4 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To lead a team and assist the Judiciary in taking forward the design and development work for the implementation of projects""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Judiciary; ;The candidate will be responsible for the ;-Drive the definition of infrastructure architecture and roadmap ;-Lead analysis of the current IT environment to detect critical deficiencies and recommend solutions for improvement;-Lead analysis of technology industry and market trends to determine their potential impact on the infrastructure architecture;-Review proposed infrastructure designs;-To provide technical advice to Senior Management on the use of the IT Infrastructure ;""",8.0,4.0,"""Other than the requirements specified in the 'Technical' and 'non-Technical' Requirement Sections below.;-Bachelor's degree holder in related discipline.;-Minimum 10 years of IT experience with at least 4 years in infrastructure strategy and architecture design;-Experience with server virtualization and data centre management.;-Possess comprehensive understanding of application and infrastructure products and technologies (e.g. server, storage, network, hypervisor, Windows, Linux...etc.).;-Understanding of the networking concepts - Routing, Switching, LAN/WAN, Spanning Tree Protocol, HSRP, ARP, VLAN, Inter-VLAN Routing, OSPF, BGP etc.;-Knowledge of advanced network technologies like VXLAN, VXLAN BGP eVPN, SDA, SDWAN etc will be added advantage.;-Experience in implementation and support of DevSecOps is preferred.;-Familiar with network management, backup management and/or storage management. ;Technical Skills: ;. At least 4 years' experience in Data/File Backup Technology (DFT); ;. At least 4 years' experience in Infrastructure (INF); ;. At least 4 years' experience in Linux System Administration (LIN); ;. At least 4 years' experience in Network Design (NDN); ;. At least 4 years' experience in Network & System Management (NSM); ;. At least 4 years' experience in Router Configuration (ROU); ;. At least 4 years' experience in Virtual LAN/LAN Switching (VLS). ;Non-technical Skills: ;. At least 1 year's experience in work with the Government (GOV); ;. Good written English is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,10 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=29304"")",,,,,,,,,,,,,,,,,,,,,,,,,DFT,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,INF,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,NDN,,,NSM,,,,,,,,,,,,,,,,,,,,,,,,,,,ROU,,,,,,,,,,,,,,,,,,,,,,,,,,VLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33882,Contract Systems Analyst (Bid Ref 54269-1),1,1,Others,Contract,24 Apr 2025,30 May 2025 to 29 Jun 2026 (13 months),under InfoTech,Government T26 Contract,Cheung Sha Wan,N/A - N/A,"""(T26) Ongoing maintenance and enhancement of a procurement record system and the IT Service Management (ITSM) System""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. Perform on-going maintenance and enhancement for the CCC Procurement Record System; and;2. Perform on-going maintenance enhancement and improvement of ITSM System;;3. Perform software upgrade and patching for the systems mentioned in (1) and (2) above; and;4. Perform maintenance and enhancement for expenditure and charging reports ;""",4.0,1.0,"""1. At least two years full-time working experience on:; - maintenance, enhancement and database administration of application systems by using VBA, Crystal Report, Excel, Java, Javascript, JSP and Servlet; and ; - technical support of PCs and servers; and;2. Experience on maintenance and customisation of Micro Focus OpenText Service Manager software, data centre maintenance and IT service management are preferred. ;Technical Skills: ;. At least 2 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in Apache Web Server (AWS); ;. At least 2 years' experience in JavaScript Programming (JAP); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Microsoft SQL Server (MSS); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 2 years' experience in Tomcat Application Server (TOM); ;. At least 2 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 2 years' experience in Visual Basic (VBC); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skill: ;. 1 year's experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,10 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33882"")",,ADM,,,,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,JAP,,JAV,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,TOM,,ULS,,,,,VBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33706,Contract Systems Analyst (Bid Ref 54099-1),1,1,Others,Contract,10 Apr 2025,02 Jun 2025 to 28 Feb 2026 (8 months),under InfoTech,Government T26 Contract,"Tseung Kwan O, Wanchai, and occasionally working at various Immigration offices and control points.",N/A - N/A,"""(T26) To support the enhancement scheduled in 2025/26 for the Administrative Network (AN) infrastructure including network setup in supporting the IT systems of ImmD with new administrative initiatives.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To carry out various enhancement and subsequent 7x24 on-call support for ImmD's AN which include: ;- implement and administrate the enterprise grade network infrastructure connecting various security zones on AN; ;- provide network setup at new ImmD HQ to support IT systems of ImmD; ;- provide technical advice to various IT systems of ImmD in network perspective; and ;- other duties assigned by supervisor. ;""",4.0,1.0,"""The candidate shall possess the following essential technical skills: ;(a) solid experience in supporting enterprise grade Cisco Nexus 7000 series, Cisco 7200 series and 6800 series network equipment, as well as solid experience in supporting Huawei network products; ;(b) well-versed in configuring and supporting Internet firewall including Fortinet FortiGate, Huawei and Juniper; ;(c) solid experience in designing and building multi-site network with high resilience; and ;(d) experience in site preparation and network infrastructure setup in remote offices. ; ;Criminal record check will be required. ;Technical Skills: ;. At least 3 years' experience in CISCO IOS Software & CISCO Products (CIP); ;. At least 2 years' experience in Huawei VRP & Huawei Products (HAU); ;. At least 2 years' experience in Internet Firewall Technical Support (IFW). ;Non-technical Skills: ;. At least 2 years' experience in the management and support of Government systems and services (GSS); ;. At least 1 year's experience in site preparation (SPE); ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,27 Mar 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33706"")",,,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,GSS,,,HAU,,,IFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
