Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,AUS,AWS,BDM,BIM,BJM,BKO,BPE,BPM,CAS,CCS,CIP,CISA,CISP,CISSP,CLS,CMS,COG,CON,CRS,CRY,DAM,DAR,DBA,DCM,DFT,DMO,DMS,DMT,DOC,DRP,DWH,EAI,ECR,EGI,ERP,ESD,ESS,FPA,GBC,GIS,GOV,GPD,GSS,GTP,GWIN,HAU,HSM,HTM,IAA,IBX,IDA,IFW,INF,IPS,ISM,ISS,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,LDA,LIN,LNA,LON,MCS,MGP,MNE,MSI,MSQ,MSS,MWC,NDA,NDN,NEC,NET,NSM,OCP,ODB,OKD,OOA,OPL,OPM,ORA,OTP,OUT,PDE,PDS,PEX,PHI,PIT,PKI,PMP,PRM,PRO,PRT,QAS,QMT,RAD,REP,ROU,SAA,SAN,SCM,SDH,SDLC,SDM,SIEM,SIM,SMG,SPE,SQL,SRS,SST,STM,SVT,TAS,TOM,TPA,TWS,ULS,UNX,VBC,VLS,VMG,WAS,WEA,WEB,WED,WLM,WSV,XML,APR,ARC,CAP,CSF,EMG,FLN,GCIS,GOA,GSR,INT,ITC,LNM,MAR,MSP,PHP,PLS,PRE,PRS,RAS,RHS,SRA,UML,UNA,VBA,VCP,VPN,VSN,WAA,WAN,WFS,WLT,WME,WMS,WPG
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33894,Contract Project Manager (Bid Ref 54291-1),1,1,Others,Contract,28 Apr 2025,17 Jun 2025 to 16 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Wanchai,N/A - N/A,"""(T26) The project is for the implementation and maintenance of a digital identity system (the System) which consists of cloud-based back end systems and mobile apps. The System provides Application Programming Interfaces (APIs) for access by other government systems and non-government systems to perform authentication, form filling, digital signing and other functions with the consent of the mobile app users. The CPM will lead a team to support the operation management of the System, and to direct the contractor teams on bug fixing and system enhancement works.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CPM will be required to:;1. manage the operation team and coordinate with related government contractors on the operations and maintenance work for the System;;2. make sure the operations and security controls of the System are in compliance with ISO/IEC 20000-1:2018, ISO/IEC 27001:2013, and ISO/IEC 27701:2019;;3. monitor the system performance including response time, alert messages, system utilisation, jobs results, interfaces status, etc.;;4. manage the security alerts and security patching and to review system audit log and server logs for health-checking;;5. perform disaster recovery drill and incident response drill regularly; and;6. any other duties (including publicity) assigned by the supervisors. ;""",8.0,2.0,"""The candidate should possess:;1. solid working experience in operational management of medium to large scale IT systems;;2. strong knowledge and experience in IT system operations, maintenance and on-going support;;3. good understanding on system architecture and networking, governance, and information security management framework;;4. possession of experiences in vendor management and supporting Government systems or services is an advantage;;5. knowledge and experience in ISO 20000/27001/27701 is an advantage;;6. good command of English and writing skills;;7. good coordination and liaison skills; and;8. ability to communicate in Mandarin.;;Criminal record verification by the Hong Kong Police Force is required ;Technical Skills: ;. At least 4 years' experience in IT Operational Management (OPM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in IT Security (ITS); ;. At least 2 years' experience in Network & System Management (NSM); ;. 4 years' experience in IT Application Development and Management (ADM) is an advantage; ;. 3 years' experience in Infrastructure (INF) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. Good written English is a must; ;. At least 2 years' experience in quality assurance (QAS); ;. 3 years' experience in managing G2B and G2C projects (GBC) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,14 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33894"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBC,,,,,,,,,,,,,,INF,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,NSM,,,,,,OPM,,,,,,,,,,,,,,QAS,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33906,Contract Systems Analyst (Bid Ref 54351-1),1,1,Others,Contract,24 Apr 2025,01 May 2025 to 30 Apr 2026 (12 months),under InfoTech,Government T26 Contract,Shek Kip Mei,N/A - N/A,"""(T26) Application support of web application systems in EDB""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the EDB; ;The System Analyst is mainly deployed to execute the following duties on the operation, support and enhancement of the School Maintenance Automated Rapport Terminal (SMART) System &;#8211;;a. acting as a co-ordinator to collect and consolidate user requirements of SMART user sections, e.g. REO, CKS Section, SPM Section, etc. and as a EDB single point of contact to liaise with IT section of EDB;;b. reviewing and refining current business workflows in SMART system as directed by supervisors, e.g. MR/ER/Minor Works application, works order management, dimension book management, financial management, payment transaction, maintenance / asset database, etc.;;c. assisting SPM users to design test cases, carry out user acceptance tests, and provide feedbacks to IT section of EDB for follow-up action;;d. assisting SPM Section to administer user accounts of all SMART user sections and external parties, and oversee the system;;e. providing technical support to the operation, maintenance and improvement of IT equipment and database systems of SPM Section; and;f. assisting SPM Section to carry out all other IT-related duties as directed by supervisors. ;""",6.0,3.0,"""At least 6 years of post-qualification relevant application development / maintenance experience of which a minimum of 4 years in web application system implementation / maintenance and 3 years in system analysis and design.;;The staff will be required to work in EDB SPM office at Shek Kip Mei 5 days a week, and occasionally visit offices of other user sections of EDB. ;Technical Skills: ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Java Servlet Programming (JSP). ;Non-technical Skills: ;. At least 3 years' experience in work with the Government (GOV); ;. 1 year's experience in IT service/outsourcing management (OUT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33906"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,JAV,,JSP,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33893,Contract Systems Analyst (Bid Ref 54167-1),1,1,Others,Contract,28 Apr 2025,02 Jun 2025 to 31 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Wong Chuk Hang and work outdoors at smart lamppost sites when necessary,N/A - N/A,"""(T26) This is a position to provide services for operation and maintenance multi-functional smart lampposts programme and implement relevant projects.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;i) To provide support on installation of smart lampposts as well as smart devices and applications;;ii) To provide system, cloud and infrastructure support including configure and calibrate setting in the IT support system, network communications system, smart devices, wireless multi-hop network system, edge computers and communications equipment, etc.;;iii) To facilitate testing and commissioning of smart devices, edge computers and communications equipment;;iv) To perform problem diagnosis and fixing, on-site investigation and configuration, user requirements analysis and implementation on networking and system solutions including wireless multi-hop network, cloud computing, LoRAWAN and/or Bluetooth devices, web application etc.;;v) To coordinate and liaise with both supporting and user departments, suppliers, contractors and stakeholders in project implementation and maintenance;;vi) To work outdoors at smart lampposts sites, work in non-office hours, including public holiday and perform any other assignments as and when necessary to support the work of DPO; and;vii) To perform any other duties assigned by supervisors. ;""",4.0,1.0,"""i) The candidate must have in-depth solid experience in infrastructure implementation and network design, implementation and support;;ii) Solid experience in virtual private network, managing and configuring network routers & switches, site preparation and supporting / maintaining Government IT system / network are much preferable;;iii) Experiences in implementation or maintenance of SolarWinds network management system, ManageEngine event log analyzer and Bitdefender GravityZone are much preferable;periences in implementation or maintenance of fibre ring network infrastructures are much preferable;;iv) Experiences in implementation or maintenance of wireless multi-hop network system and CCTVs on lampposts are much preferable;;v) Experiences in implementation or maintenance of computer systems with cloud infrastructure/services are much preferable;;vi) Experiences in installation of smart devices on lampposts are much preferable; and;vii) Having understanding and knowledge on supporting Government internal administrative works (e.g. organisation of meeting and event with internal and external parties, preparation of line-to-take, etc.) are much preferable. ;Technical Skills: ;. At least 3 years' experience in Infrastructure (INF); ;. At least 3 years' experience in Network Design (NDN); ;. At least 3 years' experience in System Implementation and Maintenance/Support (SIM); ;. 2 years' experience in CISCO IOS Software & CISCO Products (CIP) is an advantage; ;. 2 years' experience in Networking (NET) is an advantage; ;. 2 years' experience in Network & System Management (NSM) is an advantage; ;. 2 years' experience in Router Configuration (ROU) is an advantage; ;. 2 years' experience in Information Security Management (ISM) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage; ;. 2 years' experience in Metro-Ethernet Network (MNE) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in managing Government IT standards (ITG) is an advantage; ;. Good spoken English is an advantage; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. Good written English is an advantage; ;. 2 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 2 years' experience in project management (PRM) is an advantage; ;. 2 years' experience in IT procurement (PRO) is an advantage; ;. 2 years' experience in site preparation (SPE) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,14 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33893"")",,,,,,,,,,,,,CIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,GSS,,,,,,,,,,INF,,ISM,,ITG,,ITS,,,,,,,,,,,,,MGP,MNE,,,,,,NDN,,NET,NSM,,,,,,,,,OUT,,,,,,,,PRM,PRO,,,,,,ROU,,,,,,,,SIM,,SPE,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33895,Contract Project Manager (Bid Ref 54303-1),1,1,Others,Contract,28 Apr 2025,06 Jun 2025 to 04 Jun 2026 (11 months),under InfoTech,Government T26 Contract,Wanchai and occasionally other HKSAR districts,N/A - N/A,"""(T26) The new project will enhance the capacity of a digital identity system (the System) by leveraging public cloud hosting resources. It involves establishing robust and secure environments for development, testing and production run of the System. Cybersecurity is a critical success factor of the project, which demands dedicated expertise and efforts to be injected into the System.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The CPM will be required to:;1. lead security reviews and risk assessments for the System; ;2. identify, specify and apply the right technologies and solutions to enhance cybersecurity of the System;;3. lead in-house and/or contractor teams to perform threat monitoring, event/incident response, security patching and other security operations of the System; and;4. report to a Senior Systems Manager and perform any other duties assigned by the supervisor ;""",8.0,2.0,"""The candidate should possess:;1. solid working experience of cybersecurity on Internet-facing applications involving RESTful API, cloud environments, microservice architecture, DevOps and mobile apps;;2. strong understanding of OAuth 2.0, FIDO, PKI and facial verification technologies;;3. knowledge on ISO/IEC 27001 and ISO/IEC 27701;;4. familiarity with security information and event management (SIEM) tools and technologies;;5. strong sense of analytical and problem solving skills;;6. good command of English and writing skills;;7. ability to communicate in Putonghua and Simplified Chinese in technical terms with contractors; and;8. good communication and interpersonal skills.;* It is an advantage for the candidate to possess experience in supporting Government systems or services.;;Criminal record verification by the Hong Kong Police Force is required ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in Information Security Management (ISM); ;. At least 3 years' experience in Web Services (WSV); ;. At least 2 years' experience in Public Key Infrastructure (PKI); ;. At least 2 years' experience in Security Risk Assessment and Audit (SAA); ;. At least 2 years' experience in Security Incident Detection and Handling (SDH); ;. At least 2 years' experience in IT Security (ITS); ;. 2 years' experience in Mobile / Wireless Communication (MWC) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. Excellent written English is a must; ;. At least 3 years' experience in vendor management (VMG); ;. 3 years' experience in managing G2B and G2C projects (GBC) is an advantage; ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in quality assurance (QAS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,14 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33895"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GBC,,,,GSS,,,,,,,,,,,,ISM,,,,ITS,,,,,,,,,,,,,,,,,,MWC,,,,,,,,,,,,,,,,,,,,PKI,,,,,QAS,,,,,SAA,,,SDH,,,SIEM,,,,,,,,,,,,,,,,,VMG,,,,,,WSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33059,Contract Systems Analyst (Bid Ref 53561-2),2,1,Others,Contract,29 Apr 2025,26 May 2025 to 15 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Support the inventory management, contract management and capacity planning of the Government Cloud Infrastructure Services (GCIS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;This post is responsible for the inventory management, contract management and project management and of GCIS contract;- Take part in the project administration and contractor management for GCIS ;- Provide operation support for the inventory management of hardware and software of GCIS;- Work with client advisory team, technical team and GCIS contractors to support GCIS operation, multiple tenants and to assist in annual capacity planning for GCIS ;""",4.0,1.0,"""- Knowledge and experience in cloud computing technologies including server virtualisation, security, etc.;- Experience in inventory management;- Experience in contract administration;- ITIL certification is preferred;- Competent communication skills, both verbal and written, and interpersonal skills;- Experience in acceptance of IT infrastructure project deliverables preferred;- Strong analytical mind and problem solving techniques;- Knowledge in government procurement procedures is an advantage ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 1 year's experience in IT Security (ITS); ;. At least 1 year's experience in IT Operational Management (OPM); ;. 6 months' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in contract administration (CON); ;. 6 months' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 6 months' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33059"")",,,,,,,,,,,,,,,,,CLS,,,CON,,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,INF,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33897,Contract Senior Systems Analyst (Bid Ref 54295-1),1,1,Others,Contract,29 Apr 2025,03 Jun 2025 to 02 Jun 2026 (12 months),under InfoTech,Government T26 Contract,Sham Shui Po,N/A - N/A,"""(T26) This is a CSSA position responsible for providing client advisory support on application hosting using Platform-as-a-Service (PaaS) of Government Cloud Infrastructure Services (GCIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The post provides technical support and client liaison to the end users from Government B/Ds in using PaaS to host application system which adopts three-tier architecture. The major job duties include:;(a) To provide client advisory support for the GCIS PaaS application hosting service;(b) To provide support on Internet facing G2C (Government to Customer) and G2B (Government to Business) application systems;(c) To provide client communications and advisory support on the GCIS platform in implementing application systems using three-tier architecture (i.e. web tier, application tier and DB tier);(d) To carry out other project related duties as designated by the supervisors ;""",6.0,2.0,"""(a) Candidate should have experience in JBoss application server;(b) Candidate should have experience in providing client support and advisory service;(c) Candidate should have experience in RDMS, including DB2 and MySQL;(d) Candidate should have experience in managing G2C and G2B projects;(e) Candidate should have experience in GCIS PaaS (former EGIS) ;(f) Candidate should have strong sense of analytical and problem solving skills;(g) Candidate should be a team-player with good communication and interpersonal skills ;Technical Skills: ;. At least 2 years' experience in DB2 (DB2); ;. At least 2 years' experience in EGIS (EGI); ;. At least 2 years' experience in JBoss Application Server (JAS); ;. At least 2 years' experience in MySQL (MSQ). ;Non-technical Skills: ;. At least 2 years' experience in customer service (CLS); ;. At least 2 years' experience in managing G2B and G2C projects (GBC). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33897"")",,,,,,,,,,,,,,,,,CLS,,,,,,,,,,,,,,,,,,,EGI,,,,,GBC,,,,,,,,,,,,,,,,,,,,,,,,JAS,,,,,,,,,,,,MSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33896,Contract Project Manager (Bid Ref 54278-1),1,1,Others,Contract,29 Apr 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) This is a CPM position to manage the Government Central Gateway (GCG) of Government Electronic Trading Services (GETS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The major job duties include but are not limited to the following:;- to manage the team to support the application of GCG and operation system for the commissioning of the GCG;;- to supervise the maintenance and enhancements of GCG application system;;- to manage the team for the routine tasks, such as Information Security Incident Handling Drill, Security Risk Assessment and Audit and Disaster Recovery Drill;;- to liaise with GETS Service Providers on operational issues of GETS; and;- to perform the tasks assigned by the line manager. ;""",8.0,2.0,"""- Require good project management and technical consultancy;;- Require solid experience in managing large scale IT system;;- It is preferably with exposure in mission critical Government IT systems; and;- Require solid experience in technical skills required. ;Technical Skills: ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in Multi-vendor Mission Critical System (MCS); ;. At least 2 years' experience in Security Incident Detection and Handling (SDH); ;. At least 2 years' experience in Structured Query Language (SQL); ;. 2 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 2 years' experience in JAVA Programming (JAV) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in project management (PRM); ;. 1 year's experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33896"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,MCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,SDH,,,,,,,SQL,,,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33904,Contract Systems Analyst (Bid Ref 54344-1),1,1,Others,Contract,29 Apr 2025,12 May 2025 to 31 Jul 2025 (2 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) Support to security team""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;Provide support to security team including;- coordinate vendors to conduct IT security risk assessment;- manage anti-virus and Security Information Event and Management (SIEM) system, tasks involve follow up the security alert, apply security patch management, create monitoring use case;- conduct security review, tasks involve understand the system process and data flow, identify risk and corresponding security control to address the risk, verify the implementation of security control;- reply IT security enquiries ;""",4.0,2.0,"""1. Solid experience in anti-virus and log review system support;2. Experienced in IT security risk assessment ;3. Experienced in liaison and coordination with different parties is preferred;4. Possess relevant IT security professional qualifications (e.g. Certified Information Systems Auditor (CISA), Certified Information Systems Security Professional (CISSP) and Certified Information Security Professional (CISP)) is preferred ;Technical Skills: ;. At least 2 years' experience in Endpoint Security Solutions (ESS); ;. At least 2 years' experience in Security Risk Assessment and Audit (SAA); ;. At least 2 years' experience in Security Incident Detection and Handling (SDH); ;. 1 year's experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in managing Government IT standards (ITG); ;. Good coordination skills is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33904"")",,,,,,,,,,,,,,CISA,CISP,CISSP,,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,,,,,,,,,,,,ITG,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAA,,,SDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
