Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,ASP,AST,AUS,AVT,AWS,BAS,BDM,BGP,BJM,BKO,BNE,BPE,BPM,CAD,CAS,CCS,CFA,CHI,CIP,CISA,CISP,CISSP,CLS,CMS,COG,CON,CRS,CRY,DAM,DAR,DBA,DET,DEV,DFT,DLS,DMO,DMS,DMT,DOC,DPS,DRP,EAI,ECR,EFM,EGI,ELE,ESD,ESS,ETH,FPA,GBC,GOV,GPD,GSS,GTP,GWIN,HAC,HAU,HDT,HSM,HTM,IAA,IBX,IDA,IEG,IFW,IMG,INF,INT,IPS,ISM,ISS,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSI,MSQ,MSS,MUL,MWC,NDA,NDN,NEC,NET,NSM,OAC,OAN,OAS,OAT,OCP,ODB,ODT,OKD,OOA,OPF,OPL,OPM,OPV,OUT,PDE,PDS,PEX,PHP,PIT,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,RAD,REP,RHEL,RHS,ROU,SAA,SAN,SCM,SDH,SDM,SDN,SIEM,SIM,SMG,SPA,SPE,SQL,SRA,SRS,SST,STM,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UNX,VBA,VBC,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WIS,WLG,WLM,WLT,WME,WNT,WSV,XML,BIM,DCM,DWH,ERP,GIS,LDA,ORA,OTP,PHI,QMT,SDLC
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33930,Contract Senior Systems Analyst (Bid Ref 54350-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Kowloon City and TID DR sites,N/A - N/A,"""(T26) The project is to provide on-going support to the IT network and security infrastructure at production site and DR site, Internet gateway, miscellaneous Wide Area Network (WAN) connections, management of outsource contractor of the Department, provide advice to application project teams from the IT network and security infrastructure perspective and enhance the IT network and security infrastructure to meet the business needs.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To provide on-going support to the IT network and security infrastructure at production site and DR site, Internet gateway, WAN connections;- To manage outsource contractors of the Department for IT network and security infrastructure related project;- To provide advice to application support teams from IT network and security infrastructure perspective;- To implement the IT network and security infrastructure configurations to cope with the needs according to the latest business development ;- To enhance the IT network and security infrastructure to meet the business needs;- To maintain the IT network infrastructure related documents;- To evaluate new solutions of IT network and security infrastructure for the potential usage by the Department ;""",8.0,4.0,"""Candidates must have a leading role and solid experience in designing, implementing, and managing Government IT network and security infrastructure. Solid experience in network project management, design, system management, and knowledge of Government tender and procurement regulations and procedures is required.;;Experience with detailed configuration of H3C 12500, 9850, 6850, 5560 series; Cisco Nexus 7000, 5000, 2000 series; Cisco Identity Service Engine; Cisco Wireless Controller; Fortigate firewall; CheckPoint firewall; F5 BigIP LTM; and VMware is a must.;;The successful candidate will be required to work overtime according to business needs. Over-the-phone support or consultation after office hours is also required. ;Technical Skills: ;. At least 8 years' experience in Network Design (NDN); ;. At least 8 years' experience in Network & System Management (NSM); ;. At least 8 years' experience in Wide Area Network (WAN); ;. 8 years' experience in Virtual LAN/LAN Switching (VLS) is an advantage; ;. 8 years' experience in Virtual Private Network (VPN) is an advantage; ;. 8 years' experience in Open Shortest Path First (OPF) is an advantage; ;. 8 years' experience in Proxy Server (PRS) is an advantage; ;. 8 years' experience in Security Risk Assessment (SRA) is an advantage; ;. 8 years' experience in Networking (NET) is an advantage; ;. 8 years' experience in Internet Firewall Technical Support (IFW) is an advantage; ;. 8 years' experience in IT Security (ITS) is an advantage; ;. 8 years' experience in Metro Ethernet (MET) is an advantage; ;. 8 years' experience in Metro-Ethernet Network (MNE) is an advantage; ;. 8 years' experience in Checkpoint Firewall Administration (CFA) is an advantage; ;. 8 years' experience in CISCO IOS Software & CISCO Products (CIP) is an advantage; ;. 8 years' experience in Ethernet (ETH) is an advantage; ;. 7 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 7 years' experience in Microsoft Active Directory Administration (ADA) is an advantage; ;. 7 years' experience in Anti-Virus Technology (AVT) is an advantage; ;. 7 years' experience in Border Gateway Protocol (BGP) is an advantage; ;. 7 years' experience in Broadband Network (BNE) is an advantage; ;. 7 years' experience in Infrastructure (INF) is an advantage; ;. 7 years' experience in Internet/ Intranet (INT) is an advantage; ;. 7 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 7 years' experience in TCP/IP (TCP) is an advantage; ;. 7 years' experience in Router Configuration (ROU) is an advantage; ;. 7 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 7 years' experience in Open View (OPV) is an advantage; ;. 7 years' experience in PC LAN Support (PLS) is an advantage; ;. 7 years' experience in Wireless Technology (WLT) is an advantage; ;. 5 years' experience in Mobile / Wireless Communication (MWC) is an advantage; ;. 5 years' experience in Anti-Spam Technology (AST) is an advantage; ;. 5 years' experience in Authentication Server (AUS) is an advantage; ;. 5 years' experience in Huawei VRP & Huawei Products (HAU) is an advantage; ;. 3 years' experience in Wireless and Mobile (WLM) is an advantage. ;Non-technical Skills: ;. At least 8 years' experience in work with the Government (GOV); ;. At least 8 years' experience in Government tendering procedures (GTP); ;. 7 years' experience in managing Government projects (IEG) is an advantage; ;. 7 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 7 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 7 years' experience in the management and support of Government systems and services (GSS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33930"")",ADA,,,,AST,AUS,AVT,,,,BGP,,,BNE,,,,,,CFA,,CIP,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,ETH,,,GOV,GPD,GSS,GTP,,,HAU,,,,,,,IEG,IFW,,INF,INT,,,,,,,,ITS,,,,,,,,,,,,,,MET,,,MNE,,,,,MWC,,NDN,,NET,NSM,,,,,,,,,,OPF,,,OPV,OUT,,,,,,,PLS,,,,,,PRS,,,,,,,ROU,,,,,,,,SIM,,,,,SRA,,,,SVT,,,TCP,,,,,,,,VLS,,VPN,,WAN,,,,,,,,,WLM,WLT,,,,,,,,,,,,,,,
33940,Contract Project Manager (Bid Ref 54384-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Sep 2025 (3 months),under InfoTech,Government T26 Contract,Homantin,N/A - N/A,"""(T26) System Implementation of IT application system of the Housing Department""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;The CPM will be required to:;1. manage the delivery of all IT activities in the system development and maintenance cycle as well as procurement of IT equipment and services;;2. mainly perform the project management for development of web application system for Counterparty Management Information System: ;(a) to lead the development team to carry out the activities in system development life cycles including requirement collection and feasibility studies, system analysis & design, development, testing and implementation;;(b) to manage and facilitate team members in liaison with end-users, vendors and internal IT teams throughout the project;;(c) to assist in problem solving in business and technical aspects; and;3. perform other project-related duties as designated by the supervisor. ;""",15.0,5.0,"""1. Meet the mandatory requirements stipulated in the Skill and Experience Section;;2. Possess IT project management skills for application development and implementation; ;3. Have extensive experience in Web Application development; ;4. Have extensive experience in IT security, quality management and risk management; and ;5. Have good analytical skills, communication and interpersonal skills. ;Technical Skills: ;. At least 10 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in J2EE Development (JDE); ;. At least 5 years' experience in PRINCE (PRE); ;. At least 5 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. At least 10 years' experience in work with the Government (GOV); ;. Excellent written English is a must; ;. At least 2 years' experience in IT procurement (PRO); ;. At least 2 years' experience in quality assurance (QAS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 15 years' post-qualification experience in which at least 5 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33940"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRE,,PRO,,,QAS,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33915,Contract Systems Analyst (Bid Ref 54371-1),1,1,Application Development,Contract,30 Apr 2025,02 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) System Implementation for web and mobile applications under Estate Management Division (EMD)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;To carry out requirement collection, system design & analysis, development (including programming), testing, application deployment and documentation for enhancements on web and mobile applications;To carry out the user support and maintenance tasks for web and mobile applications;To carry out configuration, security patching and maintenance of Red Hat Enterprise Linux (RHEL) servers ;""",6.0,4.0,"""1. Possess the following skills and hands-on experience:;- Solid experience in web application development with Java EE;- Solid experience in Java application frameworks such as Spring, Hibernate and MyBatis;- Solid experience in SQL and PL/SQL programming using Oracle;- Familiar with CI/CD tools such as Git, Jenkins;- Experience in Java application servers such as JBoss;- Experience in Reporting tool (e.g. JasperReports);2. capable to work independently under pressure with tight schedule.;3. Strong analytical and problem solving skills in business and technical aspects;4. Experience and knowledge in any of the following is an advantage:;- Frontend development with Design Pattern (e.g. MVC);- Experience in mobile app development;- RHEL maintenance ;Technical Skills: ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in J2EE Development (JDE); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 1 year's experience in JBoss Application Server (JAS); ;. 1 year's experience in Wireless and Mobile (WLM) is an advantage; ;. 6 months' experience in Linux System Administration (LIN) is an advantage. ;Non-technical Skill: ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,16 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33915"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,JAS,,JDE,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WLM,,,,,,,,,,,,,,,,
33913,Contract Systems Analyst (Bid Ref 54370-1),1,1,Others,Contract,25 Apr 2025,01 Jun 2025 to 31 Jan 2027 (20 months),under InfoTech,Government T26 Contract,"Wan Chai, Hong Kong",N/A - N/A,"""(T26) Manage network infrastructure upgrade projects and provide departmental support to the network infrastructure and network security of Water Supplies Department""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. Implement network infrastructure related ACPC projects;2. Prepare and conduct system testing and user acceptance for the ACPC projects;3. Conduct and co-ordinate Security Risk Assessment and Audit of the ACPC projects;4. Participate in the funding application, tendering and procurement of other infrastructure related projects;5. Perform project management and coordination of other infrastructure related projects;6. Support the backbone network and security equipment including network core switches, routers, access switches, firewalls, Intrusion Prevention System, and Virtual Private Network equipment, etc.;7. Support wide area network connecting the GNET and remote offices;8. Support the Open Source Departmental Portal (OSDP);9. Support the private cloud infrastructure;10. Support in security information and event management (SIEM) ;""",8.0,4.0,"""- solid experience in contractor management;- solid experience in project management;- solid experience in supporting CISCO, H3C, Fortinet, and various Firewalls and VPN products;- well-versed in configuring security products including firewalls, Intrusion Prevention, and anti-virus software ;- well-versed in CISCO and H3C network routers and switches configuration;- possess knowledge and experience in administration of servers and network equipment ;Technical Skills: ;. At least 4 years' experience in Infrastructure (INF); ;. At least 4 years' experience in IT Security (ITS); ;. At least 4 years' experience in Networking (NET); ;. At least 4 years' experience in Server Virtualisation Technology (SVT); ;. At least 4 years' experience in Wide Area Network (WAN). ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. At least 2 years' experience in project management (PRM); ;. At least 2 years' experience in site preparation (SPE); ;. At least 2 years' experience in tender preparation and administration (TPA); ;. At least 2 years' experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,16 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33913"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,INF,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,NET,,,,,,,,,,,,,,,,,,,,,,,,,,PRM,,,,,,,,,,,,,,,,,,,,SPE,,,,,,SVT,,,,,TPA,,,,,,,VMG,,,WAN,,,,,,,,,,,,,,,,,,,,,,,,,
33911,Contract Systems Analyst (Bid Ref 54361-1),1,1,Others,Contract,30 Apr 2025,01 Jun 2025 to 31 Jul 2026 (14 months),under InfoTech,Government T26 Contract,Wong Chuk Hang,N/A - N/A,"""(T26) System implementation of Phase 3 of Trade Single Window""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the CEDB; ;1. To provide support and advice on system implementation activities such as system integration test, user acceptance test, resilience testing, reliability testing, etc.;;2. To coordinate with DPO teams, B/Ds and contractor(s) on system implementation and system rollout;;3. To monitor the performance of outsourced contractor(s);;4. To carry out other duties as assigned by the supervisor. ;""",6.0,2.0,"""The candidate should possess:;- solid implementation experience in GCIS services and system administrations;;- sound technical knowledge on web application firewall, web services configurations, Redhat Linux, Windows and database administration, web servers, etc.;;- sound knowledge on IT security;;- experience in working in HKSARG.;Experience in the following areas is an advantage:;- hands-on experience in cloud environment such as IaaS and PaaS;;- solid experience in monitoring outsourced contractor(s).;The candidate should also:;- be a team-player with good communication and interpersonal skills;;- have strong sense of analytical and problem solving skills;;- be hard-working and self-motivated with positive attitude.;;Security vetting is required. ;Technical Skills: ;. At least 6 years' experience in Infrastructure (INF); ;. At least 6 years' experience in Network & System Management (NSM); ;. At least 4 years' experience in Server Virtualisation Technology (SVT); ;. At least 4 years' experience in IT Security (ITS); ;. At least 4 years' experience in EGIS (EGI). ;Non-technical Skills: ;. At least 6 years' experience in work with the Government (GOV); ;. At least 4 years' experience in Government procurement/disposal procedures (GPD); ;. At least 4 years' experience in IT service/outsourcing management (OUT). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,16 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33911"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,,GOV,GPD,,,,,,,,,,,,,,,INF,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,NSM,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33938,Contract Systems Analyst (Bid Ref 54379-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To streamline regular household survey's business operation such as sampling, block-cutting and survey pre-processing, to further digitalise the business processes and to upgrade the technology and architecture of the existing General Household Survey (GHS) System to support latest requirements and challenges for household surveys in C&SD, including not limited to GHS and population census.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the C&SD; ;1. To participate in the system implementation and system integration, as well as refinement of the revamp of GHS system;;2. To liaise with users and other stakeholders to elicit requirements for the system;;3. To define and draft requirement specifications for necessary hardware, software, and services for the project;;4. To coordinate vendors and monitor the progress and status of the project;;5. To communicate with internal IT teams for system installation and configuration;;6. To conduct Quality Assurance (QA) tasks, including source code reviews and programming, to ensure the system meets specified requirements; ;7. To prepare test plan, carry out system integration testing and facilitate user testing;;8. To diagnose and resolve project and/or technical issues;;9. To support project management and other related activities;;10. To prepare, update and review all project deliverables; and;11. To perform any other duties as assigned. ;""",5.0,3.0,"""1. At least 3 years of work experience in Restful API development using ReactJS and progressive web application development using JavaScript framework;;2. At least 4 years of work experience in JAVA Programming;3. At least 3 years of work experience in relational database (e.g. Microsoft SQL Server Database);;4. At least 3 years of work experience in IT architecture design and business analysis;;5. At least 3 years of work experience in monitoring outsourced contractor for system implementation projects;;6. Certification in IT Service Management (e.g. PMP, ITIL4, etc) is preferable;;7. Database Administrator or equivalent certification in non-relational database is preferable; and;8. Interview will be conducted in both Cantonese and English. ;Technical Skills: ;. At least 4 years' experience in JAVA Programming (JAV); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 3 years' experience in Microsoft SQL Server (MSS); ;. At least 3 years' experience in Enterprise Application Integration (EAI); ;. At least 3 years' experience in Web Programming (WEB); ;. At least 1 year's experience in SQL Server Reporting Services (SRS); ;. 1 year's experience in Project Management Professional (PMP) (PMP) is an advantage; ;. 1 year's experience in Data Architecture (DAR) is an advantage; ;. 1 year's experience in Microsoft Internet Information Services (MIS) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in IT service/outsourcing management (OUT); ;. At least 2 years' experience in work with the Government (GOV); ;. 1 year's experience in Government procurement/disposal procedures (GPD) is an advantage; ;. Excellent written English is an advantage; ;. 1 year's experience in project management (PRM) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33938"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DAR,,,,,,,,,,,,EAI,,,,,,,,,,GOV,GPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,MIS,,,,MSS,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,PMP,,PRM,,,,,,,,,,,,,,,,,SIM,,,,SQL,,SRS,,,,,,,,,,,,,,,,,,,,,,WEB,,,,,,,,,,,,,,,,,,,,,
33936,Contract Systems Analyst (Bid Ref 54375-1),1,1,Others,Contract,02 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,Trade and Industry Department Offices,N/A - N/A,"""(T26) To assist in on-going management of the office automation system and administration of related services in the office.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the TID; ;- To provide first-line/second-line troubleshooting support of Government Office Automation (GOA) Systems such as Windows Domains, file servers, electronic messaging systems (Lotus Notes, CMS, CMMP etc.), Mobile Device Management (MDM) servers (MCMS, MobileIron etc.), including the management of GOA servers in server rooms and Disaster Recovery facilities located at remote site ;- To assist CSSA in providing smooth operation of GOA systems, including IT equipment deployment, system monitoring &on-going tuning, system software upgrade and patch management ;- To perform design, capacity planning and implementation of system infrastructure for existing and new projects ;- To plan, implement and review on emerging technologies for enhancement of the GOA systems ;- To develop housekeeping jobs for security control, job accounting, system and data backup, and media management purpose ;- To perform other duties as assigned by senior officers ;""",6.0,4.0,"""The candidate must be proficient and with hands-on experience in Windows Server administration, AD administration, Server Virtualization and Mobile Email/Device Management. Experience on Microsoft Exchange/Outlook and Government security is desirable. Candidate with experience in large-scale (over 500 users) system management/implementation is an advantage. Solid experience in Lotus Notes & CMS & CMMP administration, application development, configuration and support is an advantage. Successful candidate may be required to work overtime for ad hoc jobs or support services during non-office hours and holidays. ;Technical Skills: ;. At least 6 years' experience in Microsoft Active Directory Administration (ADA); ;. At least 6 years' experience in Office Automation (OAN); ;. At least 4 years' experience in Confidential Mail System (CMS); ;. At least 4 years' experience in Lotus Notes Mail Admin. & Technical Support (LNM); ;. At least 4 years' experience in Windows Server 2008/2012 (W12); ;. 6 years' experience in Windows 7/8/10 (W10) is an advantage; ;. 6 years' experience in PC LAN Support (PLS) is an advantage; ;. 4 years' experience in System Implementation and Maintenance/Support (SIM) is an advantage; ;. 4 years' experience in Server Virtualisation Technology (SVT) is an advantage; ;. 4 years' experience in Virtual Private Network (VPN) is an advantage; ;. 4 years' experience in Disaster Recovery Planning (DRP) is an advantage; ;. 4 years' experience in Endpoint Security Solutions (ESS) is an advantage; ;. 4 years' experience in Anti-Virus Technology (AVT) is an advantage; ;. 4 years' experience in Lotus Notes Administration & Technical Support (LON) is an advantage; ;. 4 years' experience in Mobile / Wireless Communication (MWC) is an advantage; ;. 2 years' experience in Wireless and Mobile (WLM) is an advantage; ;. 2 years' experience in System Backup with Bightstor ArcServe (BAS) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. 4 years' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,17 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33936"")",ADA,,,,,,AVT,,BAS,,,,,,,,,,,,,,,,,CLS,CMS,,,,,,,,,,,,,,,,,DRP,,,,,,,ESS,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LNM,LON,,,,,,,,,,MWC,,,,,,,OAN,,,,,,,,,,,,,,,,,,,PLS,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,SVT,,,,,,,,,,,,,VPN,,,,,,,,,,,WLM,,,,,,,,,,,,,,,,
33914,Contract Systems Analyst (Bid Ref 54372-1),1,1,Application Development,Contract,25 Apr 2025,01 Jun 2025 to 31 Aug 2025 (3 months),under InfoTech,Government T26 Contract,"Wan Chai, Hong Kong",N/A - N/A,"""(T26) Manage Central Operations Support System (COSS) & Public Enquiry Management System (PEMS) IT project""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the WSD; ;1. Perform project management of outsourced Information and Communications Technology (ICT) projects;2. Participate in the funding application, tendering and procurement in various projects;3. Work with business owners to establish a clear programme of activities;4. Assist in collecting and consolidating user requirements and turn them into structural system specifications;5. Prepare technical specifications for application, hardware equipment, software, and services;6. Assist in design, development and implementation of applications and systems;7. Design the system infrastructure and network security measures ;""",8.0,4.0,"""- solid experience in system analysis, design and implementation on system development project;- solid experience in contractor management;- solid experience in collecting and consolidating user requirements and turn them into structural system specifications;- solid experience in Government tender preparation and administration;- knowledge of network security, cloud-computing, mobile application and micro-service technologies and architecture ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in Data Management (DMT); ;. At least 4 years' experience in Information System Study (ISS); ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM). ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. At least 2 years' experience in vendor management (VMG); ;. At least 6 months' experience in managing Government IT standards (ITG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,16 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33914"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISS,,,ITG,ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
