Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,AST,AUS,AVT,AWS,BAS,BGP,BJM,BKO,BNE,BPE,BPM,CAD,CAS,CCS,CFA,CHI,CIP,CISA,CISP,CISSP,CLS,CMS,COG,CON,CRY,DAM,DAR,DBA,DET,DEV,DFT,DLS,DMT,DOC,DPS,DRP,EAI,ECR,EFM,EGI,ELE,ESD,ESS,ETH,GBC,GOV,GPD,GSS,GTP,GWIN,HAC,HAU,HDT,HSM,HTM,IAA,IBX,IDA,IEG,IFW,IMG,INF,INT,IPS,ISM,ISS,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LDA,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSI,MSQ,MSS,MUL,MWC,NDN,NEC,NET,NSM,OAC,OAN,OAS,OAT,OCP,ODB,ODT,OKD,OOA,OPF,OPL,OPM,OPV,OUT,PDE,PDS,PHP,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,RAD,REP,RHEL,RHS,ROU,SAA,SAN,SDH,SDN,SIEM,SIM,SMG,SPE,SQL,SRA,SRS,SST,STM,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UNX,VBC,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLG,WLM,WLT,WME,WNT,WSV,XML,BDM,CRS,DMO,DMS,FPA,NDA,PEX,PIT,SCM,SDM
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33952,Contract Systems Analyst (Bid Ref 54359-1),1,1,Application Development,Contract,06 May 2025,02 Jul 2025 to 27 Feb 2026 (7 months),under InfoTech,Government T26 Contract,Tseung Kwan O and occasionally provide support at Immigration sites.,N/A - N/A,"""(T26) Application enhancement support of Common Data Services (CDS) and User and Profile Management System (UPMS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To be responsible for various enhancement support for Common Data Services (CDS) and User and Profile Management System (UPMS) and the system integration with ImmD's application systems and subsequent 7x24 on-call support on CDS and UPMS which include:;(a) providing contractor management and monitoring of project enhancement progress for UPMS and CDS applications;;(b) providing development support for the upgrade exercise of the UPMS and CDS online applications and system integration;;(c) performing system integration test and quality control on the programs developed by the contractors;;(d) assuring the change management on application support and enhancements related to CDS and UPMS; ;(e) ensuring system integration and data synchronization between the upgraded central UPMS with the local applications for all other ImmD systems;;(f) performing product assessment, and recommending technical solutions during the application upgrade progress; and;(g) performing other duties assigned by supervisor. ;""",4.0,1.0,"""The candidate shall possess the following essential technical skills:;(a) experience in online application design for mission critical systems;;(b) solid experience in Java and J2EE application and web service development, Web Application Server and IBM Security Directory Server;;(c) solid experience in programming development supporting user authentication and directory services including LDAP;(d) solid experience in object-oriented design, Java application development and web services development via Java application framework like Spring and Ant; and;(e) solid experience in 3-tier application architecture design.;;Criminal record check will be required. ;Technical Skills: ;. At least 2 years' experience in J2EE Development (JDE); ;. At least 2 years' experience in LDAP Application Programming (LDA); ;. At least 2 years' experience in WebSphere Application Server (WAS); ;. At least 2 years' experience in Web Services (WSV). ;Non-technical Skill: ;. At least 2 years' experience in the management and support of Government systems and services (GSS). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33952"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,LDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS,,,,,,,,,,WSV,,,,,,,,,,,
33953,Contract Systems Analyst (Bid Ref 54360-1),1,1,Others,Contract,06 May 2025,02 Jul 2025 to 27 Feb 2026 (7 months),under InfoTech,Government T26 Contract,"Tseung Kwan O, Wanchai and occasionally provide support at Immigration sites.",N/A - N/A,"""(T26) Application support and enhancement on the Computer Output Management System (COMS-2) and Operations Intelligence System (OPIS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the ImmD; ;To carry out various enhancement and subsequent 7x24 on-call support on COMS-2 and OPIS which include: ;(a) provide technical support and problem diagnosis for the COMS-2 and OPIS; ;(b) provide production maintenance support of system infrastructure and application; ;(c) provide IT advice and evaluate technical solutions and perform analysis for the enhancement support; ;(d) provide IT advice and monitor performance of contractors on maintenance of COMS-2 and OPIS; ;(e) provide enhancement support of OPIS system for new statistical reports compilation; ;(f) provide support on storage upgrade for existing COMS-2 and tidying up of COMS-2 equipment areas in Wan Chai after relocation exercise; ;(g) perform study for the next generation of COMS-2; ;(h) execute and assure the proper change management; and ;(i) other duties assigned by supervisor. ;""",4.0,1.0,"""The candidate shall possess the following essential technical skills: ;(a) solid experience in administrating various operation system including Linux and Windows; ;(b) hands-on experience in configuring various IBM Tivoli components including TEC, ITM, Netview, TSM, and other system components such as Hyper-V, Nagios and Veeam; ;(c) solid experience in supporting the application for content and reporting management; and ;(d) good communication skills and vendor management skills. ; ;Criminal record check will be required. ;Technical Skills: ;. At least 2 years' experience in IT Security (ITS); ;. At least 2 years' experience in Linux System Administration (LIN); ;. At least 2 years' experience in Storage Area Network (SAN); ;. At least 2 years' experience in Windows Server 2008/2012 (W12). ;Non-technical Skill: ;. Good coordination skills is a must. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33953"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22396,Contract Systems Analyst (Bid Ref 44554-3),3,1,Application Development,Contract,06 May 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,Yau Ma Tei,N/A - N/A,"""(T26) Support URBTIX System.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the LCSD; ;As a project lead to drive and deliver sizable SI projects and provide support to the existing URBTIX system including but not limited to implement measures for combat ticket scalping activities and oversee development and implementation of the new enhancements;;Understand the full System Development Life Cycle and able to manage project schedule;;Resources planning and allocation;;Measure the project progress and ensure the milestones are achievable; and;Coordinate, liaise and monitor vendor performance in project development, delivery, rollout and ongoing support. ;""",15.0,10.0,"""Degree in Computer Science/Information System, or equivalent;Minimum 15 years post-qualification IT experience with at least 10 years' experience in similar capacity;Working experience in Ticketing System is a MUST;Have working experience with government projects & vendor coordination;Independent, proactive and able to work under pressure;Good command of both spoken and written English and Chinese, fluent Putonghua is an advantage;PMP or PRINCE2 Qualification is preferred ;Technical Skills: ;. At least 10 years' experience in IT Application Development and Management (ADM); ;. At least 10 years' experience in JAVA Programming (JAV); ;. At least 10 years' experience in Web Programming (WEB). ;Non-technical Skills: ;. At least 5 years' experience in work with the Government (GOV); ;. At least 5 years' experience in IT service/outsourcing management (OUT); ;. At least 5 years' experience in vendor management (VMG). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 15 years' post-qualification experience in which at least 10 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=22396"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,WEB,,,,,,,,,,,,,,,,,,,
33954,Contract Systems Analyst (Bid Ref 54390-1),1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To perform requirement collection, system analysis & design, development and testing; ;- To review and / or prepare SDLC documentation; and ;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""Possess the following skills and hands-on experience:;- At least 2 years of experience as Systems Analyst and 6 years of experience in IT;;- Solid experience in JAVA web application development; ;- Solid experience in SQL;;- Solid experience in Linux System Administration;;Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;Technical Skills: ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL). ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33954"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33955,Contract Systems Analyst (Bid Ref 54399-1),1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To design and setup infrastructure in Government Cloud Infrastructure Services (GCIS);;- To perform system analysis & design, development and testing;;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""Possess the following skills and hands-on experience:;- At least 2 years of experience as Systems Analyst and 6 years of experience in IT;;- Solid experience in GCIS;;- Solid experience in SQL;;- Solid experience in Linux System Administration;;Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;Technical Skills: ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in EGIS (EGI). ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33955"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30718,Contract Senior Systems Analyst (Bid Ref 51876-4),4,1,Others,Contract,06 May 2025,19 May 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,Kowloon Bay,N/A - N/A,"""(T26) IT support for implementation of eHealth+ of Health Bureau""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HHB; ;Major duties are to ;a) To provide technical support in service implementation of several strategy goals in eHealth+;;b) To conduct technical review and provide technical advice on system enhancements and newly added system features / functions;;c) To liaise with Hospital Authority (HA), Department of Health (DH), Digital Policy Office (DPO), IT service contractors and other healthcare providers or professionals for support system development, maintenance and enhancements of eHealth+;;d) To develop test plans, conduct system testing and ensure adherence to quality standards and regulations for functions and services in eHealth+;;e) To conduct technical and IT research applicable to the development of electronic health record (eHR) and eHealth+; ;f) To provide technical and administrative support to the Infrastructure Development Unit; and;g) To provide support in the meeting and discussions related to eHealth+ development. ;""",6.0,2.0,"""It is required to have professional knowledge and solid experience in application development and management of large-scale application, working experience with Government's projects and good English & Chinese communication and writing skills. ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in J2EE Development (JDE). ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. Excellent written English is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=30718"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31942,Contract Project Manager (Bid Ref 52460-3),3,1,Others,Contract,22 Apr 2025,19 May 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,North Point or other designated locations specified by DPO,N/A - N/A,"""(T26) To manage and supervise the contractor(s) and project team(s) to provide technical advice, design, implementation and support services for existing iAM Smart System as well as any enhancement raised from new initiatives. To manage and support on bulk digital signing system, personal code and e-Proof integration.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;1. Supervise in-house and outsourced contractor teams to implement the personal code phase 2 and e-Proof integration. ;2. Assist the implementation of application programming interface (API) to allow government online services to use the personal code and e-Proof. ;3. Oversee outsourcing contractor to provide implementation, maintenance, troubleshooting, and technical support services for the bulk digital signing, personal code and e-Proof integration. ;4. Collect detailed technical requirements in relation to the bulk digital signing and e-Proof from Government bureaux and departments. ;5. Provide technical advice and assistance to Government B/Ds and other organisations in adopting of the related bulk digital signing and e-Proof APIs. ;6. Any other duties assigned by the supervisor ;""",8.0,2.0,"""1. Working experience of API design and implementation, PKI-based digital signing and digital certificate related technologies. ;2. Concrete working experience in system design, development, implementation and maintenance of IT application systems using web services and RESTful APIs. ;3. Working experience in providing technical advice and support to different users and clients. ;4. Working experience in Agile software development approach and project management methodologies such as PRINCE or PMP. ;5. Knowledge and experience in containers and microservices in cloud environment. ;6. Good understanding on system architecture and networking fundamentals, system integration, governance, and information security management frameworks. ;7. Good sense of analytical and problem solving skills. ;8. Good command of English and Chinese writing skills. ;9. Good communication and interpersonal skills. ;* It is an advantage for the candidate to possess the following: ;- Knowledge or experience on identity management and Android/iOS application development ;- Putonghua communication skills ;Technical Skills: ;. At least 4 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in Public Key Infrastructure (PKI); ;. At least 3 years' experience in Web Services (WSV); ;. 3 years' experience in IT Security (ITS) is an advantage; ;. 2 years' experience in Mobile / Wireless Communication (MWC) is an advantage. ;Non-technical Skills: ;. Good coordination skills is a must; ;. At least 3 years' experience in vendor management (VMG); ;. Excellent written English is an advantage; ;. 3 years' experience in managing G2B and G2C projects (GBC) is an advantage; ;. 3 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in customer relations (ECR) is an advantage; ;. 2 years' experience in quality assurance (QAS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,08 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31942"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECR,,,,,,,GBC,,,GSS,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,MWC,,,,,,,,,,,,,,,,,,,,,,PKI,,,,,,,,,QAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,WSV,,,,,,,,,,,
