Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,AST,AUS,AVT,AWS,BAS,BDM,BGP,BJM,BKO,BNE,BPM,CAD,CAS,CCS,CFA,CHI,CIP,CISA,CISP,CISSP,CLS,CMS,COG,CON,DAR,DBA,DET,DEV,DFT,DLS,DMT,DPS,DRP,DWH,EAI,ECR,EFM,EGI,ELE,ERP,ESD,ESS,ETH,GBC,GIS,GOV,GPD,GSS,GTP,HAC,HAU,HDT,HSM,HTM,IAA,IBX,IEG,IFW,IMG,INF,INT,IPS,ISD,ISM,ISS,ITA,ITC,ITG,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LDA,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSA,MSQ,MSS,MUL,MWC,NDN,NEC,NET,NSM,OAC,OAN,OAS,OAT,OCP,ODB,ODT,OKD,OOA,OPF,OPL,OPM,OPV,OUT,PDE,PDS,PHP,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,QAS,RAD,REP,RHEL,RHS,ROU,SAA,SAN,SDH,SDN,SIEM,SIM,SPE,SQL,SRA,SRS,SST,STM,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UNX,VBC,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLG,WLM,WLT,WME,WNT,WSV,XML,BPE,DOC,PRT,SMG
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33965,Contract Systems Analyst (Bid Ref 54391-1),1,1,Others,Contract,08 May 2025,02 Jun 2025 to 31 Jan 2026 (7 months),under InfoTech,Government T26 Contract,Kwun Tong,N/A - N/A,"""(T26) Project implementation and support of IT systems and services in the Registration and Electoral Office""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the REO; ;1) To implement IT initiatives from procurement, design, development, testing, deployment, system maintenance and enhancement, etc.;;2) To carry out technical research and study on technology refreshment;;3) To assist in management of IT related matters related to voter registrations and election activities;;4) To support in the procurements related to outsourced IT projects (including the preparation of the tender document, requirement specification document and/or procurement related ; document, invitation, evaluation and award);;5) To perform the contract administration for outsourced IT services;;6) To coordinate the relevant parties and perform system testing so as to ensure the accuracy and reliability of IT systems; and;7) To carry out other duties assigned by the supervisor. ;""",5.0,2.0,"""Please refer to the technical and non-technical requirements ;Technical Skills: ;. At least 5 years' experience in IT Application Development and Management (ADM); ;. At least 5 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in C++ (C++); ;. 3 years' experience in Client/Server Application Development (C/S) is an advantage; ;. 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF) is an advantage; ;. 3 years' experience in JavaScript Programming (JAP) is an advantage; ;. 3 years' experience in Web Programming (WEB) is an advantage; ;. 1.5 years' experience in Project Management Professional (PMP) (PMP) is an advantage; ;. 1.5 years' experience in PRINCE (PRE) is an advantage; ;. 1.5 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 1.5 years' experience in contract administration (CON); ;. At least 1.5 years' experience in IT procurement (PRO); ;. At least 1.5 years' experience in software testing (STM); ;. 1.5 years' experience in tender preparation and administration (TPA) is an advantage; ;. 1.5 years' experience in work with the Government (GOV) is an advantage; ;. 1.5 years' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 1.5 years' experience in IT service/outsourcing management (OUT) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33965"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,CON,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,,,,,,,,,,,,,,,,,,,,,,,ITS,,JAF,JAP,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,PMP,PRE,,PRO,,,,,,,,,,,,,,,,,,,STM,,,,,,TPA,,,,,,,,,,,,,WEB,,,,,,,,,,,,,
33954,Contract Systems Analyst (Bid Ref 54390-1),1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To perform requirement collection, system analysis & design, development and testing; ;- To review and / or prepare SDLC documentation; and ;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- Possess the following skills and hands-on experience: ;. At least 2 years of experience as Systems Analyst and 6 years of experience in IT; ;. Solid experience in JAVA web application development; ;. Solid experience in SQL; ;. Solid experience in Linux System Administration. ; ;Technical Skills: ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL). ; ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,3978 8022,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33954"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33955,Contract Systems Analyst (Bid Ref 54399-1),1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To design and setup infrastructure in Government Cloud Infrastructure Services (GCIS); ;- To perform system analysis & design, development and testing; ;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- Possess the following skills and hands-on experience: ;. At least 2 years of experience as Systems Analyst and 6 years of experience in IT; ;. Solid experience in GCIS; ;. Solid experience in SQL; ;. Solid experience in Linux System Administration。 ; ;Technical Skills: ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in EGIS (EGI). ; ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ; ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,3978 8022,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33955"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33962,Contract Systems Analyst (Bid Ref 54404-1),1,1,Application Development,Contract,08 May 2025,02 Jun 2025 to 01 Sep 2025 (3 months),under InfoTech,Government T26 Contract,Kowloon Bay / Tsing Yi,N/A - N/A,"""(T26) 1. Assist in the VICSS Redevelopment Project to support the project team along all the stages of SDLC, especially for the System Analysis, Testing, and Code Review.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the E&MSD; ;(a) To carry out feasibility study, user requirement definition, system analysis and design, implementation, documentation, report generation, testing, and maintenance of application systems; ;(b) To perform requirement elicitation, documentation, testing, user training, maintenance and enhancement for Intranet/Internet, client/server systems, and web application systems; ;(c) To perform database design, performance tuning, system administration and maintenance; ;(d) To administrate, monitor and provide services for application software systems;;(e) To evaluate and inspect/review hardware, software, and prepare technical proposals of IT equipment and services; ;(f) To provide application support services such as liaison with users and vendors, monitoring, repairing, recovering application systems;;(g) To design and prepare operation procedures, drill plans, contingency plans, technical reports, etc.;;(h) To ensure project deliverables submitted by the contractor to be on time and meet quality standard; and;(i) To perform other IT services or tasks as assigned by supervisor. ;""",7.0,2.0,"""(a) Have a Degree in Computer Science, Computer Engineering, Information Engineering, or related IT disciplines, or equivalent; OR Have a Higher Diploma in Computer Subjects from a Hong Kong Polytechnic University, or equivalent; ;(b) At least 4 years or above relevant IT working experience in the business analysis, system design & development, testing, implementation & deployment, configuration, customization, and administration of application software systems; ;(c) Have the following working experience and skill sets: CGI, PHP, HTML, CSS, JavaScript, XML, MSSQL, PL/SQL, Kubernetes;;(d) Solid experience on project management, with Project Management Professional Certification would definitely be an advantage;;(e) Knowledge and solid experience on user and vendor management would be an advantage;;(f) Knowledge on road traffic ordinance of HK; or knowledge/experience of vehicle examination would definitely be an advantage; ;(g) Knowledge and experience in Cloud Computing is a plus;;(h) Creative, analytical, self-initiative, responsible and well-organized; and;(i) Good leadership, planning, organization, communication and interpersonal skills ;Technical Skills: ;. At least 2 years' experience in IT Application Development and Management (ADM); ;. At least 2 years' experience in business intelligence/data mining (BDM); ;. At least 2 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Web Programming (WEB); ;. 1.5 years' experience in XML (XML) is an advantage; ;. 1.5 years' experience in Structured Query Language (SQL) is an advantage; ;. 1.5 years' experience in Data Warehouse (DWH) is an advantage; ;. 1.5 years' experience in HTML5 (HT5) is an advantage; ;. 1.5 years' experience in IT Security (ITS) is an advantage; ;. 1.5 years' experience in JavaScript Programming (JAP) is an advantage; ;. 1.5 years' experience in Microsoft Internet Information Services (MIS) is an advantage; ;. 1.5 years' experience in MS ASP.NET (MSA) is an advantage; ;. 1.5 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 1.5 years' experience in .NET C# (NEC) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in managing Government projects (IEG); ;. At least 2 years' experience in people management (PMG); ;. At least 2 years' experience in customer relations (ECR); ;. At least 2 years' experience in work with the Government (GOV); ;. At least 2 years' experience in vendor management (VMG); ;. 2 years' experience in project management (PRM) is an advantage; ;. 1.5 years' experience in quality assurance (QAS) is an advantage; ;. 1.5 years' experience in software testing (STM) is an advantage; ;. 1.5 years' experience in IT audit (ITA) is an advantage; ;. 1.5 years' experience in conducting IT training/briefing (ITT) is an advantage; ;. 1.5 years' experience in IT service/outsourcing management (OUT) is an advantage; ;. 1 year's experience in Government tendering procedures (GTP) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33962"")",,ADM,,,,,,,BDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWH,,ECR,,,,,,,,,,GOV,,,GTP,,,,,,,,IEG,,,,,,,,,ITA,,,,ITS,ITT,,JAP,,,,,,,,,,,,,,MIS,,MSA,,MSS,,,,NEC,,,,,,,,,,,,,,,,OUT,,,,,,PMG,,,PRM,,,QAS,,,,,,,,,,,SIM,,SQL,,,,STM,,,,,,,,,,,,VMG,,,,,,,WEB,,,,,,,,,XML,,,,
33963,Contract Senior Systems Analyst (Bid Ref 54406-1),1,1,Application Development,Contract,08 May 2025,02 Jun 2025 to 31 Dec 2025 (6 months),under InfoTech,Government T26 Contract,Homantin,N/A - N/A,"""(T26) Implementation of Asset Management System (AMS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To manage contractor(s) to enhance estate maintenance module of existing Enterprise Resource Planning (ERP) System, and integrate with finance, procurement and estate services modules of ERP System and AMS;;- To participate and contribute in project stages including but not limited to user requirement collection, system design & analysis, development, testing, user training, nursing, maintenance and support services for ERP System and AMS;;- To support system analysis and functional design;;- To support functional tests, system integration tests and regression tests;;- To support users to perform user acceptance test; and;- To carry out any other associated duties as required. ;""",12.0,6.0,"""- Must have at least 12 years of working experience in IT;;- Must have at least 6 years hands-on experience in ERP System including but not limit to finance and procurement modules, e.g. SAP MM and FICO;;- Experience in system integration between ERP and other mission critical systems e.g. IDOC, BAPI and Web Services;;- Possess at least 3 full cycles SAP ERP rollout/revamp experience is an advantage;;- Experience in enterprise asset management is an advantage;;- Experience in working in Government is an advantage;;- Good command of English and Chinese; and;- Strong negotiation, communication and interpersonal skills. ;Technical Skills: ;. At least 6 years' experience in IT Application Development and Management (ADM); ;. At least 6 years' experience in Enterprise Resource Planning System (ERP); ;. At least 6 years' experience in System Implementation and Maintenance/Support (SIM); ;. At least 2 years' experience in Enterprise Application Integration (EAI). ;Non-technical Skills: ;. At least 2 years' experience in Business Process Modeling (BPM); ;. 2 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 6 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33963"")",,ADM,,,,,,,,,,,,BPM,,,,,,,,,,,,,,,,,,,,,,,,EAI,,,,,ERP,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,
33961,Contract Systems Analyst (Bid Ref 54395-1),1,1,Others,Contract,08 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"HAHQ, Ho Man Tin, Kowloon",N/A - N/A,"""(T26) Technical Support of Container Management Platform for IT application systems in HKHA""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;1. Provide technical support of container management platform for IT application systems of the on-premise cloud computing platform of HA ;2. Provide technical advice for enquiries from application teams and perform troubleshooting on technical issues ;3. Conduct regular software patch review and implementation ;4. Facilitate regular security risk assessment and audit exercises ;5. Perform capacity planning and DR drill testing ;""",7.0,3.0,"""1. Efficient communication skills in liaison and coordination with application project teams and infrastructure support teams; ;2. Knowledge of cloud computing and containerised applications, is preferred; ;3. Experience in administration of container management platform, such as K8s and Red Hat Openshift Container Platform, and Docker containers, is preferred; ;4. Fundamental understanding of Java application servers, such as Red Hat JBoss Enterprise Application Platform, is preferred; ;5. Experience in certification audits such as ISO27001, ISO20000 and ISO27017, is preferred; ;6. Experience in managing government project is preferred; and ;7. Knowledge of open-source development tools for version control, continuous integration and continuous development (CI/CD), or package management, such as Git, Jenkins and Sonatype Nexus, is preferred. ;Technical Skills: ;. At least 3 years' experience in Disaster Recovery Planning (DRP); ;. At least 3 years' experience in Server Virtualisation Technology (SVT); ;. 3 years' experience in Unix/Linux Shell Scripting (ULS) is an advantage; ;. 3 years' experience in IT Security (ITS) is an advantage; ;. 3 years' experience in IT Security Scanning Tools (SST) is an advantage; ;. 2 years' experience in Information Security Management (ISM) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in managing international security standards (ISD); ;. At least 2 years' experience in IT service/outsourcing management (OUT); ;. Good coordination skills is a must; ;. 1 year's experience in work with the Government (GOV) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 7 years' post-qualification experience in which at least 3 years' relevant experience in a similar post and in a comparable capacity.""",N/A,24 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33961"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRP,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,ISD,ISM,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,SST,,SVT,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33954,Contract Systems Analyst (Bid Ref 54390-1),1,1,Application Development,Contract,06 May 2025,15 May 2025 to 31 Oct 2025 (5 months),under InfoTech,Government T26 Contract,"Homantin, Kowloon",N/A - N/A,"""(T26) New System Development""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;- To perform requirement collection, system analysis & design, development and testing; ;- To review and / or prepare SDLC documentation; and ;- To perform any other tasks as assigned by supervisors. ;""",6.0,2.0,"""Possess the following skills and hands-on experience: ;- At least 2 years of experience as Systems Analyst and 6 years of experience in IT; ;- Solid experience in JAVA web application development; ;- Solid experience in SQL; ;- Solid experience in Linux System Administration ; ;Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;Technical Skills: ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in Linux System Administration (LIN); ;. At least 3 years' experience in Structured Query Language (SQL). ;Non-technical Skill: ;. At least 2 years' experience in work with the Government (GOV). ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 6 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,22 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33954"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,JAF,JAP,,,,,,,LIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
