Job Key No,Job Title/ Category,Post Times,Number Of Vacancy,Relevant Field,Nature,Deadline,Contract Period,Payroll,Employer Business,Location Base,Monthly Salary Range HK$,Project Nature,Duties,Yrs of Total Post-Quali Exp,Yrs of Relevant Exp,Requirements,Work Outside Current Location,Last Update,Apply To,Direct Line,URL,ADA,ADM,APR,AST,AUS,AVT,AWS,BAS,BDM,BGP,BIM,BKO,BNE,BPM,CAD,CCNP,CCS,CCSA,CFA,CHI,CIP,CLS,CMS,CMSG,COG,CON,DAM,DAR,DBA,DET,DEV,DFT,DLS,DMO,DMS,DMT,DPS,DRP,DWH,EAI,ECR,EDR,EFM,EGI,ELE,ERP,ESS,ETH,GBC,GCIS,GIS,GOV,GPD,GSS,GTP,GWIN,HAC,HAU,HDT,HTM,IAA,IBX,IEG,IFW,IMG,INF,INT,IPS,ISD,ISM,ITA,ITC,ITIL,ITP,ITS,ITT,JAF,JAP,JAS,JAV,JDE,JSP,JVD,LDA,LIN,LNA,LNM,LON,MCS,MET,MGP,MIS,MNE,MSA,MSQ,MSS,MUL,MWC,NDN,NDR,NEC,NEG,NET,NSE,NSM,OAC,OAN,OAS,OAT,ODB,ODT,OOA,OPF,OPL,OPM,OPV,ORA,OUT,PDE,PHP,PKI,PLS,PMG,PMP,PRE,PRM,PRO,PRS,PRT,QAS,RAD,RAS,REP,RHEL,RHS,ROU,SAA,SAN,SCM,SDH,SDLC,SDM,SDN,SIM,SPE,SQL,SRA,SRAA,SRS,SST,STA,STM,SVT,SYB,TAS,TCP,TOM,TPA,TWS,ULS,UML,UNX,VBC,VDI,VLS,VMG,VPN,WAA,WAN,WAP,WAS,WEA,WEB,WED,WES,WLG,WLM,WLT,WME,WNT,WPG,WSV,WXP,XML,CAS,CISA,CISP,CISSP,HSM,ITG
Added : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33996,Contract Project Manager (Bid Ref 54220-1),1,1,Others,Contract,13 May 2025,27 Jun 2025 to 29 Jun 2026 (12 months),under InfoTech,Government T26 Contract,"Mainly Nam Cheong, Sham Shui Po, and occasional visit to other offices in Hong Kong",N/A - N/A,"""(T26) Implementation and maintenance of Centrally Managed Messaging Platform (CMMP) and CMMP Wider Rollout (CMMPWR) - CMMP is a platform built by the Government to replace the Government's current decentralised email system in order to enhance the ability in tackling the increasing cyber security risks, utilise computing resources optimally and increase operational efficiency of the Government.""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;- Oversee the implementation, enhancement and maintenance of the following sub-systems of CMMP and CMMPWR;(a) Service Portal (SP);;(b) Certificate System (CertS); and;(c) Pilot System (PS);- Facilitate departments in joining CMMPWR;- Oversee application support of SP, CertS and PS for CMMP and CMMPWR;- Oversee operation of ticket management system;- Support procurement exercise for the section;- Monitor, coordinate and closely work with service contractors on service delivery;- Perform IT project management and vendor management;- Work outside office hours and provide on-call production support;- Perform any work assigned by supervisor ;""",8.0,2.0,"""- Minimum of 8 years of post-qualification IT experience ;- Experience in supervising a team of two (2) members or more;- Minimum of 4 years of experience in IT planning ;- Minimum of 4 years of experience in system implementation, maintenance and support of IT system, in which includes a minimum of 4 years of experience in system implementation, maintenance and support of .NET based web application using SQL Server as database;- Minimum of 4 years of experience in SQL Server;- Minimum of 4 years of experience in project management;- Minimum of 4 years of experience in vendor management;- Knowledge and experience in implementing or supporting email system in the HKSAR Government is preferred;- Knowledge and experience in working with/in the Government is preferred;- Fluent verbal and written communication in both Chinese and English is preferred;- Certificate holder of Project Management Professional (PMP) is preferred;- Certificate holder of Information Technology Infrastructure Library (ITIL) is preferred;- Experience in Government IT procurement is preferred ;Technical Skills: ;. At least 4 years' experience in IT Planning (ITP); ;. At least 4 years' experience in MS ASP.NET (MSA); ;. At least 4 years' experience in Microsoft SQL Server (MSS); ;. At least 4 years' experience in System Implementation and Maintenance/Support (SIM); ;. 2 years' experience in Project Management Professional (PMP) (PMP) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in project management (PRM); ;. At least 4 years' experience in vendor management (VMG); ;. Good coordination skills is an advantage; ;. 3 years' experience in work with the Government (GOV) is an advantage; ;. 2 years' experience in IT procurement (PRO) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,29 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33996"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,ITIL,ITP,,,,,,,,,,,,,,,,,,,,MSA,,MSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMP,,PRM,PRO,,,,,,,,,,,,,,,,,SIM,,,,,,,,,,,,,,,,,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,
33900,Contract Systems Analyst (Bid Ref 54338-2),2,1,Others,Contract,13 May 2025,01 Jun 2025 to 30 Nov 2025 (5 months),under InfoTech,Government T26 Contract,"Kai Tak, Kowloon",N/A - N/A,"""(T26) To provide implementation and system nursing services of Workflow Management Extension (WME), Digital Corporate Identity (eCorp ID) and Uncertificated Securities Market (USM) project, and provide on-going infrastructure support to IRD application systems""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the IRD; ;1. To support the implementation of the WME, including the system nursing and integration with existing Workflow Management System (WMS); ;2. To support the system setup for the eCorp ID and USM projects;;3. To support the system testing for the national security software product, including the verification of various technical options; ;4. To manage the system integration among various application systems;;5. To perform and lead subordinates to hands-on install, setup, configure, test and support various system software and applications;;6. To perform and lead subordinates to manage vendors on system installation, setup, support, performance tuning, capacity planning, testing and problem solving;;7. To perform and lead subordinates to provide on-going system administration, enhancement, maintenance, capacity planning, performance tuning, testing, technical support and problem solving for the application systems;;8. To perform and lead subordinates to provide on-going technical support to application teams on application version control, application deployment, problem solving and performance tuning;;9. To maintain the system specifications, documentation and inventory records; ;10. To assist supervisors in preparing the requirement specifications for the procurement of system equipment and services and managing the contractors; and;11. To perform any other duties assigned by supervisors. ;""",12.0,4.0,"""1. The candidate should have solid hands-on experience in Linux, Windows, JBoss EAP and cloud technologies including architecture design, installation and setup, administration, configuration, maintenance, testing and technical support;;2. It is preferable that the candidate has hands-on experience on at least one of the following products/technologies:;(i) DB2 Server;;(ii) MySQL;;(iii) SAN Storage System;;(iv) Tivoli Workload Scheduler; and;(v) Local Area Networking;;3. The candidate is required to provide on-call support service and occasionally required to perform system support tasks on-site in IRD office during non-office hours including public holidays and after mid-night;;4. The candidate is required to work independently; and;5. The candidate is required to lead subordinates and work with other project teams to complete the required tasks. ;Technical Skills: ;. At least 10 years' experience in Linux System Administration (LIN); ;. At least 10 years' experience in Networking (NET); ;. At least 10 years' experience in Unix/Linux Shell Scripting (ULS); ;. At least 10 years' experience in Windows Server 2008/2012 (W12); ;. At least 3 years' experience in MySQL (MSQ); ;. At least 3 years' experience in JBoss Application Server (JAS); ;. At least 3 years' experience in Tivoli Workload Scheduler (TWS); ;. 2 years' experience in DB2 Administration (DBA) is an advantage; ;. 2 years' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 4 years' experience in work with the Government (GOV); ;. At least 4 years' experience in managing Government projects (MGP); ;. 1 year's experience in vendor management (VMG) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 12 years' post-qualification experience in which at least 4 years' relevant experience in a similar post and in a comparable capacity.""",N/A,29 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33900"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,DBA,,,,,,,,,,,,,,,,,,,,,,,GOV,,,,,,,,,,,,,,,,,,,,,,,,,,,JAS,,,,,,LIN,,,,,,MGP,,,,MSQ,,,,,,,,NET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,,,,,,,TWS,ULS,,,,,,VMG,,,,,,,,,,,,,,,,,,,,,,,,
31094,Contract Systems Analyst (Bid Ref 52507-4),4,1,Application Development,Contract,13 May 2025,01 Jun 2025 to 31 May 2026 (12 months),under InfoTech,Government T26 Contract,Wan Chai,N/A - N/A,"""(T26) To manage IT projects and provide system support services""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the OFCA; ;The candidate will be mainly responsible for:;(a) performing project management, project planning, budgeting, tendering and procurement, quality assurance and vendor/contract management for outsourced ICT projects;;(b) providing technical advices to support business requirements;;(c) engaging and collaborating with stakeholders to meet the business objectives; and;(d) carrying out other technical and administrative duties as specified by the management. ;""",5.0,2.0,"""(a) Candidates should have ; (i) at least five (5) years of relevant post-qualification full-time IT working experience, of which two (2) years must be in a similar post and in a comparable capacity; and; (ii) at least four (4) years of full-time hands-on experience in the entire software development life cycle (SDLC), including feasibility study, system analysis and design, procurement and installation, programming and implementation, system nursing and maintenance.;(b) Candidates should be customer-oriented and able to perform under pressure, willing to work after office hours and occasionally working on an on-call basis as required.;(c) Candidates should possess good knowledge in data modelling and database design.;(d) Candidates should have good communications and coordination skills.;(e) Preference will be given to candidates who have experiences/certifications in the following technologies/areas:; (i) Full stack development (MEAN/MERN); (ii) RESTful API development; (iii) Python programming; (iv) Microsoft SQL Server; (v) NoSQL database; (vi) Containerisation such as podman, containerd, KubeSphere, Knative, etc.; (vii) Service mesh/serverless architecture; (viii) Continuous Integration/Continuous Delivery (CI/CD) pipeline;Criminal record check on the selected candidate will be required. ;Technical Skills: ;. At least 3 years' experience in JavaScript Programming (JAP); ;. At least 3 years' experience in IT Application Development and Management (ADM); ;. At least 3 years' experience in SSADM (SDM); ;. At least 3 years' experience in Web Hosting, Design and Maintenance (WED); ;. At least 3 years' experience in Web Services (WSV); ;. 3 years' experience in Tomcat Application Server (TOM) is an advantage; ;. 3 years' experience in Apache Web Server (AWS) is an advantage; ;. 3 years' experience in Data Modeling (DMO) is an advantage; ;. 3 years' experience in Microsoft SQL Server (MSS) is an advantage; ;. 3 years' experience in Object-oriented Analysis and Design (OOA) is an advantage; ;. 3 years' experience in Reporting (Crystal Report, iReport) (REP) is an advantage; ;. 3 years' experience in Source Control Management System (SCM) is an advantage. ;Non-technical Skills: ;. At least 3 years' experience in managing G2B and G2C projects (GBC); ;. At least 3 years' experience in work with the Government (GOV); ;. At least 3 years' experience in Government tendering procedures (GTP); ;. At least 3 years' experience in project management (PRM); ;. At least 3 years' experience in tender preparation and administration (TPA); ;. 3 years' experience in vendor management (VMG) is an advantage; ;. 3 years' experience in quality assurance (QAS) is an advantage; ;. 3 years' experience in Business Process Modeling (BPM) is an advantage; ;. Good coordination skills is an advantage; ;. Good written English is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 5 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,29 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=31094"")",,ADM,,,,,AWS,,,,,,,BPM,,,,,,,,,,,,,,,,,,,,DMO,,,,,,,,,,,,,,,GBC,,,GOV,,,GTP,,,,,,,,,,,,,,,,,,,,,,,JAP,,,,,,,,,,,,,,,,,,MSS,,,,,,,,,,,,,,,,OOA,,,,,,,,,,,,,,PRM,,,,QAS,,,REP,,,,,,SCM,,SDLC,SDM,,,,,,,,,,,,,,,TOM,TPA,,,,,,,,VMG,,,,,,,,WED,,,,,,,,WSV,,,,,,,,
33997,Contract Systems Analyst (Bid Ref 54407-1),1,1,Application Development,Contract,13 May 2025,23 Jun 2025 to 13 Mar 2026 (8 months),under InfoTech,Government T26 Contract,Wanchai,N/A - N/A,"""(T26) This is a CSA position responsible for providing services of system analysis and design, enhancement and ongoing maintenance support to the Government Electronic Trading Services (GETS).""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;The major duties will include but not limited to the followings:;- To perform system analysis, design, implementation and enhancement to GETS system written in Java, Linux shell scripts and SQL;;- To provide on-call production support, troubleshooting and monitoring for application incidents;;- To manage and coordinate with GETS Service Providers to address operational issues;;- To handle the routine tasks, such as Disaster Recovery Drill, Security Risk Assessment and Audit, etc.;;- To ensure the program specifications and other documentation are consistently updated; and;- To perform the tasks assigned by line manager. ;""",4.0,1.0,"""The candidate for the CSA position should have the following qualifications:;- Solid experience and development skills in Java, SQL, and Linux shell scripting;;- Knowledge and experience in Web API and MariaDB would be advantageous;;- Strong troubleshooting skills to identify and resolve issues;;- Working experience in user liaison and coordination;;- Ability to work well in a team, with excellent communication and interpersonal skills; and;- Proficient in report writing is a must. ;Technical Skills: ;. At least 2 years' experience in JAVA Programming (JAV); ;. At least 2 years' experience in Structured Query Language (SQL); ;. At least 2 years' experience in Unix/Linux Shell Scripting (ULS); ;. 1 year's experience in XML (XML) is an advantage; ;. 1 year's experience in Public Key Infrastructure (PKI) is an advantage; ;. 1 year's experience in IT Application Development and Management (ADM) is an advantage. ;Non-technical Skills: ;. 1.5 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 1 year's experience in software testing (STM) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,29 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33997"")",,ADM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSS,,,,,,,,,,,,,,,,,,,,,,,,,,JAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PKI,,,,,,,,,,,,,,,,,,,,,,,,,SQL,,,,,,STM,,,,,,,,ULS,,,,,,,,,,,,,,,,,,,,,,,,XML,,,,,,
Removed : ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33901,Contract Project Manager (Bid Ref 54342-1),1,1,Others,Contract,29 Apr 2025,01 Jun 2025 to 31 Mar 2026 (10 months),under InfoTech,Government T26 Contract,"Kwun Tong, Tsuen Wan, Central, Kowloon Bay",N/A - N/A,"""(T26) Certification Authority infrastructure upgrade projects""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the Hongkong Post; ;a) Serve as the project manager in the Upgrade Project of Hongkong Post Certification Authority (HKPCA) to replace/upgrade the existing infrastructure, Certification Authority (CA) software and the related application modules; ;b) Lead market research to identify and recommend technical options/solutions; ;c) Formulate holistic plan and requirements for the system upgrade, deployment and transition arrangement; ;d) Perform financial and resources estimation/planning to prepare corresponding funding and project papers etc. ;e) Prepare requirement specifications for the procurement of hardware, software and services and perform the corresponding technical evaluations; ;f) Oversee and manage outsourced contractors to upgrade/replace hardware, software and application; ;g) Supervise and steer the application redevelopment; ;h) Review and evaluate system change requests from the outsourced contractors; ;i) Assist in implementing project requirements in compliance with HKPCA&;#8217;s standards, security requirements and published regulatory documents on e-Certs including but not limited to all the Certification Practice Statements for the recognized digital certificates issued by HKPCA, and Government IT security policy and guidelines published by the Digital Policy Office (DPO); ;j) Liaise and coordinate with all related working parties including the DPO, Hongkong Post (HKP), HKPCA Operator and various outsourced contractors to ensure a smooth implementation, system acceptance, service transition and system rollout of the Upgrade Project; ;k) Oversee and manage the handing-over the final solution/product to HKP and HKPCA Operator to continue their operation; and ;l) Perform administration tasks and other duties as assigned by the supervisor. ;""",8.0,2.0,"""a) Solid knowledge and good technical skill on application development and support using Java 6 and 8, Struts 1 and 2, Oracle Database; ;b) At least 3 years of hand-on experience in Oracle WebLogic application server; ;c) Working experience in security solutions including Hardware Security Module (HSM), digital certificates and Certification Authority operations will be an advantage; ;d) Working experience in implementing virtualization, large scale and complex IT systems for government will be an advantage; ;e) Need to work in various office locations of HKP; and ;f) Overtime work is required when necessary. ;Technical Skills: ;. At least 3 years' experience in Apache Web Server (AWS); ;. At least 3 years' experience in Java Application Framework (e.g. Struts (Apache)) (JAF); ;. At least 3 years' experience in Oracle RDBMS (ODB); ;. At least 2 years' experience in Public Key Infrastructure (PKI); ;. 2 years' experience in Project Management Professional (PMP) (PMP) is an advantage; ;. 2 years' experience in Security Risk Assessment and Audit (SAA) is an advantage; ;. 2 years' experience in J2EE Development (JDE) is an advantage; ;. 2 years' experience in Linux System Administration (LIN) is an advantage; ;. 2 years' experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in work with the Government (GOV); ;. At least 2 years' experience in Government procurement/disposal procedures (GPD); ;. 2 years' experience in the management and support of Government systems and services (GSS) is an advantage; ;. 2 years' experience in managing Government projects (MGP) is an advantage; ;. 2 years' experience in the support of Certification Authority system (CAS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 8 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33901"")",,,,,,,AWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOV,GPD,GSS,,,,,,,,,,,,,,,,,,,,,ITS,,JAF,,,,JDE,,,,LIN,,,,,,MGP,,,,,,,,,,,,,,,,,,,ODB,,,,,,,,,,,PKI,,,PMP,,,,,,,,,,,,,SAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS,,,,HSM,
33904,Contract Systems Analyst (Bid Ref 54344-1),1,1,Others,Contract,29 Apr 2025,12 May 2025 to 31 Jul 2025 (2 months),under InfoTech,Government T26 Contract,Ho Man Tin,N/A - N/A,"""(T26) Support to security team""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the HD; ;Provide support to security team including ;- coordinate vendors to conduct IT security risk assessment ;- manage anti-virus and Security Information Event and Management (SIEM) system, tasks involve follow up the security alert, apply security patch management, create monitoring use case ;- conduct security review, tasks involve understand the system process and data flow, identify risk and corresponding security control to address the risk, verify the implementation of security control ;- reply IT security enquiries ;""",4.0,2.0,"""1. Solid experience in anti-virus and log review system support ;2. Experienced in IT security risk assessment ;3. Experienced in liaison and coordination with different parties is preferred ;4. Possess relevant IT security professional qualifications (e.g. Certified Information Systems Auditor (CISA), Certified Information Systems Security Professional (CISSP) and Certified Information Security Professional (CISP)) is preferred ;Technical Skills: ;. At least 2 years' experience in Endpoint Security Solutions (ESS); ;. At least 2 years' experience in Security Risk Assessment and Audit (SAA); ;. At least 2 years' experience in Security Incident Detection and Handling (SDH); ;. 1 year's experience in IT Security (ITS) is an advantage. ;Non-technical Skills: ;. At least 2 years' experience in managing Government IT standards (ITG); ;. Good coordination skills is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 2 years' relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33904"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAA,,,SDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CISA,CISP,CISSP,,ITG
33059,Contract Systems Analyst (Bid Ref 53561-2),2,1,Others,Contract,29 Apr 2025,26 May 2025 to 15 Mar 2026 (9 months),under InfoTech,Government T26 Contract,Cyberport,N/A - N/A,"""(T26) Support the inventory management, contract management and capacity planning of the Government Cloud Infrastructure Services (GCIS)""","""- Serve a contract assignment under InfoTech's headcount, full-time second to serve the DPO; ;This post is responsible for the inventory management, contract management and project management and of GCIS contract ;- Take part in the project administration and contractor management for GCIS ;- Provide operation support for the inventory management of hardware and software of GCIS ;- Work with client advisory team, technical team and GCIS contractors to support GCIS operation, multiple tenants and to assist in annual capacity planning for GCIS ;""",4.0,1.0,"""- Knowledge and experience in cloud computing technologies including server virtualisation, security, etc. ;- Experience in inventory management ;- Experience in contract administration ;- ITIL certification is preferred ;- Competent communication skills, both verbal and written, and interpersonal skills ;- Experience in acceptance of IT infrastructure project deliverables preferred ;- Strong analytical mind and problem solving techniques ;- Knowledge in government procurement procedures is an advantage ;Technical Skills: ;. At least 2 years' experience in Infrastructure (INF); ;. At least 2 years' experience in Server Virtualisation Technology (SVT); ;. At least 1 year's experience in IT Security (ITS); ;. At least 1 year's experience in IT Operational Management (OPM); ;. 6 months' experience in Storage Area Network (SAN) is an advantage. ;Non-technical Skills: ;. At least 1 year's experience in contract administration (CON); ;. 6 months' experience in Government procurement/disposal procedures (GPD) is an advantage; ;. 6 months' experience in customer service (CLS) is an advantage. ;- Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; ;- At least 4 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.""",N/A,15 Apr 2025,itcareer@infotech.com.hk,2836 0363,"=Hyperlink(""https://www.infotech.com.hk/itjs/job/fe-view.do?method=feView&jjKey=33059"")",,,,,,,,,,,,,,,,,,,,,,CLS,,,,CON,,,,,,,,,,,,,,,,,,,,,,,,,,,GPD,,,,,,,,,,,,,INF,,,,,,,,,ITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,,,,,,,,,,,,,,,,,,,,,,,SAN,,,,,,,,,,,,,,,SVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
